ticker,earnings_status,earnings_coverage_start,earnings_coverage_end,earnings_rows,splits_status,splits_coverage_start,splits_coverage_end,splits_rows
AA,ok,1984-03-31,2026-09-04,164,not_requested_no_eligible_hiro_signal,,,
AAL,ok,1994-01-19,2026-09-04,131,ok,1900-01-01,2026-09-04,0.0
AAP,ok,1998-12-31,2026-09-04,107,not_requested_no_eligible_hiro_signal,,,
AAPL,ok,1987-09-25,2026-09-04,150,not_requested_no_eligible_hiro_signal,,,
ABBV,ok,2012-05-08,2026-09-04,59,not_requested_no_eligible_hiro_signal,,,
ABNB,ok,2021-02-25,2026-09-04,23,not_requested_no_eligible_hiro_signal,,,
ABR,ok,2004-05-06,2026-09-04,91,not_requested_no_eligible_hiro_signal,,,
ABT,ok,1990-07-10,2026-09-04,145,not_requested_no_eligible_hiro_signal,,,
ACHR,ok,2021-11-11,2026-09-04,20,not_requested_no_eligible_hiro_signal,,,
ACN,ok,1998-08-31,2026-09-04,106,not_requested_no_eligible_hiro_signal,,,
ADBE,ok,1993-03-16,2026-09-04,139,ok,1900-01-01,2026-09-04,0.0
ADM,ok,1990-09-25,2026-09-04,146,not_requested_no_eligible_hiro_signal,,,
AFRM,ok,2021-02-11,2026-09-04,23,not_requested_no_eligible_hiro_signal,,,
AG,ok,1996-08-21,2026-09-04,100,not_requested_no_eligible_hiro_signal,,,
AGNC,ok,2008-07-29,2026-09-04,73,not_requested_no_eligible_hiro_signal,,,
AI,ok,1998-02-15,2026-09-04,109,not_requested_no_eligible_hiro_signal,,,
AKAM,ok,1999-07-24,2026-09-04,110,not_requested_no_eligible_hiro_signal,,,
ALAB,ok,2024-05-07,2026-09-04,10,not_requested_no_eligible_hiro_signal,,,
ALB,ok,1993-07-18,2026-09-04,134,not_requested_no_eligible_hiro_signal,,,
AMAT,ok,1991-02-25,2026-09-04,139,not_requested_no_eligible_hiro_signal,,,
AMC,ok,2007-06-21,2026-09-04,58,not_requested_no_eligible_hiro_signal,,,
AMD,ok,1991-01-11,2026-09-04,139,not_requested_no_eligible_hiro_signal,,,
AMGN,ok,1990-03-31,2026-09-04,146,not_requested_no_eligible_hiro_signal,,,
AMT,ok,2006-11-08,2026-09-04,72,not_requested_no_eligible_hiro_signal,,,
AMZN,ok,1997-01-22,2026-09-04,118,not_requested_no_eligible_hiro_signal,,,
ANET,ok,2007-07-25,2026-09-04,52,not_requested_no_eligible_hiro_signal,,,
ANF,ok,1995-01-28,2026-09-04,126,ok,1900-01-01,2026-09-04,0.0
APA,ok,1991-04-15,2026-09-04,141,not_requested_no_eligible_hiro_signal,,,
APLD,ok,2023-04-06,2026-09-04,14,not_requested_no_eligible_hiro_signal,,,
APO,ok,2011-02-28,2026-09-04,65,not_requested_no_eligible_hiro_signal,,,
APP,ok,2006-03-31,2026-09-04,64,not_requested_no_eligible_hiro_signal,,,
ARM,ok,2006-11-13,2026-09-04,23,not_requested_no_eligible_hiro_signal,,,
ASAN,ok,2020-09-22,2026-09-04,25,not_requested_no_eligible_hiro_signal,,,
ASML,ok,1996-03-19,2026-09-04,106,ok,1900-01-01,2026-09-04,0.0
ASTS,ok,2021-08-16,2026-09-04,21,ok,1900-01-01,2026-09-04,0.0
ATVI,ok,1996-07-08,2026-09-04,79,not_requested_no_eligible_hiro_signal,,,
AVGO,ok,2007-03-06,2026-09-04,76,not_requested_no_eligible_hiro_signal,,,
AXP,ok,1993-04-15,2026-09-04,134,not_requested_no_eligible_hiro_signal,,,
BA,ok,1980-03-31,2026-09-04,183,not_requested_no_eligible_hiro_signal,,,
BABA,ok,2014-05-06,2026-09-04,52,not_requested_no_eligible_hiro_signal,,,
BAC,ok,1992-12-31,2026-09-04,125,not_requested_no_eligible_hiro_signal,,,
BB,ok,1998-05-13,2026-09-04,115,not_requested_no_eligible_hiro_signal,,,
BBAI,ok,2022-03-17,2026-09-04,19,not_requested_no_eligible_hiro_signal,,,
BE,ok,2018-08-07,2026-09-04,35,not_requested_no_eligible_hiro_signal,,,
BIDU,ok,2005-07-12,2026-09-04,93,not_requested_no_eligible_hiro_signal,,,
BILI,ok,2018-05-23,2026-09-04,35,not_requested_no_eligible_hiro_signal,,,
BITF,missing_events,1900-01-01,2026-09-04,0,not_requested_no_eligible_hiro_signal,,,
BKNG,ok,1999-05-04,2026-09-04,112,ok,1900-01-01,2026-09-04,1.0
BLK,ok,1999-05-13,2026-09-04,109,not_requested_no_eligible_hiro_signal,,,
BLNK,ok,2018-04-17,2026-09-04,36,not_requested_no_eligible_hiro_signal,,,
BMBL,ok,2021-03-10,2026-09-04,23,not_requested_no_eligible_hiro_signal,,,
BMNR,ok,2025-11-21,2026-09-04,4,not_requested_no_eligible_hiro_signal,,,
BMY,ok,1991-04-15,2026-09-04,147,not_requested_no_eligible_hiro_signal,,,
BP,ok,1986-05-25,2026-09-04,117,not_requested_no_eligible_hiro_signal,,,
BTBT,ok,2020-12-18,2026-09-04,26,not_requested_no_eligible_hiro_signal,,,
BTU,ok,1998-06-18,2026-09-04,107,not_requested_no_eligible_hiro_signal,,,
BX,ok,2007-03-22,2026-09-04,79,not_requested_no_eligible_hiro_signal,,,
BYND,ok,2019-06-06,2026-09-04,31,not_requested_no_eligible_hiro_signal,,,
C,ok,1997-03-07,2026-09-04,117,not_requested_no_eligible_hiro_signal,,,
CART,ok,2023-11-08,2026-09-04,12,not_requested_no_eligible_hiro_signal,,,
CAT,ok,1980-03-31,2026-09-04,178,ok,1900-01-01,2026-09-04,0.0
CCJ,ok,1990-12-31,2026-09-04,144,not_requested_no_eligible_hiro_signal,,,
CCL,ok,1992-01-06,2026-09-04,140,not_requested_no_eligible_hiro_signal,,,
CEG,ok,1992-04-15,2026-09-04,99,not_requested_no_eligible_hiro_signal,,,
CELH,ok,2019-03-14,2026-09-04,31,not_requested_no_eligible_hiro_signal,,,
CHPT,ok,2021-03-11,2026-09-04,23,not_requested_no_eligible_hiro_signal,,,
CHWY,ok,2019-07-18,2026-09-04,29,not_requested_no_eligible_hiro_signal,,,
CIFR,ok,2021-11-12,2026-09-04,20,not_requested_no_eligible_hiro_signal,,,
CLF,ok,1991-04-22,2026-09-04,140,not_requested_no_eligible_hiro_signal,,,
CLSK,ok,2020-12-17,2026-09-04,26,not_requested_no_eligible_hiro_signal,,,
CLX,ok,1990-10-08,2026-09-04,138,not_requested_no_eligible_hiro_signal,,,
CMCSA,ok,1987-12-31,2026-09-04,150,not_requested_no_eligible_hiro_signal,,,
CMG,ok,2005-12-23,2026-09-04,84,not_requested_no_eligible_hiro_signal,,,
