date,reason
2026-08-31,not_event
2026-09-04,not_event
2026-09-16,fomc
2026-09-18,not_event
2026-09-30,not_event
2026-10-02,not_event
2026-10-28,fomc
2026-10-30,not_event
2026-11-06,not_event
2026-11-30,not_event
2026-12-04,not_event
2026-12-09,fomc
2026-12-18,not_event
2026-12-31,not_event
2027-01-01,not_event
2027-01-27,fomc
2027-01-29,not_event
2027-02-05,not_event
2027-02-26,not_event
2027-03-05,not_event
2027-03-17,fomc
2027-03-19,not_event
2027-03-31,not_event
2027-04-02,not_event
2027-04-28,fomc
2027-04-30,not_event
2027-05-07,not_event
2027-05-31,not_event
2027-06-04,not_event
2027-06-09,fomc
2027-06-18,not_event
2027-06-30,not_event
2027-07-02,not_event
2027-07-28,fomc
2027-07-30,not_event
2027-08-06,not_event
2027-08-31,not_event
2027-09-03,not_event
2027-09-15,fomc
2027-09-17,not_event
2027-09-30,not_event
2027-10-01,not_event
2027-10-27,fomc
2027-10-29,not_event
2027-11-05,not_event
2027-11-30,not_event
2027-12-03,not_event
2027-12-08,fomc
2027-12-17,not_event
2027-12-31,not_event
