date,t,br,trade,d,second,outcome,cash_pts
2026-08-12,10:15,B,sell 7475P @ 35.25,-0.185,buy 7480P @ 35.35 (10:18),BOMB DONE,-0.1
2026-08-12,10:48,B,sell 7520P @ 41.10,-0.214,buy back 7520P @ 41.50 (10:52),SCRATCH,-0.4
2026-08-12,11:35,B,sell 7475P @ 35.65,-0.187,buy 7480P @ 36.10 (12:00),BOMB DONE,-0.45
2026-08-13,10:42,A,buy 7575P @ 37.35,-0.203,sell 7570P @ 36.60 (10:45),BOMB DONE,-0.75
2026-08-13,10:58,A,buy 7575P @ 37.65,-0.207,sell 7570P @ 38.10 (11:04),BOMB DONE,0.45
2026-08-13,11:20,A,buy 7575P @ 39.35,-0.214,sell 7570P @ 38.90 (11:23),BOMB DONE,-0.45
2026-08-14,10:37,A,buy 7575P @ 37.40,-0.21,sell 7570P @ 36.85 (10:55),BOMB DONE,-0.55
2026-08-14,11:37,B,sell 7570P @ 38.85,-0.215,buy back 7570P @ 39.55 (11:41),SCRATCH,-0.7
2026-08-14,13:13,B,sell 7570P @ 38.25,-0.215,buy back 7570P @ 38.50 (13:38),VETO_EXIT,-0.25
2026-08-17,11:52,B,sell 7510P @ 41.45,-0.201,buy back 7510P @ 41.80 (12:09),VETO_EXIT,-0.35
2026-08-17,13:43,A,buy 7485P @ 42.25,-0.2,sell 7480P @ 41.05 (14:32),BOMB DONE,-1.2
2026-08-18,11:04,A,buy 7420P @ 42.65,-0.199,sell 7415P @ 42.00 (11:09),BOMB DONE,-0.65
2026-08-19,11:20,A,buy 7480P @ 39.95,-0.202,sell 7475P @ 39.35 (11:24),BOMB DONE,-0.6
2026-08-19,11:45,A,buy 7465P @ 39.85,-0.2,sell 7460P @ 39.50 (11:54),BOMB DONE,-0.35
2026-08-19,12:28,A,buy 7475P @ 39.65,-0.2,sell 7470P @ 39.55 (12:29),BOMB DONE,-0.1
2026-08-20,10:51,A,buy 7420P @ 40.65,-0.199,sell 7415P @ 40.20 (11:09),BOMB DONE,-0.45
2026-08-20,11:15,A,buy 7420P @ 40.50,-0.199,sell 7415P @ 40.05 (11:16),BOMB DONE,-0.45
2026-08-20,11:28,A,buy 7420P @ 40.95,-0.201,sell 7415P @ 40.10 (11:33),BOMB DONE,-0.85
2026-08-21,12:22,A,buy 7430P @ 38.10,-0.199,sell 7425P @ 37.70 (12:50),BOMB DONE,-0.4
