day,min,pe,f3,f5,t3,t5,adv
2026-08-13,675,7794.900000000001,0.0,0.0,,,17.980000000000473
2026-08-13,829,7791.360000000001,1.0,1.0,42.0,47.0,1.6300000000001091
2026-08-14,694,7783.02,1.0,1.0,2.0,41.0,0.0500000000001819
2026-08-14,822,7776.83,1.0,1.0,15.0,20.0,0.4899999999997817
2026-08-17,757,7772.1,0.0,0.0,,,17.960000000000036
2026-08-17,878,7755.2,1.0,0.0,10.0,,0.009999999999308784
2026-08-18,614,7700.43,1.0,1.0,1.0,2.0,0.0
2026-08-18,662,7697.05,1.0,1.0,1.0,2.0,0.0
2026-08-18,683,7697.17,1.0,1.0,6.0,19.0,2.5
2026-08-18,753,7703.08,1.0,1.0,7.0,15.0,1.1899999999995998
2026-08-18,802,7703.88,0.0,0.0,,,9.600000000000364
2026-08-18,897,7697.93,1.0,0.0,27.0,,2.1900000000005093
2026-08-19,688,7730.9800000000005,1.0,1.0,38.0,42.0,10.170000000000073
2026-08-19,707,7725.34,1.0,1.0,2.0,15.0,0.32999999999992724
2026-08-19,758,7725.21,0.0,0.0,,,14.899999999999636
2026-08-19,797,7718.52,1.0,1.0,45.0,45.0,8.210000000000036
2026-08-19,859,7712.58,1.0,1.0,10.0,11.0,0.7600000000002183
2026-08-20,607,7682.6,1.0,1.0,3.0,17.0,4.739999999999782
2026-08-20,625,7684.52,1.0,1.0,14.0,14.0,5.940000000000509
2026-08-20,675,7685.47,1.0,0.0,4.0,,2.25
2026-08-20,710,7675.03,1.0,1.0,2.0,44.0,0.589999999999236
2026-08-20,789,7675.88,0.0,0.0,,,21.649999999999636
2026-08-21,582,7670.110000000001,1.0,0.0,24.0,,9.280000000000655
2026-08-21,732,7682.78,1.0,0.0,9.0,,5.049999999999272
2026-08-21,808,7678.31,0.0,0.0,,,6.730000000000473
