W,cons,r2,ddn,mag,cp,nx,pc,p,n_up,n_dn,days_up,days_dn,ep_up,ep_dn,fill_up,fill_dn,advS15_up,advL15_dn,ttf_up,ttf_dn,base_fill_up,base_adv15_up,base_fill_dn,base_adv15_dn,lift_up,lift_dn
15,0.6,0.7,0.25,0.5,False,False,False,3.0,18,6,4,3,9,5,0.6111111111111112,0.5,0.0,0.0,5.0,25.0,0.4666666666666667,0.01111111111111111,0.5333333333333333,0.0,0.1444444444444445,-0.033333333333333326
15,0.6,0.7,0.25,0.5,False,False,False,5.0,9,0,3,0,4,0,0.3333333333333333,,0.0,,5.0,,0.3999999999999999,0.0,,,-0.0666666666666666,
15,0.6,0.7,0.25,0.5,False,False,False,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,0.5,False,False,True,3.0,16,5,4,3,9,4,0.6875,0.4,0.0,0.0,5.0,25.5,0.5000000000000001,0.012500000000000002,0.48000000000000004,0.0,0.1874999999999999,-0.08000000000000002
15,0.6,0.7,0.25,0.5,False,False,True,5.0,7,0,3,0,4,0,0.42857142857142855,,0.0,,5.0,,0.45714285714285713,0.0,,,-0.02857142857142858,
15,0.6,0.7,0.25,0.5,False,False,True,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,0.5,False,True,False,3.0,18,6,4,3,9,5,0.6111111111111112,0.5,0.0,0.0,5.0,25.0,0.4666666666666667,0.01111111111111111,0.5333333333333333,0.0,0.1444444444444445,-0.033333333333333326
15,0.6,0.7,0.25,0.5,False,True,False,5.0,9,0,3,0,4,0,0.3333333333333333,,0.0,,5.0,,0.3999999999999999,0.0,,,-0.0666666666666666,
15,0.6,0.7,0.25,0.5,False,True,False,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,0.5,False,True,True,3.0,16,5,4,3,9,4,0.6875,0.4,0.0,0.0,5.0,25.5,0.5000000000000001,0.012500000000000002,0.48000000000000004,0.0,0.1874999999999999,-0.08000000000000002
15,0.6,0.7,0.25,0.5,False,True,True,5.0,7,0,3,0,4,0,0.42857142857142855,,0.0,,5.0,,0.45714285714285713,0.0,,,-0.02857142857142858,
