ts,mode,tier,session_date,config_hash,schema_v,event_type,rule_id,branch,side,s0,expiry,leg_strikes,strike_quote_ts,run,rate,dC,dP,share,r15,pull30,bounce30,context,health,outcome_type,outcome_minutes,exit_ref,cap_source,resolution_debit,adverse,trade_id,entry_min,signal_min,entry_option_mid,resting_limit_ref,target,bh_level,entry_L,cap_value,episode,notes
2026-08-12 --:--,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,banner,R8.2,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,session start | CONFIG_HASH=89cf9b5d090b… | mode=backtest tier=full
2026-08-12 --:--,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,banner,R2.3,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,levels valid | VT=7720.0 CW=7800.0 IM=—
2026-08-12 09:30,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,outage,R10,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,SPY missing — context reads degrade to CHOP (degraded_vwap)
2026-08-12 09:30,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,state_line,R3.3,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,warmup: range60_pct history below min obs — Branch A inactive
2026-08-12 09:45,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=True
2026-08-12 09:48,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=False
2026-08-12 10:03,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=True
2026-08-12 10:08,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=False
2026-08-12 10:14,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,signal,R6.2,B,sell_first,,,,,0.9960797500000005,5.9764785000000025,0.5271705699999999,0.4689091799999997,0.7399864398407853,0.40423474900000067,12.229999999999563,3.9000000000005457,,DEGRADED_VWAP,,,,,,,,,614,,,,,,,1,SIGNAL B SELL-FIRST | SELL nearest -0.20Δ put (no chain feed) | run=1.00$B/10m rate=6.0 weak=0.47 share=0.74 r15=0.40 pull30=12.23
2026-08-12 10:14,backtest,full,2026-08-12,89cf9b5d090bbeb56490761c4d42701528dabc9f2270b40ce9c246805c2af36a,1,pending_entry,R6.2,B,sell_first,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,614,,,,,-1.606739654999999,,1,
