ts,mode,tier,session_date,config_hash,schema_v,event_type,rule_id,branch,side,s0,expiry,leg_strikes,strike_quote_ts,run,rate,dC,dP,share,r15,pull30,bounce30,context,health,outcome_type,outcome_minutes,exit_ref,cap_source,resolution_debit,adverse,trade_id,entry_min,signal_min,entry_option_mid,resting_limit_ref,target,bh_level,entry_L,cap_value,episode,notes,disposition
2026-08-12 --:--,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,banner,R8.2,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,session start | CONFIG_HASH=e4eb34744eb1… | mode=backtest tier=full,countable
2026-08-12 --:--,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,banner,R2.3,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,levels valid | VT=7720.0 CW=7800.0 IM=—,countable
2026-08-12 09:30,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,outage,R10,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,SPY missing — context reads degrade to CHOP (degraded_vwap),countable
2026-08-12 09:30,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,state_line,R3.3,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,warmup: range60_pct history below min obs — Branch A inactive,countable
2026-08-12 09:45,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=True,countable
2026-08-12 09:48,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=False,countable
2026-08-12 10:03,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=True,countable
2026-08-12 10:08,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=False flow_veto=False,countable
2026-08-12 10:14,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,signal,R6.2,B,sell_first,,,,,0.9960797500000004,5.9764785000000025,0.5271705699999999,0.4689091799999997,0.7399864398407853,0.4042347490000006,12.229999999999563,3.9000000000005457,,DEGRADED_VWAP,,,,,,,,,614.0,,,,,,,1.0,SIGNAL B SELL-FIRST | SELL nearest -0.20Δ put (no chain feed) | run=1.00$B/10m rate=6.0 weak=0.47 share=0.74 r15=0.40 pull30=12.23,countable
2026-08-12 10:14,backtest,full,2026-08-12,e4eb34744eb1e7e01538f984b282eb88a9b36570d4676536091fe39836ca8a8d,1,pending_entry,R6.2,B,sell_first,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,614.0,,,,,-1.606739654999999,,1.0,,countable
