date,branch,episode,min,via
2026-08-12,B,1,614,signal
2026-08-12,B,2,629,late_no_entry
2026-08-12,B,3,647,signal
2026-08-12,B,4,694,signal
2026-08-12,B,5,751,skip
2026-08-12,B,6,813,skip
2026-08-13,A,1,641,signal
2026-08-13,A,2,657,signal
2026-08-13,A,3,679,signal
2026-08-13,A,4,695,skip
2026-08-13,A,5,701,skip
2026-08-13,A,6,721,skip
2026-08-13,B,1,729,skip
2026-08-14,A,1,636,signal
2026-08-14,B,1,651,skip
2026-08-14,B,3,696,signal
2026-08-14,B,4,729,late_no_entry
2026-08-14,B,5,792,signal
2026-08-14,B,6,796,skip
2026-08-17,A,1,822,signal
2026-08-17,B,2,711,signal
2026-08-18,A,1,663,signal
2026-08-18,B,1,622,skip
2026-08-18,B,2,629,late_no_entry
2026-08-18,B,3,634,skip
2026-08-18,B,4,641,late_no_entry
2026-08-18,B,5,710,late_no_entry
2026-08-18,B,7,852,skip
2026-08-18,B,8,865,late_no_entry
2026-08-19,A,1,679,signal
2026-08-19,A,2,704,signal
2026-08-19,A,3,747,signal
2026-08-19,A,4,780,skip
2026-08-19,A,5,793,skip
2026-08-19,B,2,711,skip
2026-08-19,B,5,813,skip
2026-08-19,B,6,821,skip
2026-08-19,B,7,870,skip
2026-08-20,A,1,650,signal
2026-08-20,A,2,654,skip
2026-08-20,A,3,674,signal
2026-08-20,A,4,687,signal
2026-08-20,A,5,707,skip
2026-08-20,A,6,711,skip
2026-08-20,A,7,826,skip
2026-08-20,A,8,858,skip
2026-08-20,B,1,718,skip
2026-08-20,B,2,724,skip
2026-08-20,B,3,771,skip
2026-08-20,B,4,866,skip
