date,disposition,outage_min,mode,config_hash
2026-08-12,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-13,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-14,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-17,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-18,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-19,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-20,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-21,partial,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-06-01,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-06-02,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-24,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-25,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
2026-08-26,countable,0,backtest,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062
