day,U,side,t,S0,result,mins,adverse,move
2026-08-12,1,sell,605,7745.5,fill,5,1.13,3.0
2026-08-12,1,sell,657,7744.46,scratch,6,4.22,-4.22
2026-08-12,5,long,857,7752.57,scratch,6,1.48,-0.89
2026-08-13,1,sell,651,7801.360000000001,scratch,4,3.99,-3.86
2026-08-13,5,long,756,7788.1,fill,4,0.73,3.0
2026-08-14,1,sell,620,7800.110000000001,scratch,3,4.05,-3.49
2026-08-14,5,long,743,7787.610000000001,scratch,2,0.73,-0.73
2026-08-14,5,long,793,7781.41,scratch,6,0.96,0.1
2026-08-17,6,long,827,7756.860000000001,fill,16,0.09,3.0
2026-08-18,1,sell,614,7700.43,fill,1,0.0,3.0
2026-08-18,1,sell,646,7704.93,scratch,7,5.87,-3.56
2026-08-18,5,long,780,7705.35,scratch,6,1.86,-0.06
2026-08-19,1,sell,613,7713.81,scratch,2,7.36,-2.37
2026-08-19,6,long,827,7715.96,fill,20,8.54,3.0
2026-08-20,1,sell,618,7675.03,fill,2,1.73,3.0
2026-08-20,5,long,762,7682.17,scratch,5,2.72,-2.18
2026-08-20,6,long,865,7653.47,scratch,5,1.67,0.34
2026-08-21,1,sell,638,7664.02,scratch,3,3.66,-3.56
2026-08-21,5,long,703,7690.27,scratch,9,5.78,-5.35
