day,t,entry,steep,exit_type,win3,win5,ttf5,adverse
2026-08-12,614,7746.39,False,fill,True,True,4.0,1.0600000000004002
2026-08-12,619,7747.55,False,fill,True,True,5.0,2.550000000000182
2026-08-12,629,7750.58,True,scratch,False,False,,0.8000000000001819
2026-08-12,647,7748.1900000000005,False,timeout_or_other,False,False,,10.110000000000582
2026-08-12,708,7741.4400000000005,False,fill,True,True,13.0,0.38000000000010914
2026-08-12,751,7745.110000000001,False,fill,True,True,8.0,0.42000000000007276
2026-08-12,813,7752.35,False,timeout_or_other,False,False,,2.7600000000002183
2026-08-13,729,7782.81,False,fill,True,True,20.0,3.4400000000005093
2026-08-14,651,7794.1,False,timeout_or_other,False,False,,14.199999999999818
2026-08-14,729,7783.72,True,fill,True,True,9.0,0.4400000000005093
2026-08-14,792,7781.79,False,timeout_or_other,False,False,,5.479999999999563
2026-08-17,711,7774.02,False,timeout_or_other,False,False,,4.960000000000036
2026-08-18,622,7701.9400000000005,False,fill,True,True,2.0,0.0
2026-08-18,629,7706.66,True,fill,True,True,3.0,0.5299999999997453
2026-08-18,634,7708.09,False,timeout_or_other,True,False,,14.199999999999818
2026-08-18,710,7701.16,True,fill,True,True,3.0,0.18999999999959982
2026-08-18,852,7696.6,False,fill,True,True,3.0,0.1500000000005457
2026-08-18,865,7701.1900000000005,True,timeout_or_other,False,False,,5.450000000000728
2026-08-19,599,7719.55,False,fill,False,True,36.0,13.100000000000364
2026-08-19,711,7723.75,False,scratch,False,False,,2.649999999999636
2026-08-19,813,7712.93,False,fill,True,True,20.0,1.1900000000005093
2026-08-19,870,7718.75,False,scratch,False,False,,0.6199999999998909
2026-08-20,718,7676.650000000001,False,fill,False,True,39.0,4.260000000000218
2026-08-20,771,7681.71,False,scratch,False,False,,1.5599999999994907
2026-08-20,866,7653.55,False,timeout_or_other,False,False,,3.180000000000291
2026-08-21,690,7677.7,False,fill,True,True,4.0,0.27999999999974534
2026-08-21,750,7682.87,False,timeout_or_other,False,False,,7.229999999999563
