date,branch,side,signal_min,entry_min,k1,k2,leg1_fill,limit_price,exit_type,exit_ref,minutes,pnl_usd,credit,data_invalid
2026-08-12,B,sell_first,614,615,7475.0,7480.0,35.1,35.0,fill,35.0,10.0,10.0,0.1,False
2026-08-12,B,sell_first,647,648,7520.0,7525.0,40.9,40.8,scratch,41.7,,-80.0,,False
2026-08-12,B,sell_first,694,695,7475.0,7480.0,35.5,35.4,fill,35.4,51.0,10.0,0.1,False
2026-08-13,A,long_first,641,642,7575.0,7570.0,37.5,37.6,fill,37.6,22.0,10.0,0.1,False
2026-08-13,A,long_first,679,680,7530.0,7525.0,33.5,33.6,fill,33.6,8.0,10.0,0.1,False
2026-08-13,A,long_first,695,696,7530.0,7525.0,36.1,36.2,timeout,35.0,,-110.0,,False
2026-08-14,A,long_first,636,637,7575.0,7570.0,37.5,37.6,fill,37.6,38.0,10.0,0.1,False
2026-08-14,B,sell_first,696,697,7570.0,7575.0,38.7,38.6,scratch,39.7,,-100.0,,False
2026-08-14,B,sell_first,792,793,7570.0,7575.0,38.1,38.0,veto_exit,38.7,,-60.0,,False
2026-08-17,B,sell_first,711,712,7505.0,7510.0,40.7,40.6,veto_exit,41.2,,-50.0,,False
2026-08-17,A,long_first,822,823,7480.0,7475.0,41.8,41.9,timeout,40.9,,-90.0,,False
2026-08-18,A,long_first,663,664,7420.0,7415.0,42.8,42.9,fill,42.9,16.0,10.0,0.1,False
2026-08-19,A,long_first,679,680,7475.0,7470.0,39.5,39.6,fill,39.6,12.0,10.0,0.1,False
2026-08-19,A,long_first,704,705,7465.0,7460.0,40.0,40.1,timeout,39.9,,-10.0,,False
2026-08-19,A,long_first,780,781,7460.0,7455.0,40.0,40.1,fill,40.1,21.0,10.0,0.1,False
2026-08-20,A,long_first,650,651,7420.0,7415.0,40.8,40.9,fill,40.9,32.0,10.0,0.1,False
2026-08-20,A,long_first,687,688,7415.0,7410.0,40.5,40.6,fill,40.6,8.0,10.0,0.1,False
2026-08-20,A,long_first,707,708,7405.0,7400.0,41.3,41.4,timeout,38.4,,-290.0,,False
2026-08-21,A,long_first,741,742,7430.0,7425.0,38.3,38.4,timeout,38.5,,20.0,,False
