ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
ABBV,2026-08-26,2026-08-28,success,2,1,56172,,2026-08-28T09:34:14.699982+00:00
ANF,2026-08-22,2026-08-28,success,4,1,112086,,2026-08-28T09:34:39.558909+00:00
BB,2026-08-21,2026-08-28,success,5,1,140467,,2026-08-28T09:35:04.546559+00:00
CIFR,2026-08-12,2026-08-28,success,5,8,140501,,2026-08-28T09:35:28.948197+00:00
COIN,2026-08-20,2026-08-28,success,5,2,140613,,2026-08-28T09:35:56.424196+00:00
CPNG,2026-08-25,2026-08-28,success,3,1,84116,,2026-08-28T09:36:16.881647+00:00
CRSP,2026-08-20,2026-08-28,success,5,2,140306,,2026-08-28T09:36:42.780400+00:00
CVS,2026-08-14,2026-08-28,success,5,6,140401,,2026-08-28T09:37:12.335253+00:00
DJT,2026-08-19,2026-08-28,success,5,3,140456,,2026-08-28T09:37:36.383059+00:00
FANG,2026-08-12,2026-08-28,success,5,8,139512,,2026-08-28T09:38:04.674840+00:00
FDX,2026-08-13,2026-08-28,success,5,7,140091,,2026-08-28T09:38:33.609152+00:00
FHN,2026-08-18,2026-08-28,success,5,4,134891,,2026-08-28T09:38:57.228490+00:00
GAP,2026-08-28,2026-08-28,success,0,1,0,,2026-08-28T09:39:07.795496+00:00
GE,2026-08-27,2026-08-28,success,1,1,28093,,2026-08-28T09:39:21.499297+00:00
GILD,2026-08-21,2026-08-28,success,5,1,140372,,2026-08-28T09:39:50.969556+00:00
GME,2026-08-12,2026-08-28,success,5,8,140469,,2026-08-28T09:40:20.091724+00:00
GS,2026-08-18,2026-08-28,success,5,4,140436,,2026-08-28T09:40:44.369622+00:00
HUM,2026-08-13,2026-08-28,success,5,7,139105,,2026-08-28T09:41:13.290103+00:00
HUT,2026-08-14,2026-08-28,success,5,6,140447,,2026-08-28T09:41:37.694653+00:00
INTC,2026-08-20,2026-08-28,success,5,2,141037,,2026-08-28T09:42:06.570841+00:00
JBLU,2026-08-12,2026-08-28,success,5,8,140398,,2026-08-28T09:42:30.744412+00:00
JD,2026-08-15,2026-08-28,success,5,5,140421,,2026-08-28T09:42:56.459806+00:00
JNJ,2026-08-25,2026-08-28,success,3,1,84258,,2026-08-28T09:43:15.098489+00:00
LCID,2026-08-13,2026-08-28,success,0,12,0,,2026-08-28T09:43:27.551024+00:00
LI,2026-08-15,2026-08-28,success,5,5,140430,,2026-08-28T09:43:52.604323+00:00
LLY,2026-08-18,2026-08-28,success,5,4,140490,,2026-08-28T09:44:23.547497+00:00
LMND,2026-08-20,2026-08-28,success,5,2,140032,,2026-08-28T09:44:51.396818+00:00
LRCX,2026-08-13,2026-08-28,success,5,7,140493,,2026-08-28T09:45:19.263015+00:00
LUMN,2026-08-26,2026-08-28,success,2,1,56114,,2026-08-28T09:45:35.939589+00:00
LUNR,2026-08-25,2026-08-28,success,3,1,84273,,2026-08-28T09:45:52.358267+00:00
LUV,2026-08-15,2026-08-28,success,5,5,139959,,2026-08-28T09:46:18.445859+00:00
LYFT,2026-08-13,2026-08-28,success,5,7,140434,,2026-08-28T09:46:45.242181+00:00
M,2026-08-13,2026-08-28,success,5,7,140311,,2026-08-28T09:47:15.409698+00:00
MELI,2026-08-12,2026-08-28,success,5,8,140266,,2026-08-28T09:47:44.230266+00:00
MGM,2026-08-26,2026-08-28,success,2,1,54777,,2026-08-28T09:47:57.517088+00:00
MRK,2026-08-22,2026-08-28,success,4,1,112356,,2026-08-28T09:48:44.680722+00:00
MSTR,2026-08-20,2026-08-28,success,5,2,140980,,2026-08-28T09:49:13.369530+00:00
NEM,2026-08-21,2026-08-28,success,5,1,140452,,2026-08-28T09:49:44.039008+00:00
NOK,2026-08-12,2026-08-28,success,5,8,140477,,2026-08-28T09:50:11.113953+00:00
PYPL,2026-08-28,2026-08-28,success,0,1,0,,2026-08-28T09:50:23.452749+00:00
QS,2026-08-19,2026-08-28,success,0,8,0,,2026-08-28T09:50:36.977649+00:00
RDW,2026-08-20,2026-08-28,success,5,2,140460,,2026-08-28T09:51:07.743237+00:00
SMCI,2026-08-14,2026-08-28,success,5,6,140687,,2026-08-28T09:51:35.314223+00:00
SOUN,2026-08-22,2026-08-28,success,4,1,112375,,2026-08-28T09:52:02.248867+00:00
STX,2026-08-12,2026-08-28,success,5,8,140489,,2026-08-28T09:52:32.620642+00:00
TEVA,2026-08-19,2026-08-28,success,5,3,139460,,2026-08-28T09:52:57.993854+00:00
VFC,2026-08-12,2026-08-28,success,5,8,138595,,2026-08-28T09:53:27.229097+00:00
WBD,2026-08-20,2026-08-28,success,5,2,140105,,2026-08-28T09:53:55.105567+00:00
XPEV,2026-08-13,2026-08-28,success,5,7,140458,,2026-08-28T09:54:24.152831+00:00
