tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,lower_otm_pct,selection_distance
2026-08-20,BB,buy-first puke,,,54.32539682539683,8.18,-9.513274336283184,-9.513274336283184,-13.787652030943695,31.892935400196,88.85245901639345,27.86,57.6067,-4.567299999999996,62.698412698412696,5.322600000000001,38.888888888888886,19.138200000000005,14.663300000000008,36.507936507936506,-11.08189999999999,9.126984126984128,87.6984126984127,18.253968253968253,26684.85,673775,101535763.68,64.5542,6.33011,0000-00-00,5,False,Infrastructure Software,Technology,XLK,305,267,True,,2026-09-18,30.0,BTO,10.0,0.16734965655575876,0.12,0.13,17932.0,577.0,STO,13.0,0.03,0.05,19167.0,0.0,3.0,0.1,,,False,22.249388753056245,5.250611246943755
2026-08-27,RDW,buy-first puke,,,48.095238095238095,11.23,-4.0990606319385225,-18.02919708029196,1.8926815105159367,-54.0221044540881,0.986842105263158,17.15,85.2943,-4.5667000000000115,86.9047619047619,3.144599999999997,11.904761904761903,14.598299999999997,10.936099999999982,18.650793650793652,-6.136900000000011,25.396825396825395,22.22222222222222,15.873015873015872,26182.75,272965,193050411.68,79.1341,12.49029,0000-00-00,9,False,Aerospace & Defense Manufacturing,Industrials,XLI,304,270,True,,2026-09-25,30.0,BTO,13.5,0.2709509381408914,0.35,0.45,131.0,8.0,STO,18.0,0.05,0.1,4066.0,4.0,4.5,0.4,,,False,20.213713268032052,7.286286731967948
2026-08-20,RDW,buy-first puke,,,47.65873015873016,11.71,-11.888638073739644,-14.52554744525546,2.8022614741721297,-20.708470353383657,9.836065573770492,21.24,86.8813,-4.116099999999989,88.88888888888889,4.013300000000001,24.603174603174605,12.449300000000008,7.045099999999991,9.126984126984128,-2.7014000000000067,32.93650793650794,45.63492063492063,22.22222222222222,27631.75,393317,217397308.4,82.3322,11.72334,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,305,267,True,,2026-09-18,30.0,BTO,15.0,0.20404810893554473,0.25,0.35,1646.0,532.0,STO,20.0,0.05,0.1,826.0,13.0,5.0,0.3,,,False,28.095644748078552,0.595644748078552
2026-08-19,RDW,buy-first puke,,,47.480158730158735,12.41,-8.210059171597628,-9.416058394160576,8.183973777808774,-12.550440245051009,20.0,22.53,88.0035,-4.775199999999998,84.92063492063492,3.7483999999999895,20.238095238095237,12.655500000000004,19.169200000000004,46.42857142857143,5.100999999999999,54.76190476190476,67.85714285714286,20.634920634920636,27475.45,391752,230488884.56,86.1466,10.60295,0000-00-00,11,False,Aerospace & Defense Manufacturing,Industrials,XLI,305,268,True,,2026-09-18,31.0,BTO,16.0,0.21492575329613428,0.3,0.35,4116.0,90.0,STO,21.0,0.05,0.15,112.0,3.0,5.0,0.3,,,False,28.928283642224017,1.4282836422240166
2026-08-21,SOUN,buy-first puke,,,47.261904761904766,7.37,-0.9408602150537626,-8.674101610904582,9.842613568618065,-10.919141010105992,21.311475409836063,4.26,67.06060000000001,-2.846199999999996,80.55555555555556,3.739899999999992,15.873015873015872,13.025199999999984,11.822400000000002,4.365079365079365,-3.496099999999984,37.301587301587304,37.698412698412696,3.5714285714285716,68158.15,730422,243922454.56,67.7511,5.16283,0000-00-00,10,False,Application Software,Technology,XLK,305,270,True,,2026-10-16,57.0,BTO,9.0,0.286660806191396,0.32,0.36,5149.0,241.0,STO,14.0,0.05,0.07,4398.0,43.0,5.0,0.31,,,False,22.116689280868385,5.3833107191316145
2026-08-17,JD,buy-first puke,,,47.023809523809526,28.52,-14.636336426219687,-14.636336426219687,-2.2986536946319025,-13.511630760378424,20.588235294117645,13.19,30.128,0.0733999999999959,78.17460317460318,0.946200000000001,15.873015873015872,5.448299999999996,6.724500000000003,34.92063492063492,2.3122000000000043,75.0,26.58730158730159,14.682539682539682,32860.5,1010453,266731191.22,76.315,2.77635,0000-00-00,12,False,E-commerce & Internet Retail,C. Cyclical,XLY,306,268,True,,2026-10-16,61.0,BTO,36.0,0.07334115418584831,0.12,0.14,371.0,1.0,STO,41.0,0.03,0.05,289.0,4.0,5.0,0.11000000000000001,,,False,26.22720897615709,1.2727910238429097
2026-08-26,SOUN,buy-first puke,,,46.4484126984127,7.04,-1.4005602240896309,-12.763320941759604,5.008800453447071,-11.223674804296335,20.26143790849673,0.0,65.8254,-4.170400000000001,71.42857142857143,3.505499999999998,13.88888888888889,16.417599999999993,15.490500000000011,7.5396825396825395,-1.6777999999999906,39.68253968253968,25.0,4.365079365079365,68003.15,574026,225879948.45,55.3406,5.75159,0000-00-00,10,False,Application Software,Technology,XLK,306,271,True,,2026-10-16,52.0,BTO,9.0,0.22233790937217596,0.22,0.23,15215.0,890.0,STO,14.0,0.05,0.07,4401.0,51.0,5.0,0.18,,,False,27.840909090909083,0.34090909090908283
2026-08-25,RDW,buy-first puke,,,45.93253968253968,11.46,-10.747663551401864,-16.350364963503637,2.83376105956461,-44.810797641421665,1.639344262295082,18.98,86.3488,-6.077500000000001,75.7936507936508,4.593400000000003,32.93650793650794,15.118200000000002,16.141800000000003,37.301587301587304,3.911000000000002,51.58730158730159,62.301587301587304,21.428571428571427,27456.2,264168,198317416.44000003,89.2713,12.10281,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,305,271,True,,2026-09-25,32.0,BTO,14.5,0.23510559003151305,0.3,0.4,81.0,7.0,STO,19.0,0.05,0.1,64.0,1.0,4.5,0.35000000000000003,,,False,26.527050610820236,0.9729493891797638
2026-08-11,NOK,buy-first puke,,,45.83333333333333,9.46,-5.020080321285136,-15.535714285714274,-21.864675564953096,-33.16031006993302,4.590163934426229,50.78,59.0611,-2.397100000000002,69.84126984126983,2.6177000000000064,23.015873015873016,10.092100000000002,10.774500000000018,29.365079365079364,1.937400000000011,65.07936507936508,33.333333333333336,61.507936507936506,222893.95,3691383,874612239.3800001,68.8963,4.12705,0000-00-00,10,False,Communications Equipment Manufacturing,Technology,XLK,305,266,True,,2026-10-16,67.0,BTO,12.0,0.2520450923083976,0.33,0.35,8277.0,521.0,STO,17.0,0.05,0.07,8357.0,69.0,5.0,0.3,,,False,26.84989429175475,0.650105708245249
2026-08-18,DJT,buy-first puke,,,45.17857142857143,8.09,-9.608938547486025,-22.1366698748797,-7.388327952927176,-4.276877466604667,32.02614379084967,37.84,63.9803,-4.453400000000002,65.87301587301587,4.134600000000006,28.174603174603178,12.418900000000008,7.500999999999991,2.380952380952381,-10.246600000000017,10.317460317460318,9.92063492063492,29.761904761904763,23470.75,539297,38309573.7,60.3203,17.69162,0000-00-00,11,False,Internet Content & Media,Financials,XLF,306,268,True,,2026-09-18,32.0,BTO,10.0,0.15133388501050385,0.14,0.19,4446.0,72.0,STO,13.0,0.04,0.05,1185.0,11.0,3.0,0.15,,,False,23.60939431396787,3.8906056860321314
