ticker,tradeDate,source
AA,2026-08-24,new surface qualifier
AAL,2026-08-24,new surface qualifier
AAP,2026-08-24,new surface qualifier
ABBV,2026-08-28,prior inventory refresh
ABNB,2026-08-24,new surface qualifier
AFRM,2026-08-24,new surface qualifier
AG,2026-08-24,new surface qualifier
ALAB,2026-08-24,new surface qualifier
ALB,2026-08-24,new surface qualifier
AMAT,2026-08-31,new surface qualifier
AMD,2026-08-24,new surface qualifier
AMZN,2026-08-26,new surface qualifier
ANET,2026-08-25,new surface qualifier
ANF,2026-08-28,prior inventory refresh
APA,2026-08-24,new surface qualifier
APLD,2026-08-31,new surface qualifier
APO,2026-08-24,new surface qualifier
APP,2026-08-24,new surface qualifier
ARM,2026-08-28,new surface qualifier
ASML,2026-08-28,new surface qualifier
AVGO,2026-08-24,new surface qualifier
AXP,2026-08-24,new surface qualifier
BA,2026-08-25,new surface qualifier
BAC,2026-08-24,new surface qualifier
BB,2026-08-28,prior inventory refresh
BE,2026-08-24,new surface qualifier
BILI,2026-08-24,new surface qualifier
BMNR,2026-08-24,new surface qualifier
BMY,2026-08-26,new surface qualifier
BTU,2026-08-27,new surface qualifier
BX,2026-08-24,new surface qualifier
BYND,2026-08-28,new surface qualifier
C,2026-08-24,new surface qualifier
CART,2026-08-25,new surface qualifier
CCJ,2026-08-24,new surface qualifier
CCL,2026-08-24,new surface qualifier
CEG,2026-08-24,new surface qualifier
CELH,2026-08-25,new surface qualifier
CIFR,2026-08-28,prior inventory refresh
CLF,2026-08-25,new surface qualifier
CMCSA,2026-08-24,new surface qualifier
CMG,2026-08-26,new surface qualifier
COIN,2026-08-28,prior inventory refresh
COP,2026-08-27,new surface qualifier
COST,2026-08-25,new surface qualifier
CPNG,2026-08-28,prior inventory refresh
CRDO,2026-08-24,new surface qualifier
CRSP,2026-08-28,prior inventory refresh
CRWV,2026-08-24,new surface qualifier
CVNA,2026-08-24,new surface qualifier
CVS,2026-08-28,prior inventory refresh
DAL,2026-08-24,new surface qualifier
DASH,2026-08-24,new surface qualifier
DIS,2026-08-24,new surface qualifier
DJT,2026-08-28,prior inventory refresh
EBAY,2026-08-28,new surface qualifier
ENPH,2026-08-24,new surface qualifier
ETSY,2026-08-25,new surface qualifier
EXPE,2026-08-26,new surface qualifier
F,2026-08-26,new surface qualifier
FANG,2026-08-28,prior inventory refresh
FDX,2026-08-28,prior inventory refresh
FHN,2026-08-28,prior inventory refresh
FSLR,2026-08-24,new surface qualifier
GAP,2026-08-28,prior inventory refresh
GE,2026-08-28,prior inventory refresh
GILD,2026-08-28,prior inventory refresh
GM,2026-09-01,new surface qualifier
GME,2026-08-28,prior inventory refresh
GOOG,2026-08-24,new surface qualifier
GOOGL,2026-08-24,new surface qualifier
GS,2026-08-28,prior inventory refresh
HIMS,2026-08-24,new surface qualifier
HOOD,2026-08-28,new surface qualifier
HUM,2026-08-28,prior inventory refresh
HUT,2026-08-28,prior inventory refresh
IBM,2026-08-27,new surface qualifier
INOD,2026-08-26,new surface qualifier
INTC,2026-08-28,prior inventory refresh
IONQ,2026-08-24,new surface qualifier
IREN,2026-08-24,new surface qualifier
JBLU,2026-08-28,prior inventory refresh
JD,2026-08-28,prior inventory refresh
JNJ,2026-08-28,prior inventory refresh
JPM,2026-08-24,new surface qualifier
KTOS,2026-08-25,new surface qualifier
LCID,2026-08-28,prior inventory refresh
LEN,2026-08-27,new surface qualifier
LI,2026-08-28,prior inventory refresh
LLY,2026-08-28,prior inventory refresh
LMND,2026-08-28,prior inventory refresh
LMT,2026-08-26,new surface qualifier
LRCX,2026-08-28,prior inventory refresh
LUMN,2026-08-28,prior inventory refresh
LUNR,2026-08-28,prior inventory refresh
LUV,2026-08-28,prior inventory refresh
LVS,2026-08-24,new surface qualifier
LYFT,2026-08-28,prior inventory refresh
M,2026-08-28,prior inventory refresh
MA,2026-08-25,new surface qualifier
MARA,2026-08-31,new surface qualifier
MELI,2026-08-28,prior inventory refresh
MGM,2026-08-28,prior inventory refresh
MMM,2026-08-24,new surface qualifier
MRK,2026-08-28,prior inventory refresh
MRNA,2026-08-26,new surface qualifier
MRVL,2026-08-25,new surface qualifier
MS,2026-08-28,new surface qualifier
MSTR,2026-08-28,prior inventory refresh
MU,2026-08-27,new surface qualifier
NBIS,2026-08-24,new surface qualifier
NCLH,2026-08-24,new surface qualifier
NEE,2026-08-24,new surface qualifier
NEM,2026-08-28,prior inventory refresh
NET,2026-08-26,new surface qualifier
NOK,2026-08-28,prior inventory refresh
NVAX,2026-08-25,new surface qualifier
NVDA,2026-08-24,new surface qualifier
NVO,2026-08-28,new surface qualifier
OKLO,2026-08-24,new surface qualifier
ON,2026-08-24,new surface qualifier
ONON,2026-08-24,new surface qualifier
OXY,2026-08-24,new surface qualifier
PEP,2026-08-26,new surface qualifier
PG,2026-08-24,new surface qualifier
PINS,2026-08-24,new surface qualifier
PLTR,2026-08-24,new surface qualifier
PYPL,2026-08-28,prior inventory refresh
QCOM,2026-08-24,new surface qualifier
QS,2026-08-28,prior inventory refresh
QUBT,2026-08-24,new surface qualifier
RBLX,2026-08-24,new surface qualifier
RCL,2026-08-24,new surface qualifier
RDDT,2026-08-24,new surface qualifier
RDW,2026-08-28,prior inventory refresh
RGTI,2026-08-24,new surface qualifier
RH,2026-09-01,new surface qualifier
RIOT,2026-08-28,new surface qualifier
RIVN,2026-08-25,new surface qualifier
ROKU,2026-08-25,new surface qualifier
RTX,2026-08-24,new surface qualifier
RUN,2026-08-24,new surface qualifier
SBUX,2026-08-24,new surface qualifier
SCHW,2026-08-24,new surface qualifier
SE,2026-08-25,new surface qualifier
SEDG,2026-08-25,new surface qualifier
SHOP,2026-08-24,new surface qualifier
SLB,2026-08-24,new surface qualifier
SMCI,2026-08-28,prior inventory refresh
SMR,2026-08-26,new surface qualifier
SOFI,2026-08-24,new surface qualifier
SOUN,2026-08-28,prior inventory refresh
SPOT,2026-08-26,new surface qualifier
STX,2026-08-28,prior inventory refresh
T,2026-08-24,new surface qualifier
TEVA,2026-08-28,prior inventory refresh
TFC,2026-08-24,new surface qualifier
TGT,2026-08-24,new surface qualifier
TOST,2026-08-24,new surface qualifier
TSM,2026-08-24,new surface qualifier
TXN,2026-08-26,new surface qualifier
U,2026-08-28,new surface qualifier
UAL,2026-08-24,new surface qualifier
UBER,2026-08-27,new surface qualifier
UNH,2026-08-27,new surface qualifier
UPS,2026-08-24,new surface qualifier
UPST,2026-08-24,new surface qualifier
V,2026-08-24,new surface qualifier
VFC,2026-08-28,prior inventory refresh
VRT,2026-08-24,new surface qualifier
VST,2026-08-24,new surface qualifier
W,2026-08-24,new surface qualifier
WBD,2026-08-28,prior inventory refresh
WFC,2026-08-24,new surface qualifier
WMT,2026-08-24,new surface qualifier
WULF,2026-08-24,new surface qualifier
WYNN,2026-08-24,new surface qualifier
XPEV,2026-08-28,prior inventory refresh
XYZ,2026-08-24,new surface qualifier
