ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
AA,2026-08-25,2026-09-02,success,4,3,112284,,2026-09-03T11:27:54.146685+00:00
AAL,2026-08-25,2026-09-02,success,4,3,112357,,2026-09-03T11:28:18.871604+00:00
AAP,2026-08-25,2026-09-02,success,4,3,112293,,2026-09-03T11:28:38.725123+00:00
ABBV,2026-08-29,2026-09-02,success,3,0,84257,,2026-09-03T11:29:01.036268+00:00
ABNB,2026-08-25,2026-09-02,success,4,3,112302,,2026-09-03T11:29:23.921151+00:00
AFRM,2026-08-25,2026-09-02,success,4,3,112597,,2026-09-03T11:29:46.802355+00:00
AG,2026-08-25,2026-09-02,success,4,3,112359,,2026-09-03T11:30:06.333686+00:00
ALAB,2026-08-25,2026-09-02,success,4,3,112399,,2026-09-03T11:30:28.522792+00:00
ALB,2026-08-25,2026-09-02,success,4,3,112244,,2026-09-03T11:30:50.243351+00:00
AMAT,2026-09-01,2026-09-02,success,2,0,56213,,2026-09-03T11:31:06.434639+00:00
AMD,2026-08-25,2026-09-02,success,4,3,112596,,2026-09-03T11:31:26.493804+00:00
AMZN,2026-08-27,2026-09-02,success,5,0,140713,,2026-09-03T11:31:51.240821+00:00
ANET,2026-08-26,2026-09-02,success,4,2,112039,,2026-09-03T11:32:15.449589+00:00
ANF,2026-08-29,2026-09-02,success,3,0,84201,,2026-09-03T11:32:35.844432+00:00
APA,2026-08-25,2026-09-02,success,4,3,112044,,2026-09-03T11:32:53.973426+00:00
APLD,2026-09-01,2026-09-02,success,2,0,56194,,2026-09-03T11:33:08.729881+00:00
APO,2026-08-25,2026-09-02,success,4,3,111702,,2026-09-03T11:33:33.212832+00:00
APP,2026-08-25,2026-09-02,success,4,3,112378,,2026-09-03T11:33:53.367728+00:00
ARM,2026-08-29,2026-09-02,success,3,0,84296,,2026-09-03T11:34:15.593961+00:00
ASML,2026-08-29,2026-09-02,success,3,0,84293,,2026-09-03T11:34:35.681613+00:00
AVGO,2026-08-25,2026-09-02,success,4,3,103247,,2026-09-03T11:34:55.846261+00:00
AXP,2026-08-25,2026-09-02,success,4,3,112330,,2026-09-03T11:35:18.471195+00:00
BA,2026-08-26,2026-09-02,success,4,2,112374,,2026-09-03T11:35:42.824328+00:00
BAC,2026-08-25,2026-09-02,success,4,3,112359,,2026-09-03T11:36:02.505720+00:00
BB,2026-08-29,2026-09-02,success,3,0,84184,,2026-09-03T11:36:20.743228+00:00
BE,2026-08-25,2026-09-02,success,4,3,112495,,2026-09-03T11:36:43.545536+00:00
BILI,2026-08-25,2026-09-02,success,4,3,112182,,2026-09-03T11:37:06.644171+00:00
BMNR,2026-08-25,2026-09-02,success,4,3,112592,,2026-09-03T11:37:27.750751+00:00
BMY,2026-08-27,2026-09-02,success,5,0,140384,,2026-09-03T11:37:55.942229+00:00
BTU,2026-08-28,2026-09-02,success,4,0,112229,,2026-09-03T11:38:16.769960+00:00
BX,2026-08-25,2026-09-02,success,4,3,112235,,2026-09-03T11:38:37.218108+00:00
BYND,2026-08-29,2026-09-02,success,0,3,0,,2026-09-03T11:38:48.510211+00:00
C,2026-08-25,2026-09-02,success,4,3,112073,,2026-09-03T11:39:10.089142+00:00
CART,2026-08-26,2026-09-02,success,4,2,109724,,2026-09-03T11:39:30.343343+00:00
CCJ,2026-08-25,2026-09-02,success,4,3,112342,,2026-09-03T11:39:51.342713+00:00
CCL,2026-08-25,2026-09-02,success,4,3,112380,,2026-09-03T11:40:09.438997+00:00
CEG,2026-08-25,2026-09-02,success,4,3,112331,,2026-09-03T11:40:30.249750+00:00
