ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
AA,2026-09-04,2026-09-04,success,1,0,28084,,2026-09-04T22:07:41.207600+00:00
AAL,2026-09-04,2026-09-04,success,1,0,28093,,2026-09-04T22:07:49.997285+00:00
AAP,2026-09-04,2026-09-04,success,1,0,28056,,2026-09-04T22:08:00.675713+00:00
AFRM,2026-09-04,2026-09-04,success,1,0,28087,,2026-09-04T22:08:14.101796+00:00
ALB,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:08:23.532922+00:00
AMAT,2026-09-04,2026-09-04,success,1,0,28107,,2026-09-04T22:08:33.189956+00:00
AMD,2026-09-04,2026-09-04,success,1,0,28153,,2026-09-04T22:08:44.992819+00:00
AMZN,2026-09-04,2026-09-04,success,1,0,28125,,2026-09-04T22:08:53.328999+00:00
ANET,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:09:06.444357+00:00
APO,2026-09-04,2026-09-04,success,1,0,27726,,2026-09-04T22:09:18.735513+00:00
APP,2026-09-04,2026-09-04,success,1,0,28090,,2026-09-04T22:09:31.403238+00:00
ARM,2026-09-04,2026-09-04,success,1,0,28102,,2026-09-04T22:09:43.290402+00:00
ASML,2026-09-04,2026-09-04,success,1,0,28095,,2026-09-04T22:09:52.996462+00:00
AVGO,2026-09-04,2026-09-04,success,1,0,28177,,2026-09-04T22:10:03.298743+00:00
AXP,2026-09-04,2026-09-04,success,1,0,28083,,2026-09-04T22:10:11.761664+00:00
BA,2026-09-04,2026-09-04,success,1,0,28096,,2026-09-04T22:10:23.869659+00:00
BAC,2026-09-04,2026-09-04,success,1,0,28090,,2026-09-04T22:10:33.382563+00:00
BE,2026-09-04,2026-09-04,success,1,0,28194,,2026-09-04T22:10:49.837303+00:00
BMNR,2026-09-04,2026-09-04,success,1,0,28113,,2026-09-04T22:10:59.980327+00:00
BMY,2026-09-04,2026-09-04,success,1,0,28084,,2026-09-04T22:11:13.519221+00:00
BTU,2026-09-04,2026-09-04,success,1,0,28078,,2026-09-04T22:11:21.768895+00:00
BX,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:11:34.039778+00:00
C,2026-09-04,2026-09-04,success,1,0,28023,,2026-09-04T22:11:44.469235+00:00
CART,2026-09-04,2026-09-04,success,1,0,27680,,2026-09-04T22:11:54.503701+00:00
CCJ,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:12:03.694880+00:00
CCL,2026-09-04,2026-09-04,success,1,0,28085,,2026-09-04T22:12:16.776207+00:00
CEG,2026-09-04,2026-09-04,success,1,0,28081,,2026-09-04T22:12:30.129776+00:00
CELH,2026-09-04,2026-09-04,success,1,0,28092,,2026-09-04T22:12:41.740203+00:00
CIFR,2026-09-04,2026-09-04,success,1,0,28093,,2026-09-04T22:12:56.466313+00:00
COST,2026-09-04,2026-09-04,success,1,0,28097,,2026-09-04T22:13:05.211716+00:00
CRDO,2026-09-04,2026-09-04,success,1,0,28118,,2026-09-04T22:13:17.815325+00:00
CRSP,2026-09-04,2026-09-04,success,1,0,27945,,2026-09-04T22:13:28.213075+00:00
CRWV,2026-09-04,2026-09-04,success,1,0,28132,,2026-09-04T22:13:41.365772+00:00
CVNA,2026-09-04,2026-09-04,success,1,0,28085,,2026-09-04T22:13:49.487717+00:00
CVS,2026-09-04,2026-09-04,success,1,0,28017,,2026-09-04T22:14:02.961299+00:00
DAL,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:14:11.484985+00:00
DASH,2026-09-04,2026-09-04,success,1,0,27996,,2026-09-04T22:14:24.680598+00:00
DIS,2026-09-04,2026-09-04,success,1,0,28060,,2026-09-04T22:14:37.953899+00:00
EBAY,2026-09-04,2026-09-04,success,1,0,28085,,2026-09-04T22:14:49.158101+00:00
ENPH,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:15:02.551127+00:00
