ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
ABNB,2026-09-02,2026-09-04,success,3,0,84083,,2026-09-04T22:35:51.919449+00:00
AG,2026-09-02,2026-09-04,success,3,0,84261,,2026-09-04T22:36:06.517745+00:00
ALAB,2026-09-02,2026-09-04,success,3,0,84296,,2026-09-04T22:36:22.605028+00:00
APA,2026-09-02,2026-09-04,success,3,0,84255,,2026-09-04T22:36:41.627312+00:00
BB,2026-09-03,2026-09-04,success,2,0,56175,,2026-09-04T22:36:53.492455+00:00
BILI,2026-09-02,2026-09-04,success,3,0,84192,,2026-09-04T22:37:08.633800+00:00
CLF,2026-09-02,2026-09-04,success,3,0,84266,,2026-09-04T22:37:24.831844+00:00
CMCSA,2026-09-03,2026-09-04,success,2,0,56062,,2026-09-04T22:37:35.846589+00:00
IREN,2026-09-03,2026-09-04,success,2,0,56297,,2026-09-04T22:37:51.180863+00:00
LRCX,2026-09-03,2026-09-04,success,2,0,56196,,2026-09-04T22:38:05.738499+00:00
NEM,2026-09-03,2026-09-04,success,2,0,56178,,2026-09-04T22:38:20.438747+00:00
PG,2026-09-03,2026-09-04,success,2,0,56171,,2026-09-04T22:38:34.309777+00:00
PYPL,2026-09-03,2026-09-04,success,2,0,56188,,2026-09-04T22:38:45.978712+00:00
QCOM,2026-09-02,2026-09-04,success,3,0,84302,,2026-09-04T22:39:01.566110+00:00
SBUX,2026-09-02,2026-09-04,success,3,0,84263,,2026-09-04T22:39:15.611349+00:00
SE,2026-09-02,2026-09-04,success,3,0,84123,,2026-09-04T22:39:33.301186+00:00
SOFI,2026-09-02,2026-09-04,success,3,0,84305,,2026-09-04T22:39:46.905382+00:00
V,2026-09-02,2026-09-04,success,3,0,84266,,2026-09-04T22:40:07.094560+00:00
