tradeDate,scenario,signal_data_status,surface_count,exact_chain_count,surface_tickers,exact_chain_tickers
2026-08-11,sell-first call grab,evaluated,1,0,FANG,
2026-08-11,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-12,sell-first call grab,evaluated,2,0,"FDX,LRCX",
2026-08-12,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-13,sell-first call grab,evaluated,2,0,"LRCX,SMCI",
2026-08-13,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-14,sell-first call grab,evaluated,0,0,,
2026-08-14,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-17,sell-first call grab,evaluated,2,0,"GS,LRCX",
2026-08-17,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-18,sell-first call grab,evaluated,0,0,,
2026-08-18,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-19,sell-first call grab,evaluated,2,1,"COIN,MSTR",MSTR
2026-08-19,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-20,sell-first call grab,evaluated,3,1,"COIN,MSTR,NEM",MSTR
2026-08-20,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-21,sell-first call grab,evaluated,3,1,"MRK,MSTR,NEM",MSTR
2026-08-21,buy-first put-tail inventory,not_in_scope,0,0,,
2026-08-24,sell-first call grab,evaluated,3,1,"CPNG,JNJ,MSTR",MSTR
2026-08-24,buy-first put-tail inventory,evaluated,89,7,"AA,AAL,AAP,ABNB,AFRM,AG,ALAB,ALB,AMD,APA,APO,APP,AVGO,AXP,BAC,BE,BILI,BMNR,BX,C,CCJ,CCL,CEG,CIFR,CMCSA,CRDO,CRWV,CVNA,CVS,DAL,DASH,DIS,ENPH,FSLR,GE,GOOG,GOOGL,HIMS,IONQ,IREN,JPM,LUV,LVS,M,MELI,MMM,NBIS,NCLH,NEE,NVDA,OKLO,ON,ONON,OXY,PG,PINS,PLTR,QCOM,QUBT,RBLX,RCL,RDDT,RGTI,RTX,RUN,SBUX,SCHW,SHOP,SLB,SOFI,T,TEVA,TFC,TGT,TOST,TSM,UAL,UPS,UPST,V,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","CCJ,CRWV,GOOG,GOOGL,NVDA,PLTR,TGT"
2026-08-25,sell-first call grab,evaluated,2,0,"ABBV,CPNG",
2026-08-25,buy-first put-tail inventory,evaluated,92,8,"AAL,ABNB,AFRM,ALAB,ALB,AMD,ANET,APA,APO,APP,AVGO,AXP,BA,BAC,BE,BMNR,BX,C,CART,CCJ,CCL,CEG,CELH,CLF,COST,CRDO,CRWV,CVNA,CVS,DAL,DASH,DIS,ETSY,FHN,FSLR,GILD,GME,GOOG,GOOGL,HIMS,IONQ,IREN,JPM,KTOS,LUV,LVS,M,MA,MMM,MRVL,NBIS,NCLH,NEE,NVAX,NVDA,OKLO,ON,ONON,OXY,PINS,QCOM,QUBT,RBLX,RCL,RDDT,RGTI,RIVN,ROKU,RTX,RUN,SBUX,SCHW,SE,SEDG,SHOP,SOFI,TFC,TGT,TOST,UAL,UPS,UPST,V,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","BE,CRWV,GOOG,GOOGL,IREN,NVDA,SCHW,SOFI"
2026-08-26,sell-first call grab,evaluated,0,0,,
2026-08-26,buy-first put-tail inventory,evaluated,102,7,"AA,AAL,AAP,ABNB,AFRM,AG,ALAB,ALB,AMD,AMZN,APA,APO,APP,AVGO,AXP,BA,BAC,BE,BMNR,BMY,BX,C,CCJ,CCL,CEG,CELH,CIFR,CLF,CMG,COST,CRDO,CRWV,CVNA,CVS,DAL,DASH,DIS,EXPE,F,FDX,FHN,FSLR,GME,GOOG,GOOGL,INOD,IONQ,IREN,JPM,KTOS,LMT,LVS,M,MA,MRNA,MRVL,NBIS,NCLH,NEE,NET,NVDA,OKLO,ON,ONON,OXY,PEP,PG,PINS,PLTR,PYPL,QCOM,QUBT,RBLX,RCL,RDDT,RGTI,RIVN,RTX,RUN,SBUX,SHOP,SMR,SOFI,SPOT,TFC,TGT,TOST,TSM,TXN,UAL,UPS,UPST,V,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","AMZN,BE,BMNR,IREN,MRNA,NVDA,PLTR"
2026-08-27,sell-first call grab,evaluated,1,0,GAP,
2026-08-27,buy-first put-tail inventory,evaluated,92,7,"AA,AAL,AFRM,AG,AMD,AMZN,ANET,ANF,APA,APO,APP,AXP,BA,BAC,BE,BILI,BMNR,BTU,BX,C,CCJ,CCL,CEG,CELH,COP,COST,CRDO,CRWV,CVNA,CVS,DAL,DIS,ETSY,EXPE,FDX,FHN,FSLR,GE,GILD,GOOG,GOOGL,IBM,IONQ,IREN,JPM,LEN,LMT,LUV,M,MA,MELI,MRNA,MU,NBIS,NCLH,NEE,NVDA,ON,ONON,OXY,PEP,PG,PLTR,RBLX,RCL,RDDT,RGTI,RIVN,RTX,SCHW,SHOP,SMR,SPOT,TEVA,TFC,TOST,TSM,TXN,UAL,UBER,UNH,UPS,UPST,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","AMZN,CRWV,GOOG,GOOGL,NBIS,NVDA,PLTR"
2026-08-28,sell-first call grab,evaluated,1,0,CPNG,
2026-08-28,buy-first put-tail inventory,evaluated,107,7,"AA,AAL,AAP,AFRM,ALB,AMD,ANET,APA,APO,APP,ARM,ASML,AVGO,AXP,BA,BAC,BE,BMNR,BMY,BTU,BX,C,CCJ,CCL,CEG,CELH,CMG,COP,COST,CRDO,CRWV,CVNA,DAL,DIS,EBAY,ENPH,ETSY,EXPE,F,FDX,FHN,FSLR,GE,GILD,GOOG,GOOGL,GS,HOOD,IBM,INOD,IONQ,IREN,JPM,LLY,LUV,LVS,LYFT,MA,MRNA,MRVL,MS,MU,NBIS,NCLH,NEE,NVDA,NVO,OKLO,ON,ONON,OXY,PEP,PG,PINS,PYPL,QCOM,RBLX,RCL,RIOT,RIVN,RTX,RUN,SBUX,SCHW,SE,SEDG,SHOP,SOFI,T,TFC,TGT,TOST,TSM,TXN,UAL,UBER,UNH,UPS,UPST,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","BMNR,CRWV,CVNA,GOOGL,HOOD,MRVL,NVDA"
2026-08-31,sell-first call grab,evaluated,1,1,MSTR,MSTR
2026-08-31,buy-first put-tail inventory,evaluated,110,12,"AAL,ABNB,AFRM,AG,ALAB,ALB,AMAT,AMD,AMZN,ANET,APA,APLD,APO,APP,ARM,ASML,AVGO,AXP,BA,BAC,BE,BMNR,BMY,BTU,BX,C,CCJ,CCL,CEG,CELH,CIFR,CMG,COST,CRDO,CRWV,CVNA,CVS,DAL,DASH,DIS,ETSY,EXPE,FSLR,GE,GILD,GOOG,GOOGL,GS,HOOD,IBM,IONQ,IREN,JPM,LEN,LLY,LUV,LVS,M,MA,MARA,MRVL,MS,MU,NBIS,NCLH,NEE,NVDA,OKLO,ON,ONON,PEP,PG,PINS,PLTR,PYPL,QCOM,QUBT,RCL,RDDT,RIOT,RIVN,RTX,RUN,SBUX,SCHW,SE,SEDG,SHOP,SOFI,SPOT,T,TEVA,TGT,TOST,TSM,TXN,UAL,UNH,UPS,V,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XPEV,XYZ","AMZN,BE,BMNR,CRWV,GOOG,GOOGL,HOOD,MRVL,NVDA,OKLO,PLTR,SHOP"
2026-09-01,sell-first call grab,evaluated,0,0,,
