date,disposition,outage_min,mode,config_hash
2026-08-12,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-13,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-14,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-17,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-18,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-19,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-20,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-21,partial,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-24,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-25,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-26,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-27,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-28,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-08-31,event_standdown,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-09-01,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-09-02,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-09-03,countable,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
2026-09-04,event_standdown,0,backtest,1d29de15b88e29e3fe68872a0e916ee4b6dee54c08c2d6255ff98855d0cefcee
