A_gate,B_filter,A_credit,trades,bombs,A,B,credits,failed,cash,inv,MTM,cash_per_bomb
none,none,0.10,31,16,24/13,7/3,160,-1630,-1470,590,-879,-92.0
none,none,0.20,31,16,24/13,7/3,290,-1630,-1340,590,-749,-84.0
none,none,0.30,31,16,24/13,7/3,420,-1630,-1210,590,-619,-76.0
none,pull5,0.10,29,16,24/13,5/3,160,-1520,-1360,590,-769,-85.0
none,pull5,0.20,29,16,24/13,5/3,290,-1520,-1230,590,-639,-77.0
none,pull5,0.30,29,16,24/13,5/3,420,-1520,-1100,590,-509,-69.0
none,pull8,0.10,26,15,24/13,2/2,150,-1340,-1190,575,-614,-79.0
none,pull8,0.20,26,15,24/13,2/2,280,-1340,-1060,575,-484,-71.0
none,pull8,0.30,26,15,24/13,2/2,410,-1340,-930,575,-354,-62.0
none,size1,0.10,29,17,24/13,5/4,170,-1420,-1250,610,-639,-74.0
none,size1,0.20,29,17,24/13,5/4,300,-1420,-1120,610,-509,-66.0
none,size1,0.30,29,17,24/13,5/4,430,-1420,-990,610,-379,-58.0
r30<-1,none,0.10,28,15,20/12,8/3,150,-1330,-1180,555,-624,-79.0
r30<-1,none,0.20,28,14,20/11,8/3,250,-1280,-1030,535,-494,-74.0
r30<-1,none,0.30,28,14,20/11,8/3,360,-1280,-920,535,-384,-66.0
r30<-1,pull5,0.10,25,15,20/12,5/3,150,-1140,-990,555,-434,-66.0
r30<-1,pull5,0.20,25,14,20/11,5/3,250,-1090,-840,535,-304,-60.0
r30<-1,pull5,0.30,25,14,20/11,5/3,360,-1090,-730,535,-194,-52.0
r30<-1,pull8,0.10,22,14,20/12,2/2,140,-960,-820,540,-279,-59.0
r30<-1,pull8,0.20,22,13,20/11,2/2,240,-910,-670,520,-149,-52.0
r30<-1,pull8,0.30,22,13,20/11,2/2,350,-910,-560,520,-39,-43.0
r30<-1,size1,0.10,25,16,20/12,5/4,160,-1040,-880,575,-304,-55.0
r30<-1,size1,0.20,25,15,20/11,5/4,260,-990,-730,555,-174,-49.0
r30<-1,size1,0.30,25,15,20/11,5/4,370,-990,-620,555,-64,-41.0
r30<-2,none,0.10,19,12,11/9,8/3,120,-460,-340,460,120,-28.0
r30<-2,none,0.20,19,11,11/8,8/3,190,-410,-220,440,220,-20.0
r30<-2,none,0.30,19,11,11/8,8/3,270,-410,-140,440,300,-13.0
r30<-2,pull5,0.10,16,12,11/9,5/3,120,-270,-150,460,310,-12.0
r30<-2,pull5,0.20,16,11,11/8,5/3,190,-220,-30,440,410,-3.0
r30<-2,pull5,0.30,16,11,11/8,5/3,270,-220,50,440,490,5.0
r30<-2,pull8,0.10,13,11,11/9,2/2,110,-90,20,445,465,2.0
r30<-2,pull8,0.20,13,10,11/8,2/2,180,-40,140,425,565,14.0
r30<-2,pull8,0.30,13,10,11/8,2/2,260,-40,220,425,645,22.0
r30<-2,size1,0.10,16,13,11/9,5/4,130,-170,-40,480,440,-3.0
r30<-2,size1,0.20,16,12,11/8,5/4,200,-120,80,460,540,7.0
r30<-2,size1,0.30,16,12,11/8,5/4,280,-120,160,460,620,13.0
r30<-3,none,0.10,16,9,7/6,9/3,90,-700,-610,340,-269,-68.0
r30<-3,none,0.20,16,9,7/6,9/3,150,-700,-550,340,-209,-61.0
r30<-3,none,0.30,16,9,7/6,9/3,210,-700,-490,340,-149,-54.0
r30<-3,pull5,0.10,13,9,7/6,6/3,90,-480,-390,340,-49,-43.0
r30<-3,pull5,0.20,13,9,7/6,6/3,150,-480,-330,340,10,-37.0
r30<-3,pull5,0.30,13,9,7/6,6/3,210,-480,-270,340,70,-30.0
r30<-3,pull8,0.10,9,8,7/6,2/2,80,-110,-30,325,295,-4.0
r30<-3,pull8,0.20,9,8,7/6,2/2,140,-110,30,325,355,4.0
r30<-3,pull8,0.30,9,8,7/6,2/2,200,-110,90,325,415,11.0
r30<-3,size1,0.10,12,10,7/6,5/4,100,-190,-90,360,270,-9.0
r30<-3,size1,0.20,12,10,7/6,5/4,160,-190,-30,360,330,-3.0
r30<-3,size1,0.30,12,10,7/6,5/4,220,-190,30,360,390,3.0
r30<-4,none,0.10,15,8,5/5,10/3,80,-650,-570,300,-269,-71.0
r30<-4,none,0.20,15,8,5/5,10/3,130,-650,-520,300,-219,-65.0
r30<-4,none,0.30,15,8,5/5,10/3,180,-650,-470,300,-169,-59.0
r30<-4,pull5,0.10,11,8,5/5,6/3,80,-370,-290,300,10,-36.0
r30<-4,pull5,0.20,11,8,5/5,6/3,130,-370,-240,300,60,-30.0
r30<-4,pull5,0.30,11,8,5/5,6/3,180,-370,-190,300,110,-24.0
r30<-4,pull8,0.10,7,7,5/5,2/2,70,0,70,285,355,10.0
r30<-4,pull8,0.20,7,7,5/5,2/2,120,0,120,285,405,17.0
r30<-4,pull8,0.30,7,7,5/5,2/2,170,0,170,285,455,24.0
r30<-4,size1,0.10,11,9,5/5,6/4,90,-140,-50,320,270,-6.0
r30<-4,size1,0.20,11,9,5/5,6/4,140,-140,0,320,320,0.0
r30<-4,size1,0.30,11,9,5/5,6/4,190,-140,50,320,370,6.0
