cell,A_gate,B_filter,A_credit,trades,bombs,rate,A,B,credits,failed,cash,worst,inv,MTM
a4_pull8_c30,r30<-4,pull8,0.30,8,7,0.88,5/5 +150,3/2 -180,170.0,-200.0,-30.0,-200.0,227.50000000000074,197.50000000000074
a4_size1_c30,r30<-4,size1,0.30,13,9,0.69,5/5 +150,8/4 -190,190.0,-230.0,-40.0,-90.0,270.0000000000007,230.00000000000068
a4_pull8_c20,r30<-4,pull8,0.20,8,7,0.88,5/5 +100,3/2 -180,120.0,-200.0,-80.0,-200.0,227.50000000000074,147.50000000000074
a4_size1_c20,r30<-4,size1,0.20,13,9,0.69,5/5 +100,8/4 -190,140.0,-230.0,-90.0,-90.0,270.0000000000007,180.00000000000068
a2_size1_c30,r30<-2,size1,0.30,19,12,0.63,12/8 +30,7/4 -130,280.0,-380.0,-100.0,-170.0,510.00000000000034,410.00000000000034
a4_pull8_c10,r30<-4,pull8,0.10,8,7,0.88,5/5 +50,3/2 -180,70.0,-200.0,-130.0,-200.0,227.50000000000074,97.50000000000074
a4_size1_c10,r30<-4,size1,0.10,13,9,0.69,5/5 +50,8/4 -190,90.0,-230.0,-140.0,-90.0,270.0000000000007,130.00000000000068
a2_pull8_c30,r30<-2,pull8,0.30,15,10,0.67,12/8 +30,3/2 -180,260.0,-410.0,-150.0,-200.0,467.5000000000002,317.5000000000002
a2_size1_c20,r30<-2,size1,0.20,19,12,0.63,12/8 -50,7/4 -130,200.0,-380.0,-180.0,-170.0,510.00000000000034,330.00000000000034
a2_pull8_c20,r30<-2,pull8,0.20,15,10,0.67,12/8 -50,3/2 -180,180.0,-410.0,-230.0,-200.0,467.5000000000002,237.50000000000023
a3_size1_c30,r30<-3,size1,0.30,15,10,0.67,8/6 -100,7/4 -130,220.0,-450.0,-230.0,-170.0,330.0000000000007,100.00000000000068
a3_pull8_c30,r30<-3,pull8,0.30,11,8,0.73,8/6 -100,3/2 -180,200.0,-480.0,-280.0,-200.0,287.5000000000007,7.500000000000682
a3_size1_c20,r30<-3,size1,0.20,15,10,0.67,8/6 -160,7/4 -130,160.0,-450.0,-290.0,-170.0,330.0000000000007,40.00000000000068
a2_size1_c10,r30<-2,size1,0.10,19,13,0.68,12/9 -170,7/4 -130,130.0,-430.0,-300.0,-170.0,535.0000000000002,235.00000000000023
a3_pull8_c20,r30<-3,pull8,0.20,11,8,0.73,8/6 -160,3/2 -180,140.0,-480.0,-340.0,-200.0,287.5000000000007,-52.49999999999932
a3_size1_c10,r30<-3,size1,0.10,15,10,0.67,8/6 -220,7/4 -130,100.0,-450.0,-350.0,-170.0,330.0000000000007,-19.999999999999318
a2_pull8_c10,r30<-2,pull8,0.10,15,11,0.73,12/9 -170,3/2 -180,110.0,-460.0,-350.0,-200.0,492.50000000000034,142.50000000000034
a3_pull8_c10,r30<-3,pull8,0.10,11,8,0.73,8/6 -220,3/2 -180,80.0,-480.0,-400.0,-200.0,287.5000000000007,-112.49999999999932
a2_pull5_c30,r30<-2,pull5,0.30,19,11,0.58,12/8 +30,7/3 -440,270.0,-680.0,-410.0,-200.0,480.00000000000034,70.00000000000034
a4_pull5_c30,r30<-4,pull5,0.30,13,8,0.62,5/5 +150,8/3 -630,180.0,-660.0,-480.0,-200.0,240.00000000000074,-239.99999999999926
a2_pull5_c20,r30<-2,pull5,0.20,19,11,0.58,12/8 -50,7/3 -440,190.0,-680.0,-490.0,-200.0,480.00000000000034,-9.999999999999659
a4_pull5_c20,r30<-4,pull5,0.20,13,8,0.62,5/5 +100,8/3 -630,130.0,-660.0,-530.0,-200.0,240.00000000000074,-289.99999999999926
a4_pull5_c10,r30<-4,pull5,0.10,13,8,0.62,5/5 +50,8/3 -630,80.0,-660.0,-580.0,-200.0,240.00000000000074,-339.99999999999926
a2_none_c30,r30<-2,none,0.30,22,11,0.5,12/8 +30,10/3 -630,270.0,-870.0,-600.0,-200.0,480.00000000000034,-119.99999999999966
a2_pull5_c10,r30<-2,pull5,0.10,19,12,0.63,12/9 -170,7/3 -440,120.0,-730.0,-610.0,-200.0,505.00000000000034,-104.99999999999966
a2_none_c20,r30<-2,none,0.20,22,11,0.5,12/8 -50,10/3 -630,190.0,-870.0,-680.0,-200.0,480.00000000000034,-199.99999999999966
a3_pull5_c30,r30<-3,pull5,0.30,16,9,0.56,8/6 -100,8/3 -630,210.0,-940.0,-730.0,-200.0,300.0000000000007,-429.9999999999993
a4_none_c30,r30<-4,none,0.30,17,8,0.47,5/5 +150,12/3 -910,180.0,-940.0,-760.0,-220.0,240.00000000000074,-519.9999999999993
a3_pull5_c20,r30<-3,pull5,0.20,16,9,0.56,8/6 -160,8/3 -630,150.0,-940.0,-790.0,-200.0,300.0000000000007,-489.9999999999993
a1_size1_c30,r30<-1,size1,0.30,27,15,0.56,21/11 -750,6/4 -40,370.0,-1160.0,-790.0,-380.0,635.0000000000003,-154.99999999999966
a2_none_c10,r30<-2,none,0.10,22,12,0.55,12/9 -170,10/3 -630,120.0,-920.0,-800.0,-200.0,505.00000000000034,-294.99999999999966
a4_none_c20,r30<-4,none,0.20,17,8,0.47,5/5 +100,12/3 -910,130.0,-940.0,-810.0,-220.0,240.00000000000074,-569.9999999999993
a3_pull5_c10,r30<-3,pull5,0.10,16,9,0.56,8/6 -220,8/3 -630,90.0,-940.0,-850.0,-200.0,300.0000000000007,-549.9999999999993
a4_none_c10,r30<-4,none,0.10,17,8,0.47,5/5 +50,12/3 -910,80.0,-940.0,-860.0,-220.0,240.00000000000074,-619.9999999999993
a1_size1_c20,r30<-1,size1,0.20,27,15,0.56,21/11 -860,6/4 -40,260.0,-1160.0,-900.0,-380.0,635.0000000000003,-264.99999999999966
a1_pull8_c30,r30<-1,pull8,0.30,24,13,0.54,21/11 -750,3/2 -180,350.0,-1280.0,-930.0,-380.0,592.5000000000003,-337.49999999999966
a3_none_c30,r30<-3,none,0.30,19,9,0.47,8/6 -100,11/3 -850,210.0,-1160.0,-950.0,-220.0,300.0000000000007,-649.9999999999993
a3_none_c20,r30<-3,none,0.20,19,9,0.47,8/6 -160,11/3 -850,150.0,-1160.0,-1010.0,-220.0,300.0000000000007,-709.9999999999993
a1_pull8_c20,r30<-1,pull8,0.20,24,13,0.54,21/11 -860,3/2 -180,240.0,-1280.0,-1040.0,-380.0,592.5000000000003,-447.49999999999966
a1_size1_c10,r30<-1,size1,0.10,27,16,0.59,21/12 -1010,6/4 -40,160.0,-1210.0,-1050.0,-380.0,660.0000000000003,-389.99999999999966
a3_none_c10,r30<-3,none,0.10,19,9,0.47,8/6 -220,11/3 -850,90.0,-1160.0,-1070.0,-220.0,300.0000000000007,-769.9999999999993
a1_pull5_c30,r30<-1,pull5,0.30,27,14,0.52,21/11 -750,6/3 -350,360.0,-1460.0,-1100.0,-380.0,605.0000000000003,-494.99999999999966
a0_size1_c30,none,size1,0.30,31,17,0.55,25/13 -1120,6/4 -40,430.0,-1590.0,-1160.0,-350.0,695.0000000000002,-464.9999999999998
a1_pull8_c10,r30<-1,pull8,0.10,24,14,0.58,21/12 -1010,3/2 -180,140.0,-1330.0,-1190.0,-380.0,617.5000000000003,-572.4999999999997
a1_pull5_c20,r30<-1,pull5,0.20,27,14,0.52,21/11 -860,6/3 -350,250.0,-1460.0,-1210.0,-380.0,605.0000000000003,-604.9999999999997
a1_none_c30,r30<-1,none,0.30,30,14,0.47,21/11 -750,9/3 -540,360.0,-1650.0,-1290.0,-380.0,605.0000000000003,-684.9999999999997
a0_size1_c20,none,size1,0.20,31,17,0.55,25/13 -1250,6/4 -40,300.0,-1590.0,-1290.0,-350.0,695.0000000000002,-594.9999999999998
a0_pull8_c30,none,pull8,0.30,28,15,0.54,25/13 -1120,3/2 -180,410.0,-1710.0,-1300.0,-350.0,652.5000000000001,-647.4999999999999
a1_pull5_c10,r30<-1,pull5,0.10,27,15,0.56,21/12 -1010,6/3 -350,150.0,-1510.0,-1360.0,-380.0,630.0000000000003,-729.9999999999997
a1_none_c20,r30<-1,none,0.20,30,14,0.47,21/11 -860,9/3 -540,250.0,-1650.0,-1400.0,-380.0,605.0000000000003,-794.9999999999997
a0_size1_c10,none,size1,0.10,31,17,0.55,25/13 -1380,6/4 -40,170.0,-1590.0,-1420.0,-350.0,695.0000000000002,-724.9999999999998
a0_pull8_c20,none,pull8,0.20,28,15,0.54,25/13 -1250,3/2 -180,280.0,-1710.0,-1430.0,-350.0,652.5000000000001,-777.4999999999999
a0_pull5_c30,none,pull5,0.30,31,16,0.52,25/13 -1120,6/3 -350,420.0,-1890.0,-1470.0,-350.0,665.0000000000002,-804.9999999999998
a1_none_c10,r30<-1,none,0.10,30,15,0.5,21/12 -1010,9/3 -540,150.0,-1700.0,-1550.0,-380.0,630.0000000000003,-919.9999999999997
a0_pull8_c10,none,pull8,0.10,28,15,0.54,25/13 -1380,3/2 -180,150.0,-1710.0,-1560.0,-350.0,652.5000000000001,-907.4999999999999
a0_none_c30,none,none,0.30,33,16,0.48,25/13 -1120,8/3 -460,420.0,-2000.0,-1580.0,-350.0,665.0000000000002,-914.9999999999998
a0_pull5_c20,none,pull5,0.20,31,16,0.52,25/13 -1250,6/3 -350,290.0,-1890.0,-1600.0,-350.0,665.0000000000002,-934.9999999999998
a0_none_c20,none,none,0.20,33,16,0.48,25/13 -1250,8/3 -460,290.0,-2000.0,-1710.0,-350.0,665.0000000000002,-1044.9999999999998
a0_pull5_c10,none,pull5,0.10,31,16,0.52,25/13 -1380,6/3 -350,160.0,-1890.0,-1730.0,-350.0,665.0000000000002,-1064.9999999999998
a0_none_c10,none,none,0.10,33,16,0.48,25/13 -1380,8/3 -460,160.0,-2000.0,-1840.0,-350.0,665.0000000000002,-1174.9999999999998
