date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-03,PUT,anchor,0.05,200.0,185.0,1,[0.05],0.05,-3.25,0,0,-3.2,0.29,-2.91,198.54,198.25,208.67,206.67
2026-08-03,PUT,anchor,0.1,200.0,185.0,1,[0.1],0.1,-3.25,0,0,-3.15,0.29,-2.86,198.54,198.25,208.67,206.67
2026-08-03,PUT,long_first,0.05,200.0,185.0,0,[],0.0,,0,1,-2.83,1.32,-1.51,198.54,198.25,208.67,206.67
2026-08-03,PUT,long_first,0.1,200.0,185.0,0,[],0.0,,0,1,-2.83,1.32,-1.51,198.54,198.25,208.67,206.67
2026-08-03,PUT,ladder3,0.05,200.0,185.0,0,[],0.0,,0,3,-24.08,14.02,-10.06,198.54,198.25,208.67,206.67
2026-08-03,PUT,ladder3,0.1,200.0,185.0,0,[],0.0,,0,3,-24.08,14.02,-10.06,198.54,198.25,208.67,206.67
2026-08-03,PUT,short3,0.05,200.0,185.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,4.3,4.45,198.54,198.25,208.67,206.67
2026-08-03,PUT,short3,0.1,200.0,185.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,4.3,4.6,198.54,198.25,208.67,206.67
2026-08-03,CALL,anchor,0.05,200.0,215.0,0,[],0.0,3.9,1,0,5.87,-3.9,1.97,198.54,198.25,208.67,206.67
2026-08-03,CALL,anchor,0.1,200.0,215.0,0,[],0.0,3.9,1,0,5.87,-3.9,1.97,198.54,198.25,208.67,206.67
2026-08-03,CALL,long_first,0.05,200.0,215.0,1,[0.05],0.05,,0,0,0.05,0.88,0.92,198.54,198.25,208.67,206.67
2026-08-03,CALL,long_first,0.1,200.0,215.0,1,[0.1],0.1,,0,0,0.1,0.88,0.98,198.54,198.25,208.67,206.67
2026-08-03,CALL,ladder3,0.05,200.0,215.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,7.83,7.98,198.54,198.25,208.67,206.67
2026-08-03,CALL,ladder3,0.1,200.0,215.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,7.83,8.13,198.54,198.25,208.67,206.67
2026-08-03,CALL,short3,0.05,200.0,215.0,0,[],0.0,,3,0,16.72,-27.05,-10.33,198.54,198.25,208.67,206.67
2026-08-03,CALL,short3,0.1,200.0,215.0,0,[],0.0,,3,0,16.72,-27.05,-10.33,198.54,198.25,208.67,206.67
2026-08-04,PUT,anchor,0.05,212.5,197.5,0,[],0.0,-0.95,1,0,1.38,-2.01,-0.63,210.67,209.07,213.02,211.86
2026-08-04,PUT,anchor,0.1,212.5,197.5,0,[],0.0,-0.95,1,0,1.38,-2.01,-0.63,210.67,209.07,213.02,211.86
2026-08-04,PUT,long_first,0.05,212.5,197.5,0,[],0.0,,0,1,-2.99,2.49,-0.5,210.67,209.07,213.02,211.86
2026-08-04,PUT,long_first,0.1,212.5,197.5,0,[],0.0,,0,1,-2.99,2.49,-0.5,210.67,209.07,213.02,211.86
2026-08-04,PUT,ladder3,0.05,212.5,197.5,0,[],0.0,,0,3,-25.34,22.14,-3.2,210.67,209.07,213.02,211.86
2026-08-04,PUT,ladder3,0.1,212.5,197.5,0,[],0.0,,0,3,-25.34,22.14,-3.2,210.67,209.07,213.02,211.86
2026-08-04,PUT,short3,0.05,212.5,197.5,0,[],0.0,,3,0,18.38,-16.61,1.77,210.67,209.07,213.02,211.86
2026-08-04,PUT,short3,0.1,212.5,197.5,0,[],0.0,,3,0,18.38,-16.61,1.77,210.67,209.07,213.02,211.86
2026-08-04,CALL,anchor,0.05,212.5,227.5,0,[],0.0,0.5,1,0,2.39,-2.16,0.23,210.67,209.07,213.02,211.86
2026-08-04,CALL,anchor,0.1,212.5,227.5,0,[],0.0,0.5,1,0,2.39,-2.16,0.23,210.67,209.07,213.02,211.86
2026-08-04,CALL,long_first,0.05,212.5,227.5,0,[],0.0,,0,1,-2.44,2.64,0.2,210.67,209.07,213.02,211.86
2026-08-04,CALL,long_first,0.1,212.5,227.5,0,[],0.0,,0,1,-2.44,2.64,0.2,210.67,209.07,213.02,211.86
2026-08-04,CALL,ladder3,0.05,212.5,227.5,0,[],0.0,,0,3,-21.64,22.94,1.3,210.67,209.07,213.02,211.86
2026-08-04,CALL,ladder3,0.1,212.5,227.5,0,[],0.0,,0,3,-21.64,22.94,1.3,210.67,209.07,213.02,211.86
2026-08-04,CALL,short3,0.05,212.5,227.5,0,[],0.0,,3,0,15.54,-17.21,-1.67,210.67,209.07,213.02,211.86
2026-08-04,CALL,short3,0.1,212.5,227.5,0,[],0.0,,3,0,15.54,-17.21,-1.67,210.67,209.07,213.02,211.86
2026-08-05,PUT,anchor,0.05,220.0,205.0,1,[0.05],0.05,-1.35,0,0,-1.3,0.5,-0.8,217.92,217.92,222.16,219.2
2026-08-05,PUT,anchor,0.1,220.0,205.0,1,[0.1],0.1,-1.35,0,0,-1.25,0.5,-0.75,217.92,217.92,222.16,219.2
2026-08-05,PUT,long_first,0.05,220.0,205.0,0,[],0.0,,0,1,-3.1,2.36,-0.74,217.92,217.92,222.16,219.2
2026-08-05,PUT,long_first,0.1,220.0,205.0,0,[],0.0,,0,1,-3.1,2.36,-0.74,217.92,217.92,222.16,219.2
2026-08-05,PUT,ladder3,0.05,220.0,205.0,0,[],0.0,,0,3,-26.1,21.61,-4.49,217.92,217.92,222.16,219.2
