date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-03,PUT,anchor,0.05,205.0,175.0,1,[0.05],0.05,-3.8,0,0,-3.75,0.83,-2.92,198.54,198.25,208.67,206.67
2026-08-03,PUT,anchor,0.1,205.0,175.0,1,[0.1],0.1,-3.8,0,0,-3.7,0.83,-2.87,198.54,198.25,208.67,206.67
2026-08-03,PUT,anchor,0.25,205.0,175.0,1,[0.25],0.25,-3.8,0,0,-3.55,0.83,-2.72,198.54,198.25,208.67,206.67
2026-08-03,PUT,long_first,0.05,205.0,175.0,0,[],0.0,,0,1,-4.9,3.15,-1.75,198.54,198.25,208.67,206.67
2026-08-03,PUT,long_first,0.1,205.0,175.0,0,[],0.0,,0,1,-4.9,3.15,-1.75,198.54,198.25,208.67,206.67
2026-08-03,PUT,long_first,0.25,205.0,175.0,0,[],0.0,,0,1,-4.9,3.15,-1.75,198.54,198.25,208.67,206.67
2026-08-03,PUT,ladder3,0.05,205.0,175.0,0,[],0.0,,0,3,-25.15,17.6,-7.55,198.54,198.25,208.67,206.67
2026-08-03,PUT,ladder3,0.1,205.0,175.0,0,[],0.0,,0,3,-25.15,17.6,-7.55,198.54,198.25,208.67,206.67
2026-08-03,PUT,ladder3,0.25,205.0,175.0,0,[],0.0,,0,3,-25.15,17.6,-7.55,198.54,198.25,208.67,206.67
2026-08-03,PUT,short3,0.05,205.0,175.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,4.04,4.19,198.54,198.25,208.67,206.67
2026-08-03,PUT,short3,0.1,205.0,175.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,4.04,4.33,198.54,198.25,208.67,206.67
2026-08-03,PUT,short3,0.25,205.0,175.0,3,"[0.25, 0.25, 0.25]",0.75,,0,0,0.75,4.04,4.79,198.54,198.25,208.67,206.67
2026-08-03,CALL,anchor,0.05,205.0,230.0,0,[],0.0,3.5,1,0,6.45,-4.6,1.85,198.54,198.25,208.67,206.67
2026-08-03,CALL,anchor,0.1,205.0,230.0,0,[],0.0,3.5,1,0,6.45,-4.6,1.85,198.54,198.25,208.67,206.67
2026-08-03,CALL,anchor,0.25,205.0,230.0,0,[],0.0,3.5,1,0,6.45,-4.6,1.85,198.54,198.25,208.67,206.67
2026-08-03,CALL,long_first,0.05,205.0,230.0,1,[0.05],0.05,,0,0,0.05,1.25,1.3,198.54,198.25,208.67,206.67
2026-08-03,CALL,long_first,0.1,205.0,230.0,1,[0.1],0.1,,0,0,0.1,1.25,1.35,198.54,198.25,208.67,206.67
2026-08-03,CALL,long_first,0.25,205.0,230.0,1,[0.25],0.25,,0,0,0.25,1.25,1.5,198.54,198.25,208.67,206.67
2026-08-03,CALL,ladder3,0.05,205.0,230.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,5.55,5.7,198.54,198.25,208.67,206.67
2026-08-03,CALL,ladder3,0.1,205.0,230.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,5.55,5.85,198.54,198.25,208.67,206.67
2026-08-03,CALL,ladder3,0.25,205.0,230.0,3,"[0.25, 0.25, 0.25]",0.75,,0,0,0.75,5.55,6.3,198.54,198.25,208.67,206.67
2026-08-03,CALL,short3,0.05,205.0,230.0,0,[],0.0,,3,0,15.95,-23.3,-7.35,198.54,198.25,208.67,206.67
2026-08-03,CALL,short3,0.1,205.0,230.0,0,[],0.0,,3,0,15.95,-23.3,-7.35,198.54,198.25,208.67,206.67
2026-08-03,CALL,short3,0.25,205.0,230.0,0,[],0.0,,3,0,15.95,-23.3,-7.35,198.54,198.25,208.67,206.67
2026-08-04,PUT,anchor,0.05,215.0,190.0,0,[],0.0,-0.8,1,0,3.7,-4.25,-0.55,210.67,209.07,213.02,211.86
2026-08-04,PUT,anchor,0.1,215.0,190.0,0,[],0.0,-0.8,1,0,3.7,-4.25,-0.55,210.67,209.07,213.02,211.86
2026-08-04,PUT,anchor,0.25,215.0,190.0,0,[],0.0,-0.8,1,0,3.7,-4.25,-0.55,210.67,209.07,213.02,211.86
2026-08-04,PUT,long_first,0.05,215.0,190.0,0,[],0.0,,0,1,-5.95,5.45,-0.5,210.67,209.07,213.02,211.86
2026-08-04,PUT,long_first,0.1,215.0,190.0,0,[],0.0,,0,1,-5.95,5.45,-0.5,210.67,209.07,213.02,211.86
2026-08-04,PUT,long_first,0.25,215.0,190.0,0,[],0.0,,0,1,-5.95,5.45,-0.5,210.67,209.07,213.02,211.86
2026-08-04,PUT,ladder3,0.05,215.0,190.0,0,[],0.0,,0,3,-29.85,27.85,-2.0,210.67,209.07,213.02,211.86
2026-08-04,PUT,ladder3,0.1,215.0,190.0,0,[],0.0,,0,3,-29.85,27.85,-2.0,210.67,209.07,213.02,211.86
2026-08-04,PUT,ladder3,0.25,215.0,190.0,0,[],0.0,,0,3,-29.85,27.85,-2.0,210.67,209.07,213.02,211.86
2026-08-04,PUT,short3,0.05,215.0,190.0,0,[],0.0,,3,0,23.6,-22.5,1.1,210.67,209.07,213.02,211.86
2026-08-04,PUT,short3,0.1,215.0,190.0,0,[],0.0,,3,0,23.6,-22.5,1.1,210.67,209.07,213.02,211.86
2026-08-04,PUT,short3,0.25,215.0,190.0,0,[],0.0,,3,0,23.6,-22.5,1.1,210.67,209.07,213.02,211.86
2026-08-04,CALL,anchor,0.05,215.0,240.0,0,[],0.0,0.6,1,0,4.0,-3.9,0.1,210.67,209.07,213.02,211.86
2026-08-04,CALL,anchor,0.1,215.0,240.0,0,[],0.0,0.6,1,0,4.0,-3.9,0.1,210.67,209.07,213.02,211.86
2026-08-04,CALL,anchor,0.25,215.0,240.0,0,[],0.0,0.6,1,0,4.0,-3.9,0.1,210.67,209.07,213.02,211.86
