ticker,tradeDate,stockPrice,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,rr25_pct252,callskew_pct252,call_wing_10_pct252,put_wing_10_pct252,call_kink_pct252,iv10d_pct252,return_5d_pct,drawdown_20d_pct,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,avgOptVolu20d,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,oi,ivRank1y,ivPct1y,ivRank1m,ivPct1m,dollar_stock_volume,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,putskew,putskew_pct252,buy_first_put_tail_inventory,put_inventory_score,original_surface_pass,original_surface_reason
FANG,2026-08-11,202.21,0.852588,34.7059,2.65907,35.1271,34.7059,35.4811,0.0280258,40.021499999999996,36.932900000000004,35.022,35.5032,37.7859,38.3899,0.4812000000000012,0.3160999999999987,2.227000000000004,4.894399999999997,2.6587999999999994,3.0885999999999925,5.9523809523809526,82.14285714285714,87.6984126984127,3.9682539682539684,87.6984126984127,40.87301587301587,5.45501955671448,-1.7778209549715873,191.35419999999993,175.46560000000002,5.673144357427251,False,True,True,2.9634910127807057,2.1350836610164903,2026-08-11,198.97,56622802.0,2.80258,1970200,2342.55,Oil & Gas Exploration,0000-00-00,XLE,Energy,43,49,85.2588,11,74779,53.12,50.79,67.79,42.86,392010694.0,True,True,48.52459016393443,,True,False,False,grab,False,True,21.488095238095237,53.1547619047619,305,266,,,,,True,Passed original surface
AMAT,2026-08-12,548.18,0.969528,56.635400000000004,2.71179,80.4693,67.7215,67.4903,0.0591939,86.455,73.8843,58.3336,55.6584,83.7842,71.62570000000001,-2.6751999999999967,1.6981999999999928,6.16279999999999,5.985699999999994,3.3148999999999944,12.570700000000002,0.3968253968253968,98.41269841269842,91.66666666666667,1.5873015873015872,92.85714285714286,85.31746031746032,1.5750074117995894,-2.9632514338313376,558.7298000000001,385.81300000000005,-1.8881756441127884,True,True,False,27.368200934036558,24.848930927235394,2026-08-12,525.61,435102230.0,5.91939,7319387,44286.95,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,10,81,96.9528,0,503176,47.98,79.37,5.04,9.52,3847143001.07,True,True,84.59016393442623,,True,False,False,grab,True,False,20.11904761904762,23.809523809523817,305,260,,,,,False,near-front earnings flag
CSCO,2026-08-12,123.45,0.969682,37.9444,3.42465,75.0556,49.6255,43.2376,0.0492323,80.28840000000001,51.68000000000001,39.0567,36.8335,72.3024,47.6269,-2.2231999999999985,1.1122999999999976,2.0545000000000044,5.232800000000012,-2.7531999999999925,28.608400000000003,1.1904761904761905,97.22222222222223,92.46031746031746,0.0,99.2063492063492,99.2063492063492,0.5620723362658842,0.0,118.10179999999998,91.57764999999999,4.528466119906738,True,True,True,24.835676003640405,22.316405996839237,2026-08-12,120.43,486570109.0,4.92323,20025997,49596.95,Communications Equipment Manufacturing,0000-00-00,XLK,Technology,19,90,96.9682,13,946686,71.23,78.17,0.0,4.76,2411730818.71,True,True,82.95081967213115,,True,False,False,grab,False,False,20.25793650793651,54.20634920634921,305,260,,,,,False,IVR outside 30–70
FDX,2026-08-12,326.37,0.912646,25.822400000000002,3.80511,25.6801,25.822400000000002,29.0277,0.0360866,33.3843,28.349200000000003,25.8413,27.0949,31.482,29.0967,1.2535999999999987,0.018899999999998585,2.5268000000000015,7.704200000000004,5.8019,5.0351,8.333333333333334,93.25396825396825,97.22222222222223,59.12698412698413,73.41269841269842,9.523809523809524,4.756860857005285,0.0,319.3038,329.26985,2.213002162830513,False,False,True,-13.183305402601553,-15.70257540940272,2026-08-12,322.43,77213002.0,3.60866,1520369,4623.05,Freight & Logistics Services,0000-00-00,XLI,Industrials,5,8,91.2646,11,52593,31.88,8.33,0.0,4.76,490212576.67,True,True,18.688524590163937,,False,False,False,grab,False,True,11.170634920634921,53.39285714285714,305,260,,,,,True,Passed original surface
LRCX,2026-08-12,325.38,0.979479,64.4816,2.22612,68.608,64.4816,68.26050000000001,0.0516405,73.9419,67.2314,65.4777,64.5518,72.6086,67.0322,-0.9258999999999986,0.9960999999999984,2.7497999999999934,5.3339,4.0005999999999915,6.71050000000001,0.3968253968253968,96.82539682539682,93.65079365079364,1.1904761904761905,77.77777777777777,61.507936507936506,4.6877513593513775,0.0,337.6678,247.69495000000003,-3.6390203626167517,True,True,False,12.514263978699125,9.994993971897959,2026-08-12,311.41,407140836.0,5.16405,11081612,53708.45,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,5,77,97.9479,10,630499,56.7,77.38,0.0,4.76,3450924792.92,True,True,66.22950819672131,,True,False,False,grab,False,True,20.1984126984127,53.25396825396825,305,260,,,,,True,Passed original surface
AMAT,2026-08-13,534.08,0.937216,57.06909999999999,2.61935,82.3088,67.7217,67.5232,0.102987,89.9895,74.75030000000001,59.968900000000005,55.0423,83.00370000000001,68.1884,-4.926600000000008,2.8998000000000133,7.0286000000000115,7.680700000000002,0.6949000000000041,15.239199999999997,0.0,100.0,96.42857142857143,0.0,97.22222222222223,86.9047619047619,0.7317993210109286,-5.459180060893565,559.6678,387.33355000000006,-4.571962153263065,True,True,False,22.212306354545674,19.93808689516172,2026-08-13,548.15,423910758.0,10.29874,7339077,47937.8,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,14,82,93.7216,13,522901,50.91,81.75,10.39,14.29,4022915057.5499997,True,True,80.0,,True,False,False,grab,False,False,20.0,54.50396825396825,305,265,,,,,False,more than 5% below 20-day high
CEG,2026-08-13,278.64,0.894402,41.3518,2.59072,40.7211,41.3518,43.4355,0.0573603,46.773399999999995,41.347899999999996,41.3472,41.3612,43.527300000000004,41.3862,0.013999999999995794,-0.004599999999996385,-0.003900000000001569,6.052299999999995,2.806200000000004,5.4254999999999995,9.523809523809524,75.7936507936508,92.06349206349206,8.333333333333334,75.7936507936508,6.349206349206349,5.23056006646776,-0.13976991721319498,260.9282,303.2966,6.787997617735453,False,False,True,1.0370585249111608,-1.2371609344727919,2026-08-13,278.68,98724208.0,5.73603,2803814,8430.2,Independent Power Production,0000-00-00,XLU,Utilities,5,3,89.4402,12,226716,5.94,3.17,0.0,4.76,781366885.52,True,True,41.31147540983607,,False,False,False,grab,False,False,12.162698412698413,52.99603174603174,305,265,,,,,False,IVR outside 30–70
LOW,2026-08-13,217.23,0.89264,27.3229,3.1816,45.6037,34.692099999999996,31.5494,0.0482537,49.2329,36.007,27.7511,27.671200000000002,47.5123,36.903999999999996,-0.07989999999999853,0.42820000000000036,1.3149000000000015,3.6291999999999973,1.9085999999999999,13.225900000000003,0.3968253968253968,98.01587301587301,88.0952380952381,0.3968253968253968,98.01587301587301,97.61904761904762,0.09676527508983845,-2.7575092886879427,215.00439999999998,238.20784999999995,1.035141606404344,False,False,True,-1.4963950482927535,-3.770614507676706,2026-08-13,215.97,121802391.0,4.82537,2982808,6889.95,Home Improvement Stores,0000-00-00,XLY,C. Cyclical,10,62,89.264,0,135378,57.26,60.71,0.0,4.76,644197043.76,True,True,33.442622950819676,,False,False,False,grab,True,False,10.13888888888889,23.710317460317462,305,265,,,,,False,near-front earnings flag
LRCX,2026-08-13,336.71,0.944312,64.4632,2.2075,69.19579999999999,64.4632,69.4584,0.0570704,77.47319999999999,70.40859999999999,65.87190000000001,64.7788,73.653,67.0632,-1.0931000000000068,1.4087000000000103,5.945399999999992,8.2774,4.4572000000000145,7.064599999999999,0.3968253968253968,99.60317460317461,96.82539682539682,2.380952380952381,79.76190476190476,64.68253968253968,9.193799455182239,0.0,337.746,248.61555,-0.30673938403416035,True,True,False,13.488826721493808,11.214607262109855,2026-08-13,326.11,421332294.0,5.70704,10956467,54323.65,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,14,80,94.4312,9,645895,57.5,79.76,3.24,14.29,3573013453.3700004,True,True,64.91803278688525,,True,False,False,grab,False,True,20.05952380952381,53.670634920634924,305,265,,,,,True,Passed original surface
SMCI,2026-08-13,39.27,0.875663,81.0188,3.09379,82.4602,81.0188,84.33239999999999,0.0727761,108.951,101.148,86.40870000000001,79.2595,82.6639,79.3616,-7.1492000000000075,5.3899000000000115,20.129199999999997,26.490799999999993,0.20369999999999777,7.802999999999997,1.5873015873015872,94.84126984126983,94.84126984126983,1.1904761904761905,80.15873015873017,68.25396825396825,32.62411347517731,0.0,30.9624,31.867350000000002,26.831253391209998,False,True,True,21.88081936685291,19.606599907468958,2026-08-13,37.61,25402704.0,7.27761,54164471,287321.3,Computer Hardware Manufacturing,0000-00-00,XLK,Technology,14,75,87.5663,11,2582965,63.25,75.0,28.16,14.29,2037125754.31,True,True,79.67213114754098,,False,False,False,grab,False,True,10.416666666666666,53.492063492063494,305,265,,,,,True,Passed original surface
