scope,band,ticker_days,stocks,front_5_12,fallback_13_19,names
original_surface,2–6,9,3,9,0,"COIN,LRCX,MSTR"
original_surface,2–8,9,3,9,0,"COIN,LRCX,MSTR"
original_surface,2–10,11,5,11,0,"COIN,JNJ,LRCX,MSTR,SMCI"
original_surface,1–10,11,5,11,0,"COIN,JNJ,LRCX,MSTR,SMCI"
original_surface,2–15,11,5,11,0,"COIN,JNJ,LRCX,MSTR,SMCI"
grab_surface,2–6,11,5,11,0,"AVGO,COIN,LRCX,MRNA,MSTR"
grab_surface,2–8,12,5,12,0,"AVGO,COIN,LRCX,MRNA,MSTR"
grab_surface,2–10,15,7,15,0,"AVGO,COIN,JNJ,LRCX,MRNA,MSTR,SMCI"
grab_surface,1–10,15,7,15,0,"AVGO,COIN,JNJ,LRCX,MRNA,MSTR,SMCI"
grab_surface,2–15,18,9,18,0,"AVGO,COIN,JNJ,LRCX,MRNA,MSTR,PYPL,RBLX,SMCI"
rich_front_wing,2–6,51,23,45,6,"AAPL,AMAT,APP,AVGO,BABA,BE,COIN,DELL,GOOG,GOOGL,HOOD,LRCX,MCD,META,MRNA,MSTR,NBIS,NOW,NVDA,STX,TSLA,VST,W"
rich_front_wing,2–8,62,29,56,6,"AAPL,AMAT,APP,AVGO,BABA,BE,BX,COIN,CRDO,CSCO,DELL,GOOG,GOOGL,HOOD,JNJ,LRCX,MCD,META,MRNA,MSTR,NBIS,NOW,NVDA,ON,STX,TEM,TSLA,VST,W"
rich_front_wing,2–10,73,33,64,9,"AAPL,AMAT,APP,AVGO,BABA,BE,BX,COIN,CRDO,CSCO,CVNA,DELL,FCX,GOOG,GOOGL,HOOD,JNJ,LRCX,MCD,META,MRNA,MSTR,NBIS,NOW,NVDA,ON,SMCI,STX,TEM,TSLA,VST,W,WMT"
rich_front_wing,1–10,77,34,68,9,"AAPL,AMAT,APP,AVGO,BABA,BE,BX,CAT,COIN,CRDO,CSCO,CVNA,DELL,FCX,GOOG,GOOGL,HOOD,JNJ,LRCX,MCD,META,MRNA,MSTR,NBIS,NOW,NVDA,ON,SMCI,STX,TEM,TSLA,VST,W,WMT"
rich_front_wing,2–15,83,38,74,9,"AAPL,AMAT,APP,AVGO,BABA,BE,BX,COIN,CRDO,CSCO,CVNA,DELL,ENPH,FCX,GOOG,GOOGL,HIMS,HOOD,JNJ,LRCX,MCD,META,MRNA,MSTR,NBIS,NOW,NVDA,ON,PYPL,RBLX,SMCI,STX,TEM,TSLA,UBER,VST,W,WMT"
