expiry,strike,dte,stock,delta,otm_pct,bid,ask,quote_width,width_pct_of_bid,oi,wing_mid_excess_points,wing_bid_excess_points,nearer_strike,nearer_ask,event_inside_estimate,all_original_contract_gates,without_delta_band,without_absolute_width,ticker,tradeDate,ivRank1y,rr25_pct252,call_wing_10_pct252,call_kink_pct252,original_surface_pass,grab_surface_pass,original_surface_exclusions,earnings_near_front_expiry,event_estimate_available,distance,band,eligible_contracts,front_5_12_contracts,fallback_13_19_contracts,nearer_delta,nearer_otm_pct,nearer_bid,nearer_oi,atm_iv_pct,bid_iv_pct,otm_in_atm_expected_moves,deferred_expiry,front_bid_minus_deferred_mid_points,deferred_event_inside_estimate,bid_excess_z,bid_excess_n,both_bid_richness_diagnostics,history_status,timing_status,hiro_signal_day,hiro_signal_points,hiro_signal_status,hiro_entry_day,hiro_entry_points,hiro_entry_status,hiro_entry_plus1_day,hiro_entry_plus1_points,hiro_entry_plus1_status,hiro_entry_plus2_day,hiro_entry_plus2_points,hiro_entry_plus2_status
2026-08-21,45.0,11,30.97,0.0814182448153073,45.30190506942202,0.25,0.31,0.06,24.0,9968,26.67500688264748,22.9518737685509,44.0,0.31,False,False,True,False,SMCI,2026-08-11,64.95,3.1746031746031744,98.41269841269842,99.6031746031746,False,False,five-day return <=0,False,True,0.0414182448153073,2–10,2,2,0,0.0940474540616624,42.07297384565709,0.3,2263,124.58460754007656,147.53648130862743,2.0946051494161804,2026-09-04,30.69083090301321,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-11,0,no verified capture in frozen archive,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive
2026-08-17,315.0,6,301.54,0.0594796835639508,4.4637527359554285,0.2,0.24,0.0399999999999999,19.99999999999999,2578,2.967462847142091,2.5152484822252603,312.5,0.37,False,True,True,True,AAPL,2026-08-12,41.5,3.968253968253968,97.61904761904762,66.26984126984127,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.0194796835639508,2–10,5,4,1,0.0955164163714747,3.634675333289117,0.3,1121,20.62349051027,23.13873899249526,1.6881411846465102,2026-09-04,-1.4248152247475416,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive
2026-08-21,377.5,10,343.05,0.0422107715932486,10.042267890977996,0.23,0.28,0.05,21.739130434782613,442,4.760441969909346,4.183115918484703,375.0,0.34,False,True,True,True,GOOG,2026-08-12,22.76,5.9523809523809526,89.28571428571429,71.42857142857143,False,False,five-day return <=0; IVR outside 30–70; more than 5% below 20-day high,False,True,0.0022107715932486,2–10,8,6,2,0.0514310155279364,9.313511149978137,0.28,9732,28.270380054727863,32.45349597321257,2.146083363063012,2026-09-04,0.8706907263217822,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive
2026-08-21,113.0,10,95.03,0.0580216308977506,18.909817952225616,0.21,0.27,0.06,28.571428571428587,251,9.149667958163487,7.411899061773131,112.0,0.31,False,True,True,True,HOOD,2026-08-12,32.2,3.5714285714285716,92.06349206349206,59.523809523809526,False,False,kink rank <70; more than 5% below 20-day high,False,True,0.0180216308977506,2–10,11,4,7,0.0668076394259897,17.85751867831211,0.25,515,58.25994615243245,65.67184521420558,1.9609372713049305,2026-09-04,-2.351339357246107,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive
2026-08-17,630.0,6,581.92,0.0284496864625886,8.26230409678308,0.32,0.41,0.0899999999999999,28.12499999999999,136,5.408541856845606,4.587689914486432,627.5,0.48,False,True,True,True,META,2026-08-12,45.06,9.523809523809524,87.6984126984127,82.14285714285714,False,False,five-day return <=0; more than 5% below 20-day high,False,True,0.0115503135374113,2–10,18,14,4,0.0356077540108762,7.832691778938683,0.21,31,31.72691277506845,36.31460268955488,2.031160151504866,2026-09-04,-5.581441000843745,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive
2026-08-17,352.5,6,327.33,0.0374686618192963,7.689487672990558,0.37,0.39,0.02,5.405405405405411,231,7.380919072963693,7.166316424703423,350.0,0.48,False,True,True,True,TSLA,2026-08-12,4.76,38.888888888888886,87.3015873015873,86.5079365079365,False,False,local RR rank >10; IVR outside 30–70; more than 5% below 20-day high,False,True,0.0025313381807036,2–10,36,23,13,0.0536804311710853,6.925732441267218,0.45,2098,32.19407066791864,39.36038709262206,1.8629119092175743,2026-09-04,-6.496593534852696,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive
2026-08-21,120.0,10,102.96,0.0623661772079074,16.550116550116556,0.2,0.26,0.06,30.0,1265,5.648452246991487,4.058588416564457,119.0,0.46,False,False,True,False,W,2026-08-12,18.64,22.22222222222222,86.5079365079365,57.93650793650794,False,False,kink rank <70; local RR rank >10; five-day return <=0; IVR outside 30–70; more than 5% below 20-day high,False,True,0.0223661772079074,2–10,1,1,0,0.0726505405376903,15.578865578865583,0.18,81,53.36815468368839,57.42674310025284,1.8735500630353257,2026-09-04,-4.65288156439454,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-12,0,no verified capture in frozen archive,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive
2026-08-21,322.5,9,304.21,0.0611404357326008,6.012294138917196,0.26,0.29,0.0299999999999999,11.538461538461526,2418,2.2458630208906594,1.9588527768162027,320.0,0.41,False,False,True,False,AAPL,2026-08-13,42.18,3.5714285714285716,88.4920634920635,34.523809523809526,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.0211404357326008,2–10,1,1,0,0.0884949192276215,5.190493409158159,0.4,29116,22.256407359961894,24.215260136778095,1.720324345011009,2026-09-04,0.0383683762425257,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive,2026-08-18,0,no verified capture in frozen archive
2026-08-21,123.0,9,112.29,0.0671660856884726,9.537803900614472,0.21,0.27,0.06,28.571428571428587,1527,7.769330468628138,6.541450085657397,122.0,0.37,False,False,True,False,CSCO,2026-08-13,49.82,0.7936507936507936,97.61904761904762,84.92063492063492,False,False,five-day return <=0; more than 5% below 20-day high,False,True,0.0271660856884726,2–10,1,1,0,0.083816608894447,8.64725264938997,0.25,694,33.51817591122585,40.05962599688325,1.812146024373008,2026-09-04,3.7455949710324954,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive,2026-08-18,0,no verified capture in frozen archive
2026-08-21,275.0,9,261.22,0.0753359976179307,5.275246918306387,0.25,0.35,0.0999999999999999,39.99999999999999,463,2.355874559156665,1.4430117098408162,272.5,0.55,False,False,True,False,JNJ,2026-08-13,66.77,3.968253968253968,88.0952380952381,59.12698412698413,False,False,kink rank <70,False,True,0.0353359976179307,2–10,1,1,0,0.1172863641531596,4.318199219049057,0.38,814,20.834314734629864,22.27732644447068,1.612459255272351,2026-09-04,-1.1765300482040026,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-13,0,no verified capture in frozen archive,2026-08-14,0,no verified capture in frozen archive,2026-08-17,0,no verified capture in frozen archive,2026-08-18,0,no verified capture in frozen archive
