tradeDate,ticker,chain_rows,otm_contracts_with_nearer_strike,status
2026-08-11,ABT,65,50,evaluated
2026-08-11,AMT,6,4,evaluated
2026-08-11,CAT,189,153,evaluated
2026-08-11,CELH,64,52,evaluated
2026-08-11,CSCO,134,95,evaluated
2026-08-11,CVNA,88,62,evaluated
2026-08-11,DOCU,71,52,evaluated
2026-08-11,FANG,5,3,evaluated
2026-08-11,FDX,69,53,evaluated
2026-08-11,FTNT,61,48,evaluated
2026-08-11,GNRC,90,67,evaluated
2026-08-11,GS,178,137,evaluated
2026-08-11,HPQ,59,38,evaluated
2026-08-11,MS,54,40,evaluated
2026-08-11,NBIS,195,156,evaluated
2026-08-11,RBLX,96,76,evaluated
2026-08-11,SCHW,60,46,evaluated
2026-08-11,SMCI,133,105,evaluated
2026-08-11,TFC,3,2,evaluated
2026-08-11,ULTA,147,109,evaluated
2026-08-11,ZS,64,40,evaluated
2026-08-12,AAPL,130,104,evaluated
2026-08-12,ABBV,47,36,evaluated
2026-08-12,AMAT,267,201,evaluated
2026-08-12,BX,58,32,evaluated
2026-08-12,CAT,179,144,evaluated
2026-08-12,CEG,85,65,evaluated
2026-08-12,CSCO,132,88,evaluated
2026-08-12,CVNA,77,51,evaluated
2026-08-12,ENPH,90,68,evaluated
2026-08-12,FDX,63,46,evaluated
2026-08-12,GOOG,91,73,evaluated
2026-08-12,GS,165,131,evaluated
2026-08-12,HD,86,68,evaluated
2026-08-12,HOOD,129,99,evaluated
2026-08-12,KHC,34,25,evaluated
2026-08-12,LEN,73,56,evaluated
2026-08-12,LRCX,145,105,evaluated
2026-08-12,META,369,304,evaluated
2026-08-12,MS,46,35,evaluated
2026-08-12,NU,47,37,evaluated
2026-08-12,TFC,2,1,evaluated
2026-08-12,TOST,54,44,evaluated
2026-08-12,TSLA,234,190,evaluated
2026-08-12,ULTA,145,110,evaluated
2026-08-12,VRT,127,96,evaluated
2026-08-12,W,131,104,evaluated
2026-08-12,WDAY,81,60,evaluated
2026-08-13,AAPL,133,107,evaluated
2026-08-13,AKAM,129,83,evaluated
2026-08-13,AMAT,316,246,evaluated
2026-08-13,AMT,5,4,evaluated
2026-08-13,ANF,150,99,evaluated
2026-08-13,ARM,175,140,evaluated
2026-08-13,CAT,233,187,evaluated
2026-08-13,CEG,104,80,evaluated
2026-08-13,CSCO,131,107,evaluated
2026-08-13,CVNA,89,60,evaluated
2026-08-13,DG,143,99,evaluated
2026-08-13,DOCU,79,47,evaluated
2026-08-13,GAP,75,58,evaluated
2026-08-13,GS,209,159,evaluated
2026-08-13,HUM,139,104,evaluated
2026-08-13,INTU,116,71,evaluated
2026-08-13,JNJ,57,43,evaluated
2026-08-13,LOW,78,62,evaluated
2026-08-13,LRCX,174,129,evaluated
2026-08-13,MCD,53,41,evaluated
2026-08-13,MELI,288,210,evaluated
2026-08-13,MS,55,43,evaluated
2026-08-13,NOW,128,76,evaluated
2026-08-13,PYPL,60,48,evaluated
2026-08-13,SMCI,93,71,evaluated
2026-08-13,TFC,2,1,evaluated
2026-08-13,TSLA,282,235,evaluated
2026-08-13,TTD,72,59,evaluated
2026-08-14,AAP,103,72,evaluated
2026-08-14,AAPL,115,88,evaluated
2026-08-14,ABBV,50,40,evaluated
2026-08-14,AMAT,216,180,evaluated
2026-08-14,AXP,63,47,evaluated
2026-08-14,BX,87,55,evaluated
2026-08-14,CAT,207,166,evaluated
2026-08-14,CSCO,110,89,evaluated
2026-08-14,CVNA,74,48,evaluated
2026-08-14,DELL,182,123,evaluated
2026-08-14,EXPE,85,59,evaluated
2026-08-14,FCX,82,63,evaluated
2026-08-14,HD,92,70,evaluated
2026-08-14,HIMS,100,85,evaluated
2026-08-14,LRCX,143,107,evaluated
2026-08-14,MCD,46,36,evaluated
2026-08-14,MELI,235,174,evaluated
2026-08-14,MRK,79,56,evaluated
2026-08-14,MS,48,38,evaluated
2026-08-14,RBLX,94,75,evaluated
2026-08-14,TOST,58,47,evaluated
2026-08-14,TTD,54,43,evaluated
2026-08-14,ULTA,171,136,evaluated
2026-08-17,ABNB,60,48,evaluated
2026-08-17,AFRM,112,82,evaluated
2026-08-17,ALAB,231,181,evaluated
2026-08-17,AMAT,208,152,evaluated
2026-08-17,ANF,144,101,evaluated
2026-08-17,AXP,71,56,evaluated
2026-08-17,BAC,36,25,evaluated
2026-08-17,BX,93,64,evaluated
2026-08-17,CSCO,102,84,evaluated
2026-08-17,CVNA,88,63,evaluated
2026-08-17,DASH,76,58,evaluated
2026-08-17,DELL,187,129,evaluated
2026-08-17,DG,139,99,evaluated
2026-08-17,GILD,79,56,evaluated
2026-08-17,GNRC,86,65,evaluated
2026-08-17,GOOG,86,67,evaluated
2026-08-17,GS,188,135,evaluated
2026-08-17,HPQ,62,38,evaluated
2026-08-17,JPM,61,46,evaluated
2026-08-17,LOW,77,59,evaluated
2026-08-17,LRCX,139,95,evaluated
2026-08-17,MCD,54,42,evaluated
2026-08-17,MPC,5,3,evaluated
2026-08-17,MRK,74,54,evaluated
2026-08-17,PYPL,52,42,evaluated
2026-08-17,RBLX,95,74,evaluated
2026-08-17,SBUX,74,56,evaluated
2026-08-17,SCHW,63,49,evaluated
2026-08-17,SPOT,124,96,evaluated
2026-08-17,TTD,51,44,evaluated
2026-08-17,ZS,77,51,evaluated
2026-08-18,AAP,95,67,evaluated
2026-08-18,AVGO,297,244,evaluated
2026-08-18,BX,91,64,evaluated
2026-08-18,CAT,194,156,evaluated
2026-08-18,DOCU,70,52,evaluated
2026-08-18,GS,173,129,evaluated
2026-08-18,HD,77,56,evaluated
2026-08-18,LRCX,149,112,evaluated
2026-08-18,MELI,231,191,evaluated
2026-08-18,MGM,38,29,evaluated
2026-08-18,NCLH,36,29,evaluated
2026-08-18,NEM,96,69,evaluated
2026-08-18,S,61,42,evaluated
2026-08-18,TFC,2,1,evaluated
2026-08-18,TOST,60,46,evaluated
2026-08-18,TSLA,267,219,evaluated
2026-08-18,WDAY,108,83,evaluated
2026-08-18,XPEV,50,42,evaluated
2026-08-19,ADM,3,2,evaluated
2026-08-19,AVGO,245,208,evaluated
2026-08-19,BTU,44,28,evaluated
2026-08-19,BX,76,51,evaluated
2026-08-19,CAT,174,143,evaluated
2026-08-19,COIN,115,83,evaluated
2026-08-19,CSCO,87,70,evaluated
2026-08-19,DELL,263,208,evaluated
