ticker,tradeDate,stockPrice,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,rr25_pct252,callskew_pct252,call_wing_10_pct252,put_wing_10_pct252,call_kink_pct252,iv10d_pct252,return_5d_pct,drawdown_20d_pct,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,avgOptVolu20d,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,oi,ivRank1y,ivPct1y,ivRank1m,ivPct1m,dollar_stock_volume,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,putskew,putskew_pct252,buy_first_put_tail_inventory,put_inventory_score,original_surface_pass,grab_surface_pass,original_surface_exclusions
ABT,2026-08-11,109.98,0.765074,24.7122,1.68864,24.054100000000002,24.7122,27.009800000000002,0.0576955,26.768399999999996,25.436799999999998,24.5181,25.201,33.2773,26.7229,0.6829000000000001,-0.19409999999999883,0.7245999999999988,2.7142999999999944,9.223199999999995,1.3315999999999981,1.5873015873015872,88.0952380952381,91.26984126984127,86.5079365079365,60.317460317460316,45.63492063492063,4.118148253337139,0.0,96.14479999999998,107.59909999999999,14.389961807606898,True,True,True,33.681779506503,32.853372154738786,2026-08-11,108.62,190307555.0,5.76955,11953050,14428.15,Medical Device Manufacturing,0000-00-00,XLV,Healthcare,5,60,76.5074,9,242832,52.08,59.52,0.0,4.76,1298340291.0,True,True,89.50819672131148,,True,False,False,,False,False,20.753968253968253,27.142857142857142,305,266,,,,,False,False,kink rank <70; opposite put-wing rank >=70
AMT,2026-08-11,170.0,0.869616,27.1819,2.36918,27.766099999999998,27.1819,29.5433,0.0463075,30.936200000000003,29.2842,27.0522,28.913100000000004,31.401200000000003,31.4853,1.8609000000000044,-0.1296999999999997,2.1022999999999996,3.170100000000005,3.635100000000005,1.6520000000000046,20.634920634920636,90.87301587301587,93.25396825396825,24.206349206349206,90.87301587301587,58.73015873015873,-2.5843791186751397,-4.8471957908877155,174.36939999999998,178.24335,-2.5058295778961126,False,False,False,-3.9981929071606137,-4.826600258924829,2026-08-11,169.11,79213208.0,4.63075,3076037,2099.85,Specialty REITs,0000-00-00,XLRE,Real Estate,10,60,86.9616,11,50205,53.78,58.73,1.64,9.52,520188617.07000005,True,True,30.16393442622951,,False,False,False,other,False,False,12.519841269841269,33.86904761904762,305,266,,,,,False,False,local RR rank >10; five-day return <=0
CAT,2026-08-11,844.99,0.98603,38.5983,2.98212,39.5367,38.5983,42.2261,0.0334909,41.9462,38.4007,38.1019,39.2258,43.374,40.5041,1.123899999999999,-0.4964000000000013,-0.19760000000000133,2.409499999999994,3.837299999999999,3.545499999999997,3.1746031746031744,93.65079365079364,91.66666666666667,13.492063492063492,69.84126984126983,59.523809523809526,-4.5629609550593475,-7.560441964774101,915.387,749.3351000000001,-7.690408537591198,False,True,False,-8.558782789368891,-9.387190141133107,2026-08-11,837.58,397411453.0,3.34909,3107509,34655.75,Farm & Construction Equipment,0000-00-00,XLI,Industrials,5,71,98.603,11,297384,59.67,71.43,0.0,4.76,2602787388.2200003,True,True,24.59016393442623,,False,False,False,,False,False,10.634920634920636,27.658730158730158,305,266,,,,,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high
CELH,2026-08-11,27.88,0.59276,50.7724,2.69056,54.03980000000001,50.7724,56.105000000000004,0.11313,65.275,55.73590000000001,53.0452,50.2315,56.0458,53.5141,-2.8137000000000043,2.2728000000000037,4.9635000000000105,11.235199999999999,2.005999999999993,9.539099999999998,1.1904761904761905,93.65079365079364,85.31746031746032,7.142857142857143,81.74603174603175,39.285714285714285,-6.127946127946126,-7.98679867986799,29.196400000000004,39.67844999999999,-4.508775054458791,False,False,False,-8.470124753775455,-9.298532105539671,2026-08-11,27.21,7054617.0,11.31303,11673704,42993.15,Non-Alcoholic Beverages,0000-00-00,XLP,C. Defensive,5,33,59.276,12,682037,31.23,32.94,0.0,4.76,317641485.84000003,True,True,24.91803278688525,,False,False,False,other,False,False,10.436507936507937,32.61904761904762,305,266,,,,,False,False,five-day return <=0; more than 5% below 20-day high
CSCO,2026-08-11,120.95,0.972188,36.755500000000005,3.17343,66.0152,46.8355,42.553200000000004,0.0497734,70.36919999999999,48.998799999999996,37.9546,35.5577,63.782799999999995,44.7063,-2.3969000000000023,1.1990999999999943,2.1632999999999925,4.353999999999999,-2.2323999999999984,21.370399999999997,0.7936507936507936,98.01587301587301,88.4920634920635,0.0,97.61904761904762,96.82539682539682,-0.40349143610012295,-1.7225968960754012,118.0666,91.31205,2.4421809385550164,True,True,True,22.87920349486945,22.050796143105234,2026-08-11,122.57,476716523.0,4.97734,20084583,40695.85,Communications Equipment Manufacturing,0000-00-00,XLK,Technology,10,84,97.2188,0,928996,73.82,80.16,0.0,4.76,2461767338.31,True,True,81.9672131147541,,True,False,False,other,True,False,20.17857142857143,3.7301587301587276,305,266,,,,,False,False,five-day return <=0; IVR outside 30–70; near-front earnings flag
CVNA,2026-08-11,71.88,0.964193,56.603,2.68685,59.4607,56.603,62.659200000000006,0.0497076,61.3774,58.400200000000005,55.7562,57.9609,68.1551,64.39359999999999,2.2047000000000025,-0.8468000000000018,1.7972000000000037,1.9166999999999987,8.694400000000002,2.9771999999999963,0.0,99.2063492063492,87.6984126984127,11.904761904761905,51.98412698412698,32.53968253968254,5.721429622003238,-3.4390112842557774,66.6698,274.1209,7.8149326981631795,False,False,True,-6.381870278718427,-7.210277630482643,2026-08-11,74.16,79033857.0,4.97076,10499108,52455.05,Auto Dealerships,0000-00-00,XLY,C. Cyclical,5,29,96.4193,11,1175729,25.1,28.17,0.0,4.76,778613849.28,True,True,27.54098360655738,,False,False,False,,False,False,10.03968253968254,26.369047619047617,305,266,,,,,False,False,kink rank <70; IVR outside 30–70
DOCU,2026-08-11,59.35,0.745453,53.7717,2.9299,49.278800000000004,65.6998,60.0005,0.153257,59.1463,70.1751,54.295700000000004,53.53980000000001,50.104899999999994,66.79469999999999,-0.7558999999999969,0.5240000000000009,4.475300000000004,9.867499999999993,0.8260999999999896,-11.028800000000004,4.365079365079365,82.14285714285714,89.28571428571429,1.5873015873015872,18.650793650793652,47.61904761904762,3.1456378171706767,-1.346409574468077,49.805800000000005,54.30125,19.16282842560504,True,True,True,30.6117957746479,29.783388422883682,2026-08-11,59.64,11531194.0,15.32574,3096178,7796.85,Application Software,0000-00-00,XLK,Technology,86,79,74.5453,3,154037,61.98,78.57,65.34,85.71,184656055.92,True,True,87.21311475409837,,False,False,False,,False,False,11.329365079365079,24.861111111111114,305,266,,,,,False,False,kink rank <70
FANG,2026-08-11,202.21,0.852588,34.7059,2.65907,35.1271,34.7059,35.4811,0.0280258,40.021499999999996,36.932900000000004,35.022,35.5032,37.7859,38.3899,0.4812000000000012,0.3160999999999987,2.227000000000004,4.894399999999997,2.6587999999999994,3.0885999999999925,5.9523809523809526,82.14285714285714,87.6984126984127,3.9682539682539684,87.6984126984127,40.87301587301587,5.45501955671448,-1.7778209549715873,191.35419999999993,175.46560000000002,5.673144357427251,False,True,True,2.9634910127807057,2.1350836610164903,2026-08-11,198.97,56622802.0,2.80258,1970200,2342.55,Oil & Gas Exploration,0000-00-00,XLE,Energy,43,49,85.2588,11,74779,53.12,50.79,67.79,42.86,392010694.0,True,True,48.52459016393443,,True,False,False,grab,False,True,21.488095238095237,53.1547619047619,305,266,,,,,True,True,passed original surface
FDX,2026-08-11,322.19,0.891226,27.8916,3.94445,28.414499999999997,27.8916,29.949399999999997,0.04432,32.760099999999994,30.0383,28.124399999999998,28.560000000000002,29.841099999999997,29.343999999999998,0.43560000000000443,0.23279999999999745,2.146699999999999,4.3455999999999975,1.4266000000000005,2.7217999999999947,1.5873015873015872,97.61904761904762,85.71428571428571,1.5873015873015872,63.095238095238095,26.58730158730159,2.526650755767701,-1.1110770080721921,319.29740000000004,328.8329,0.9059265750362977,False,False,True,-14.714913441685628,-15.543320793449844,2026-08-11,325.08,76224093.0,4.432,1493155,4608.0,Freight & Logistics Services,0000-00-00,XLI,Industrials,5,25,89.1226,11,39262,40.2,24.6,0.0,4.76,485394827.4,True,True,19.01639344262295,,False,False,False,,False,False,10.277777777777777,26.726190476190474,305,266,,,,,False,False,kink rank <70
FTNT,2026-08-11,161.73,0.909561,45.104,4.0,42.7958,45.104,48.5495,0.0656589,48.8588,45.763799999999996,45.2769,45.232499999999995,45.8593,45.771699999999996,-0.044400000000003104,0.1728999999999985,0.659799999999997,6.063000000000002,3.0634999999999977,3.095000000000006,5.555555555555555,83.33333333333333,92.85714285714286,15.079365079365079,69.04761904761905,65.87301587301587,-4.114543190846032,-4.114543190846032,154.0178,103.2687,5.007343307072287,True,True,True,40.195908460471564,39.36750110870735,2026-08-11,164.21,118663509.0,6.56589,5598116,10034.55,Infrastructure Software,0000-00-00,XLK,Technology,5,82,90.9561,12,181932,47.61,81.75,0.0,4.76,919266628.36,True,True,92.1311475409836,,True,False,False,,False,False,21.388888888888893,27.738095238095237,305,266,,,,,False,False,kink rank <70; five-day return <=0
