tradeDate,leg1_strike,leg2_strike,entry_time,leg1_price,method,horizon,status,leg2_time,leg2_price,exit_time,pnl_net,pnl_extra_1c_slippage,first_leg_min_pnl,completion_benefit_vs_close
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,simultaneous,-1,completed,2026-08-21T10:41:00-04:00,0.95,2026-08-26T15:50:00-04:00,-34.60000000000001,-38.60000000000001,,-24.3
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,fixed_clock,0,completed,2026-08-21T15:50:00-04:00,0.72,2026-08-26T15:50:00-04:00,-11.599999999999998,-15.599999999999998,-36.3,-17.299999999999994
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,fixed_clock,1,completed,2026-08-24T15:50:00-04:00,0.5700000000000001,2026-08-26T15:50:00-04:00,3.399999999999993,-0.6000000000000072,-36.3,-18.300000000000008
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,fixed_clock,2,completed,2026-08-25T15:50:00-04:00,0.45,2026-08-26T15:50:00-04:00,15.4,11.4,-36.3,-18.300000000000004
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,price_finance,0,aborted_uncompleted,,,2026-08-21T15:50:00-04:00,5.699999999999995,3.699999999999995,-36.3,
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,price_finance,1,completed,2026-08-24T09:46:00-04:00,0.52,2026-08-26T15:50:00-04:00,8.399999999999997,4.399999999999997,-36.3,-17.299999999999997
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,price_finance,2,completed,2026-08-24T09:46:00-04:00,0.52,2026-08-26T15:50:00-04:00,8.399999999999997,4.399999999999997,-36.3,-17.299999999999997
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,hiro_finance,0,aborted_uncompleted,,,2026-08-21T15:50:00-04:00,5.699999999999995,3.699999999999995,-36.3,
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,hiro_finance,1,completed,2026-08-24T13:24:00-04:00,0.56,2026-08-26T15:50:00-04:00,4.399999999999993,0.3999999999999932,-36.3,-17.300000000000004
2026-08-20,150.0,145.0,2026-08-21T10:41:00-04:00,0.61,hiro_finance,2,completed,2026-08-24T13:24:00-04:00,0.56,2026-08-26T15:50:00-04:00,4.399999999999993,0.3999999999999932,-36.3,-17.300000000000004
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,simultaneous,-1,completed,2026-08-24T10:51:00-04:00,0.47,2026-08-27T15:50:00-04:00,-20.600000000000005,-24.600000000000005,,-13.300000000000004
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,fixed_clock,0,completed,2026-08-24T15:50:00-04:00,0.27,2026-08-27T15:50:00-04:00,-0.600000000000001,-4.600000000000001,-21.3,-9.3
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,fixed_clock,1,completed,2026-08-25T15:50:00-04:00,0.16,2026-08-27T15:50:00-04:00,10.4,6.4,-21.3,-4.299999999999999
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,fixed_clock,2,completed,2026-08-26T15:50:00-04:00,0.15,2026-08-27T15:50:00-04:00,11.400000000000002,7.400000000000002,-21.3,-10.299999999999995
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,price_finance,0,completed,2026-08-24T14:43:00-04:00,0.23,2026-08-27T15:50:00-04:00,3.4,-0.6000000000000001,-21.3,-3.300000000000002
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,price_finance,1,completed,2026-08-24T14:43:00-04:00,0.23,2026-08-27T15:50:00-04:00,3.4,-0.6000000000000001,-21.3,-3.300000000000002
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,price_finance,2,completed,2026-08-24T14:43:00-04:00,0.23,2026-08-27T15:50:00-04:00,3.4,-0.6000000000000001,-21.3,-3.300000000000002
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,hiro_finance,0,aborted_uncompleted,,,2026-08-24T15:50:00-04:00,8.7,6.699999999999999,-21.3,
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,hiro_finance,1,completed,2026-08-25T11:27:00-04:00,0.2,2026-08-27T15:50:00-04:00,6.4,2.4000000000000004,-21.3,-5.299999999999999
2026-08-21,160.0,155.0,2026-08-24T10:51:00-04:00,0.26,hiro_finance,2,completed,2026-08-25T11:27:00-04:00,0.2,2026-08-27T15:50:00-04:00,6.4,2.4000000000000004,-21.3,-5.299999999999999
