row_id,primary_episode,tradeDate,ticker,scenario,expiry,leg1_strike,leg2_strike,entry_day,hiro_entry_day,signal_day_hiro,clock_entry,hiro_entry
0,True,2026-08-19,MSTR,sell-first call grab,2026-08-28,140.0,135.0,2026-08-20,False,False,2026-08-20T10:01:00-04:00,
1,True,2026-08-20,MSTR,sell-first call grab,2026-08-28,150.0,145.0,2026-08-21,True,False,2026-08-21T10:01:00-04:00,2026-08-21T10:41:00-04:00
2,True,2026-08-21,MSTR,sell-first call grab,2026-08-28,160.0,155.0,2026-08-24,True,True,2026-08-24T10:01:00-04:00,2026-08-24T10:51:00-04:00
3,True,2026-08-24,CCJ,buy-first put-tail inventory,2026-09-18,75.0,70.0,2026-08-25,False,False,2026-08-25T10:01:00-04:00,
4,True,2026-08-24,CRWV,buy-first put-tail inventory,2026-09-18,47.5,42.5,2026-08-25,False,False,2026-08-25T10:01:00-04:00,
5,True,2026-08-24,GOOG,buy-first put-tail inventory,2026-09-18,255.0,250.0,2026-08-25,False,False,,
6,True,2026-08-24,GOOGL,buy-first put-tail inventory,2026-10-16,235.0,230.0,2026-08-25,False,False,,
7,True,2026-08-24,MSTR,sell-first call grab,2026-08-28,155.0,152.5,2026-08-25,True,True,,
8,True,2026-08-24,NVDA,buy-first put-tail inventory,2026-09-18,130.0,125.0,2026-08-25,False,False,2026-08-25T10:01:00-04:00,
9,True,2026-08-24,PLTR,buy-first put-tail inventory,2026-09-18,105.0,100.0,2026-08-25,False,False,2026-08-25T10:01:00-04:00,
10,True,2026-08-24,TGT,buy-first put-tail inventory,2026-09-18,125.0,120.0,2026-08-25,False,False,2026-08-25T10:01:00-04:00,
11,True,2026-08-25,BE,buy-first put-tail inventory,2026-09-18,130.0,125.0,2026-08-26,False,False,,
12,True,2026-08-25,CRWV,buy-first put-tail inventory,2026-09-18,55.0,50.0,2026-08-26,False,False,,
13,True,2026-08-25,GOOG,buy-first put-tail inventory,2026-09-18,190.0,185.0,2026-08-26,False,False,,
14,True,2026-08-25,GOOGL,buy-first put-tail inventory,2026-10-16,250.0,245.0,2026-08-26,False,False,,
15,True,2026-08-25,IREN,buy-first put-tail inventory,2026-09-18,25.0,20.0,2026-08-26,False,False,,
16,True,2026-08-25,NVDA,buy-first put-tail inventory,2026-09-18,120.0,115.0,2026-08-26,False,False,2026-08-26T10:01:00-04:00,
17,True,2026-08-25,SCHW,buy-first put-tail inventory,2026-09-18,77.5,75.0,2026-08-26,False,False,,
18,True,2026-08-25,SOFI,buy-first put-tail inventory,2026-10-16,11.0,8.0,2026-08-26,False,False,2026-08-26T10:01:00-04:00,
19,True,2026-08-26,AMZN,buy-first put-tail inventory,2026-09-18,180.0,175.0,2026-08-27,True,False,2026-08-27T10:01:00-04:00,2026-08-27T10:51:00-04:00
20,True,2026-08-26,BE,buy-first put-tail inventory,2026-09-18,135.0,130.0,2026-08-27,True,False,,
21,True,2026-08-26,BMNR,buy-first put-tail inventory,2026-09-18,18.0,13.0,2026-08-27,True,False,2026-08-27T10:01:00-04:00,2026-08-27T10:06:00-04:00
22,True,2026-08-26,IREN,buy-first put-tail inventory,2026-09-18,24.0,19.0,2026-08-27,True,False,,
23,True,2026-08-26,MRNA,buy-first put-tail inventory,2026-09-18,90.0,85.0,2026-08-27,True,False,,
24,False,2026-08-26,NVDA,buy-first put-tail inventory,2026-09-18,120.0,115.0,2026-08-27,True,False,2026-08-27T10:01:00-04:00,2026-08-27T10:06:00-04:00
25,False,2026-08-26,PLTR,buy-first put-tail inventory,2026-09-18,105.0,100.0,2026-08-27,True,False,2026-08-27T10:01:00-04:00,2026-08-27T10:01:00-04:00
26,True,2026-08-27,AMZN,buy-first put-tail inventory,2026-09-18,150.0,145.0,2026-08-28,True,True,2026-08-28T10:01:00-04:00,2026-08-28T10:21:00-04:00
27,True,2026-08-27,CRWV,buy-first put-tail inventory,2026-09-18,50.0,45.0,2026-08-28,True,True,2026-08-28T10:01:00-04:00,2026-08-28T13:51:00-04:00
28,True,2026-08-27,GOOG,buy-first put-tail inventory,2026-10-16,230.0,225.0,2026-08-28,True,True,,
29,True,2026-08-27,GOOGL,buy-first put-tail inventory,2026-10-16,245.0,240.0,2026-08-28,True,True,,2026-08-28T12:21:00-04:00
30,True,2026-08-27,NBIS,buy-first put-tail inventory,2026-09-18,120.0,115.0,2026-08-28,True,True,,2026-08-28T12:16:00-04:00
31,True,2026-08-27,NVDA,buy-first put-tail inventory,2026-09-18,145.0,140.0,2026-08-28,True,True,2026-08-28T10:01:00-04:00,2026-08-28T10:51:00-04:00
32,True,2026-08-27,PLTR,buy-first put-tail inventory,2026-09-18,125.0,120.0,2026-08-28,True,True,2026-08-28T10:01:00-04:00,2026-08-28T10:26:00-04:00
33,True,2026-08-28,BMNR,buy-first put-tail inventory,2026-09-18,15.0,11.0,2026-08-31,True,True,2026-08-31T10:01:00-04:00,
34,False,2026-08-28,CRWV,buy-first put-tail inventory,2026-09-18,50.0,45.0,2026-08-31,True,True,,2026-08-31T10:36:00-04:00
35,True,2026-08-28,CVNA,buy-first put-tail inventory,2026-09-18,45.0,40.0,2026-08-31,True,True,2026-08-31T10:01:00-04:00,2026-08-31T10:01:00-04:00
36,False,2026-08-28,GOOGL,buy-first put-tail inventory,2026-10-16,235.0,230.0,2026-08-31,True,True,,2026-08-31T10:41:00-04:00
37,True,2026-08-28,HOOD,buy-first put-tail inventory,2026-09-18,70.0,65.0,2026-08-31,True,False,2026-08-31T10:01:00-04:00,2026-08-31T10:31:00-04:00
38,True,2026-08-28,MRVL,buy-first put-tail inventory,2026-09-18,140.0,135.0,2026-08-31,True,True,,2026-08-31T11:11:00-04:00
