ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,putVolume,putOpenInterest,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,delta
MSTR,2026-08-19,2026-08-28,10,140.0,103.87,2338,762,3,30,0.24,0.24960726900587377,0.29,35.55,36.2018233179159,37.05,1.0200951848855746,1.0379261304679133,1.055757076050252,1.017,0.0,1.414328238735898,1.414328238735898,0.03357470813520596
MSTR,2026-08-19,2026-08-28,10,135.0,103.87,935,565,0,13,0.3,0.35868562403644755,0.39,30.65,31.294360633993026,32.15,0.9566277067588905,0.9820204688191705,1.0074132308794503,0.979,0.0,1.3206826396963003,1.3206826396963003,0.05048756117806205
MSTR,2026-08-20,2026-08-28,9,150.0,112.06,1949,2474,0,0,0.32,0.3485460621685088,0.38,37.55,38.08075824199382,38.35,1.1026591090943245,1.1203486422184161,1.138038175342508,1.102,0.0,1.251867526060903,1.251867526060903,0.04308134905750613
MSTR,2026-08-20,2026-08-28,9,145.0,112.06,396,442,0,3,0.43,0.46141439320947136,0.5,32.65,33.19706510957972,33.45,1.058854706168719,1.0760348679033047,1.0932150296378904,1.058,0.0,1.1822372163664168,1.1822372163664168,0.06054818786889946
MSTR,2026-08-21,2026-08-28,8,160.0,119.14,2691,442,0,0,0.26,0.281360896205232,0.32,40.65,41.148946363578915,41.75,1.141797983200525,1.1633371417184022,1.1848763002362797,1.152,0.0,1.4553286906365617,1.4553286906365617,0.038284436013965265
MSTR,2026-08-21,2026-08-28,8,155.0,119.14,2797,1237,0,1,0.34,0.3640318781141626,0.39,35.85,36.27943386851483,36.85,1.093710269360783,1.1089736609896357,1.1242370526184884,1.105,0.0,1.373783802912006,1.373783802912006,0.05408041129230371
MSTR,2026-08-24,2026-08-28,5,155.0,122.28,888,2940,20,1,0.22,0.2344732815205547,0.27,32.35,32.893371266787405,33.6,1.2220312362247872,1.244816067373158,1.267600898521529,1.228,0.0,1.6481223259622937,1.6481223259622937,0.03544676565846313
MSTR,2026-08-24,2026-08-28,5,152.5,122.28,210,0,2,0,0.25,0.29257443675284645,0.3,29.9,30.456956603686873,30.8,1.1809617762307867,1.2010542144158587,1.2211466526009307,1.207,0.0,1.4236626938378227,1.4236626938378227,0.04523728444960552
CCJ,2026-08-24,2026-09-18,26,75.0,102.31,0,112,3,3268,26.5,27.602112458397528,29.2,0.03,0.03044755636441463,0.06,0.0,1.076646391339446,1.076646391339446,0.5,0.49930885686564896,0.5224029266088073,0.5454969963519657,0.9930228220171499
CCJ,2026-08-24,2026-09-18,26,70.0,102.31,0,136,0,1218,31.4,32.55801136530967,33.4,0.01,0.03044755636441463,0.05,0.0,1.0476536188349024,1.0476536188349024,0.501,0.531651171438255,0.5839628628495607,0.6362745542608663,0.9986266211697653
CRWV,2026-08-24,2026-09-18,26,47.5,86.34,0,53,13,1284,38.6,38.99012772394079,39.25,0.04,0.03678581077883748,0.06,0.0,1.2584022439452414,1.2584022439452414,0.873,0.9511408677062246,0.9754476602216529,0.999754452737081,0.9972031136234032
CRWV,2026-08-24,2026-09-18,26,42.5,86.34,0,45,5,386,43.45,43.96144211373361,44.5,0.01,0.01,0.09,0.0,1.657473116804805,1.657473116804805,0.876,0.9630323861100656,1.097454516104177,1.2318766460982888,0.9994608057329374
GOOG,2026-08-24,2026-09-18,26,255.0,345.57,6,533,2,2237,89.9,91.1457409772616,92.55,0.09,0.12848701314205732,0.13,0.0,0.7424762346290238,0.7424762346290238,0.359,0.4821346131038029,0.49307615699426993,0.504017700884737,0.9993424931239288
GOOG,2026-08-24,2026-09-18,26,250.0,345.57,6,1294,80,8145,94.9,96.13002484726502,97.5,0.08,0.12848701314205732,0.14,0.0,0.7783303310498014,0.7783303310498014,0.359,0.5030170112325838,0.5206067314996303,0.5381964517666769,0.999361570034106
GOOGL,2026-08-24,2026-10-16,54,235.0,349.19,0,45,19,495,113.65,115.65644390129675,117.5,0.16,0.14,0.2,0.0,0.6797957797885054,0.6797957797885054,0.417,0.4531736920212649,0.4595609225517037,0.46594815308214255,0.9960895069635434
GOOGL,2026-08-24,2026-10-16,54,230.0,349.19,1,25,5,449,118.6,120.60062652520567,122.25,0.14,0.13978328725588657,0.19,0.0,0.6923701167622316,0.6923701167622316,0.419,0.4666103074517159,0.47582278959496793,0.48503527173822,0.9972535472885753
NVDA,2026-08-24,2026-09-18,26,130.0,208.45,20,3894,377,29912,78.2,78.60558422900769,80.15,0.12,0.12846644474688218,0.13,0.0,1.2157562822789434,1.2157562822789434,0.562,0.7880032572926975,0.7917727524797262,0.7955422476667549,0.9987892596308039
NVDA,2026-08-24,2026-09-18,26,125.0,208.45,40,5207,9479,39162,83.15,83.5899180375793,84.25,0.1,0.10930993660761879,0.11,0.0,1.0942590225334727,1.0942590225334727,0.562,0.8266716862064947,0.8315254510565558,0.836379215906617,0.9988092776037644
PLTR,2026-08-24,2026-09-18,26,105.0,176.72,0,589,47,8391,71.9,72.08465201787432,73.05,0.13,0.14176376495753412,0.16,0.0,1.2392357800476352,1.2392357800476352,0.709,0.8894569133092266,0.9019566921102996,0.9144564709113726,0.9994686015612063
PLTR,2026-08-24,2026-09-18,26,100.0,176.72,5,715,26,14719,76.65,77.06436059512858,77.65,0.12,0.1412473422968096,0.15,0.0,1.2146470173364026,1.2146470173364026,0.71,0.9548191899646906,0.9689488012224265,0.9830784124801625,0.9998276779984411
TGT,2026-08-24,2026-09-18,26,125.0,169.44,6,218,64,899,43.5,44.735692947291916,46.25,0.01,0.021603050855067567,0.03,0.0,0.8965372912767134,0.8965372912767134,0.37,0.41333496351651444,0.4373099002069877,0.46128483689746086,0.9992337643690181
TGT,2026-08-24,2026-09-18,26,120.0,169.44,0,99,1,5744,48.5,49.72053671817142,51.2,0.01,0.021603050855067567,0.04,0.0,0.9815281734215251,0.9815281734215251,0.37,0.4637145034795602,0.49877191851512753,0.5338293335506948,0.9996988634184627
BE,2026-08-25,2026-09-18,25,130.0,216.23,0,241,33,1913,85.65,86.9509601218799,89.35,0.3,0.30528359288602624,0.35,0.0,1.5004818372186148,1.5004818372186148,0.982,0.9720023209299027,0.9838574553769301,0.9957125898239576,0.9852311403267424
BE,2026-08-25,2026-09-18,25,125.0,216.23,46,116,19,672,90.5,91.82603764417364,94.1,0.25,0.19433873794864998,0.3,0.0,1.5577472226251052,1.5577472226251052,0.988,1.0109653426885994,1.0246109274420339,1.0382565121954683,0.9900119364677875
