ticker,tradeDate,scenario,entry_day,flow_triggers,live_quote_passes,admitted_triggers,hiro_status
MSTR,2026-08-19,sell-first call grab,2026-08-20,0,55,0,hiro_unavailable
MSTR,2026-08-20,sell-first call grab,2026-08-21,4,55,4,admitted
MSTR,2026-08-21,sell-first call grab,2026-08-24,7,37,6,admitted
MSTR,2026-08-24,sell-first call grab,2026-08-25,1,12,0,no_live_quote_gate_at_flow_trigger
CCJ,2026-08-24,buy-first put-tail inventory,2026-08-25,0,55,0,hiro_unavailable
CRWV,2026-08-24,buy-first put-tail inventory,2026-08-25,0,55,0,hiro_unavailable
GOOG,2026-08-24,buy-first put-tail inventory,2026-08-25,0,0,0,hiro_unavailable
GOOGL,2026-08-24,buy-first put-tail inventory,2026-08-25,0,0,0,hiro_unavailable
NVDA,2026-08-24,buy-first put-tail inventory,2026-08-25,0,55,0,hiro_unavailable
PLTR,2026-08-24,buy-first put-tail inventory,2026-08-25,0,55,0,hiro_unavailable
TGT,2026-08-24,buy-first put-tail inventory,2026-08-25,0,32,0,hiro_unavailable
BE,2026-08-25,buy-first put-tail inventory,2026-08-26,0,0,0,hiro_unavailable
CRWV,2026-08-25,buy-first put-tail inventory,2026-08-26,0,28,0,hiro_unavailable
GOOG,2026-08-25,buy-first put-tail inventory,2026-08-26,0,45,0,hiro_unavailable
GOOGL,2026-08-25,buy-first put-tail inventory,2026-08-26,0,0,0,hiro_unavailable
IREN,2026-08-25,buy-first put-tail inventory,2026-08-26,0,0,0,hiro_unavailable
NVDA,2026-08-25,buy-first put-tail inventory,2026-08-26,0,55,0,hiro_unavailable
SCHW,2026-08-25,buy-first put-tail inventory,2026-08-26,0,46,0,hiro_unavailable
SOFI,2026-08-25,buy-first put-tail inventory,2026-08-26,0,30,0,hiro_unavailable
AMZN,2026-08-26,buy-first put-tail inventory,2026-08-27,10,55,10,admitted
BE,2026-08-26,buy-first put-tail inventory,2026-08-27,18,0,0,no_live_quote_gate_at_flow_trigger
BMNR,2026-08-26,buy-first put-tail inventory,2026-08-27,18,40,14,admitted
IREN,2026-08-26,buy-first put-tail inventory,2026-08-27,9,2,0,no_live_quote_gate_at_flow_trigger
MRNA,2026-08-26,buy-first put-tail inventory,2026-08-27,23,0,0,no_live_quote_gate_at_flow_trigger
NVDA,2026-08-26,buy-first put-tail inventory,2026-08-27,27,55,27,admitted
PLTR,2026-08-26,buy-first put-tail inventory,2026-08-27,26,55,26,admitted
AMZN,2026-08-27,buy-first put-tail inventory,2026-08-28,20,55,20,admitted
CRWV,2026-08-27,buy-first put-tail inventory,2026-08-28,11,11,3,admitted
GOOG,2026-08-27,buy-first put-tail inventory,2026-08-28,23,0,0,no_live_quote_gate_at_flow_trigger
GOOGL,2026-08-27,buy-first put-tail inventory,2026-08-28,19,21,2,admitted
NBIS,2026-08-27,buy-first put-tail inventory,2026-08-28,13,19,4,admitted
NVDA,2026-08-27,buy-first put-tail inventory,2026-08-28,12,55,12,admitted
PLTR,2026-08-27,buy-first put-tail inventory,2026-08-28,22,55,22,admitted
BMNR,2026-08-28,buy-first put-tail inventory,2026-08-31,23,1,0,no_live_quote_gate_at_flow_trigger
CRWV,2026-08-28,buy-first put-tail inventory,2026-08-31,21,48,19,admitted
CVNA,2026-08-28,buy-first put-tail inventory,2026-08-31,19,4,2,admitted
GOOGL,2026-08-28,buy-first put-tail inventory,2026-08-31,11,51,11,admitted
HOOD,2026-08-28,buy-first put-tail inventory,2026-08-31,25,55,25,admitted
MRVL,2026-08-28,buy-first put-tail inventory,2026-08-31,4,53,4,admitted
NVDA,2026-08-28,buy-first put-tail inventory,2026-08-31,23,55,23,admitted
MSTR,2026-08-31,sell-first call grab,2026-09-01,2,0,0,no_live_quote_gate_at_flow_trigger
AMZN,2026-08-31,buy-first put-tail inventory,2026-09-01,21,53,21,admitted
BE,2026-08-31,buy-first put-tail inventory,2026-09-01,17,0,0,no_live_quote_gate_at_flow_trigger
BMNR,2026-08-31,buy-first put-tail inventory,2026-09-01,13,55,13,admitted
CRWV,2026-08-31,buy-first put-tail inventory,2026-09-01,8,26,1,admitted
GOOG,2026-08-31,buy-first put-tail inventory,2026-09-01,13,0,0,no_live_quote_gate_at_flow_trigger
GOOGL,2026-08-31,buy-first put-tail inventory,2026-09-01,16,16,8,admitted
HOOD,2026-08-31,buy-first put-tail inventory,2026-09-01,13,55,13,admitted
MRVL,2026-08-31,buy-first put-tail inventory,2026-09-01,17,55,17,admitted
NVDA,2026-08-31,buy-first put-tail inventory,2026-09-01,18,55,18,admitted
OKLO,2026-08-31,buy-first put-tail inventory,2026-09-01,16,0,0,no_live_quote_gate_at_flow_trigger
PLTR,2026-08-31,buy-first put-tail inventory,2026-09-01,10,55,10,admitted
SHOP,2026-08-31,buy-first put-tail inventory,2026-09-01,11,2,0,no_live_quote_gate_at_flow_trigger
AMZN,2026-09-01,buy-first put-tail inventory,2026-09-02,11,55,11,admitted
BMNR,2026-09-01,buy-first put-tail inventory,2026-09-02,0,0,0,hiro_unavailable
CVNA,2026-09-01,buy-first put-tail inventory,2026-09-02,0,0,0,hiro_unavailable
GOOGL,2026-09-01,buy-first put-tail inventory,2026-09-02,0,32,0,hiro_unavailable
HOOD,2026-09-01,buy-first put-tail inventory,2026-09-02,19,55,19,admitted
MRVL,2026-09-01,buy-first put-tail inventory,2026-09-02,0,55,0,hiro_unavailable
AMZN,2026-09-02,buy-first put-tail inventory,2026-09-03,0,55,0,hiro_unavailable
ANET,2026-09-02,buy-first put-tail inventory,2026-09-03,0,0,0,hiro_unavailable
BE,2026-09-02,buy-first put-tail inventory,2026-09-03,0,18,0,hiro_unavailable
BMNR,2026-09-02,buy-first put-tail inventory,2026-09-03,0,0,0,hiro_unavailable
CRWV,2026-09-02,buy-first put-tail inventory,2026-09-03,0,52,0,hiro_unavailable
GOOG,2026-09-02,buy-first put-tail inventory,2026-09-03,0,53,0,hiro_unavailable
GOOGL,2026-09-02,buy-first put-tail inventory,2026-09-03,0,0,0,hiro_unavailable
IREN,2026-09-02,buy-first put-tail inventory,2026-09-03,33,54,33,admitted
MRVL,2026-09-02,buy-first put-tail inventory,2026-09-03,0,55,0,hiro_unavailable
NVDA,2026-09-02,buy-first put-tail inventory,2026-09-03,0,55,0,hiro_unavailable
SOFI,2026-09-02,buy-first put-tail inventory,2026-09-03,23,53,23,admitted
MSTR,2026-09-03,sell-first call grab,2026-09-04,3,0,0,no_live_quote_gate_at_flow_trigger
AMZN,2026-09-03,buy-first put-tail inventory,2026-09-04,21,55,21,admitted
BE,2026-09-03,buy-first put-tail inventory,2026-09-04,18,7,4,admitted
BMNR,2026-09-03,buy-first put-tail inventory,2026-09-04,19,20,9,admitted
CRWV,2026-09-03,buy-first put-tail inventory,2026-09-04,26,14,5,admitted
GOOG,2026-09-03,buy-first put-tail inventory,2026-09-04,10,2,1,admitted
MRVL,2026-09-03,buy-first put-tail inventory,2026-09-04,29,50,24,admitted
MSFT,2026-09-03,buy-first put-tail inventory,2026-09-04,16,10,1,admitted
NBIS,2026-09-03,buy-first put-tail inventory,2026-09-04,27,55,27,admitted
NVDA,2026-09-03,buy-first put-tail inventory,2026-09-04,15,55,15,admitted
RTX,2026-09-03,buy-first put-tail inventory,2026-09-04,10,26,4,admitted
