ticker,signal_date,side,orats_first_bid,orats_first_ask,orats_second_bid,orats_second_ask,theta_first_bid,theta_first_ask,theta_second_bid,theta_second_ask,screen_cost,theta_same_day_cost
MSTR,2026-08-19,call,0.24,0.29,0.3,0.39,0.22,0.27,0.3,0.39,0.24,0.22
MSTR,2026-08-20,call,0.32,0.38,0.43,0.5,0.34,0.4,0.42,0.53,0.32,0.34
MSTR,2026-08-21,call,0.26,0.32,0.34,0.39,0.26,0.3,0.34,0.4,0.26,0.26
MSTR,2026-08-24,call,0.22,0.27,0.25,0.3,0.21,0.27,0.25,0.32,0.22,0.21
CCJ,2026-08-24,put,0.03,0.06,0.01,0.05,0.03,0.26,0.01,0.05,0.0499999999999999,0.25
CRWV,2026-08-24,put,0.04,0.06,0.01,0.09,0.0,0.26,0.01,0.09,0.0499999999999999,0.25
GOOG,2026-08-24,put,0.09,0.13,0.08,0.14,0.09,0.13,0.08,0.14,0.05,0.05
GOOGL,2026-08-24,put,0.16,0.2,0.14,0.19,0.16,0.2,0.1,0.19,0.06,0.1
NVDA,2026-08-24,put,0.12,0.13,0.1,0.11,0.12,0.13,0.1,0.11,0.03,0.03
PLTR,2026-08-24,put,0.13,0.16,0.12,0.15,0.13,0.17,0.12,0.14,0.04,0.05000000000000002
TGT,2026-08-24,put,0.01,0.03,0.01,0.04,0.01,0.04,0.01,0.04,0.0199999999999999,0.03
BE,2026-08-25,put,0.3,0.35,0.25,0.3,0.28,0.55,0.25,0.35000000000000003,0.0999999999999999,0.30000000000000004
CRWV,2026-08-25,put,0.1,0.13,0.05,0.07,0.06,0.14,0.02,0.08,0.08,0.12000000000000001
GOOG,2026-08-25,put,0.01,0.09,0.01,0.03,0.01,0.09,0.01,0.04,0.08,0.08
GOOGL,2026-08-25,put,0.21,0.25,0.2,0.26,0.21,0.25,0.2,0.26,0.0499999999999999,0.04999999999999999
IREN,2026-08-25,put,0.1,0.13,0.05,0.06,0.1,0.13,0.02,0.05,0.08,0.11
NVDA,2026-08-25,put,0.07,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.0099999999999999,0.009999999999999995
SCHW,2026-08-25,put,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.03,0.07,0.07
SOFI,2026-08-25,put,0.01,0.05,0.01,0.04,0.01,0.05,0.01,0.04,0.04,0.04
AMZN,2026-08-26,put,0.06,0.08,0.05,0.07,0.06,0.08,0.05,0.09,0.03,0.03
BE,2026-08-26,put,0.29,0.33,0.23,0.25,0.29,0.32,0.23,0.25,0.1,0.09
BMNR,2026-08-26,put,0.1,0.11,0.01,0.06,0.1,0.13,0.01,0.06,0.1,0.12000000000000001
IREN,2026-08-26,put,0.08,0.12,0.02,0.05,0.08,0.12,0.02,0.05,0.0999999999999999,0.09999999999999999
MRNA,2026-08-26,put,0.16,0.19,0.1,0.15,0.16,0.2,0.1,0.15,0.09,0.1
NVDA,2026-08-26,put,0.07,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.0099999999999999,0.009999999999999995
PLTR,2026-08-26,put,0.1,0.13,0.09,0.1,0.1,0.13,0.08,0.1,0.04,0.05
AMZN,2026-08-27,put,0.01,0.02,0.01,0.07,0.01,0.02,0.01,0.07,0.01,0.01
CRWV,2026-08-27,put,0.03,0.06,0.01,0.05,0.02,0.06,0.0,0.05,0.0499999999999999,0.06
GOOG,2026-08-27,put,0.1,0.15,0.09,0.14,0.1,0.15,0.09,0.14,0.06,0.06
GOOGL,2026-08-27,put,0.2,0.23,0.16,0.22,0.2,0.23,0.16,0.22,0.07,0.07
NBIS,2026-08-27,put,0.19,0.24,0.18,0.22,0.19,0.24,0.18,0.22,0.06,0.06
NVDA,2026-08-27,put,0.06,0.08,0.06,0.07,0.06,0.08,0.06,0.07,0.02,0.020000000000000004
PLTR,2026-08-27,put,0.14,0.16,0.13,0.14,0.14,0.16,0.13,0.14,0.03,0.03
BMNR,2026-08-28,put,0.02,0.04,0.01,0.02,0.02,0.04,0.01,0.02,0.03,0.03
CRWV,2026-08-28,put,0.02,0.06,0.01,0.05,0.02,0.06,0.0,0.25,0.0499999999999999,0.06
CVNA,2026-08-28,put,0.02,0.06,0.01,0.06,0.02,0.06,0.01,0.06,0.0499999999999999,0.049999999999999996
GOOGL,2026-08-28,put,0.12,0.16,0.1,0.15,0.12,0.16,0.1,0.15,0.06,0.06
HOOD,2026-08-28,put,0.07,0.1,0.03,0.1,0.07,0.12,0.03,0.2,0.07,0.09
MRVL,2026-08-28,put,0.04,0.07,0.04,0.06,0.02,0.11,0.04,0.1,0.03,0.07
NVDA,2026-08-28,put,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.0099999999999999,0.009999999999999995
MSTR,2026-08-31,call,0.23,0.25,0.29,0.33,0.14,0.26,0.29,0.4,0.23,0.14
AMZN,2026-08-31,put,0.06,0.09,0.04,0.1,0.06,0.09,0.04,0.08,0.0499999999999999,0.049999999999999996
BE,2026-08-31,put,0.1,0.13,0.05,0.1,0.1,0.13,0.01,0.3,0.08,0.12000000000000001
BMNR,2026-08-31,put,0.03,0.05,0.01,0.03,0.03,0.2,0.01,0.04,0.04,0.19
CRWV,2026-08-31,put,0.16,0.19,0.12,0.13,0.15,0.31,0.12,0.21,0.07,0.19
GOOG,2026-08-31,put,0.01,0.04,0.01,0.04,0.01,0.04,0.01,0.24,0.03,0.03
GOOGL,2026-08-31,put,0.14,0.18,0.12,0.16,0.14,0.38,0.12,0.26,0.06,0.26
HOOD,2026-08-31,put,0.03,0.05,0.02,0.05,0.03,0.05,0.02,0.05,0.03,0.030000000000000002
MRVL,2026-08-31,put,0.03,0.05,0.02,0.05,0.03,0.05,0.02,0.05,0.03,0.030000000000000002
NVDA,2026-08-31,put,0.04,0.05,0.04,0.05,0.04,0.05,0.03,0.05,0.01,0.020000000000000004
OKLO,2026-08-31,put,0.06,0.11,0.01,0.05,0.07,0.15,0.02,0.05,0.1,0.13
PLTR,2026-08-31,put,0.03,0.06,0.03,0.05,0.02,0.06,0.03,0.05,0.03,0.03
SHOP,2026-08-31,put,0.01,0.04,0.01,0.06,0.01,0.04,0.01,0.06,0.03,0.03
AMZN,2026-09-01,put,0.07,0.11,0.06,0.1,0.07,0.23,0.04,0.18,0.05,0.19
BMNR,2026-09-01,put,0.07,0.1,0.01,0.02,0.07,0.1,0.01,0.02,0.09,0.09000000000000001
CVNA,2026-09-01,put,0.02,0.06,0.01,0.06,0.02,0.06,0.01,0.05,0.0499999999999999,0.049999999999999996
GOOGL,2026-09-01,put,0.22,0.25,0.2,0.23,0.23,0.25,0.2,0.24,0.0499999999999999,0.04999999999999999
HOOD,2026-09-01,put,0.03,0.06,0.03,0.05,0.02,0.06,0.03,0.05,0.03,0.03
MRVL,2026-09-01,put,0.03,0.06,0.03,0.05,0.03,0.06,0.03,0.05,0.03,0.03
AMZN,2026-09-02,put,0.04,0.06,0.04,0.05,0.04,0.06,0.03,0.05,0.0199999999999999,0.03
