distinct_episodes,scenario,entry_mode,method,horizon,attempts,priced,paired,winners,pnl_sum,pnl_mean,pnl_median,worst,slippage_sum,complete_horizon,complete_horizon_pnl
False,buy-first put-tail inventory,clock,fixed_clock,0,38,31,31,0,-306.6,-9.890322580645162,-8.600000000000001,-25.6,-430.60000000000014,18,-168.8
False,buy-first put-tail inventory,clock,fixed_clock,1,38,27,27,0,-274.20000000000005,-10.155555555555557,-10.6,-24.599999999999998,-382.20000000000005,19,-199.4
False,buy-first put-tail inventory,clock,fixed_clock,2,38,21,21,0,-216.6,-10.314285714285713,-8.6,-24.599999999999998,-300.6000000000001,18,-187.8
False,buy-first put-tail inventory,clock,hiro_finance,0,38,38,0,0,-207.4000000000001,-5.457894736842108,-4.800000000000001,-17.3,-283.4000000000001,24,-126.19999999999999
False,buy-first put-tail inventory,clock,hiro_finance,1,38,38,0,1,-206.4000000000001,-5.431578947368424,-5.3,-17.3,-282.4000000000001,24,-124.19999999999999
False,buy-first put-tail inventory,clock,hiro_finance,2,38,38,0,0,-239.4000000000001,-6.3000000000000025,-5.800000000000001,-17.3,-315.4000000000001,24,-157.2
False,buy-first put-tail inventory,clock,price_finance,0,38,38,0,0,-207.4000000000001,-5.457894736842108,-4.800000000000001,-17.3,-283.4000000000001,24,-126.19999999999999
False,buy-first put-tail inventory,clock,price_finance,1,38,38,0,1,-206.4000000000001,-5.431578947368424,-5.3,-17.3,-282.4000000000001,24,-124.19999999999999
False,buy-first put-tail inventory,clock,price_finance,2,38,38,0,0,-239.4000000000001,-6.3000000000000025,-5.800000000000001,-17.3,-315.4000000000001,24,-157.2
False,buy-first put-tail inventory,clock,simultaneous,-1,38,38,38,0,-480.8000000000002,-12.652631578947373,-9.100000000000001,-109.6,-632.8000000000002,24,-330.4
False,buy-first put-tail inventory,clock,standalone,-1,38,38,0,0,-230.4000000000001,-6.063157894736844,-5.300000000000001,-17.3,-306.4000000000001,24,-148.2
False,buy-first put-tail inventory,hiro,fixed_clock,0,38,32,32,0,-387.20000000000005,-12.100000000000001,-10.100000000000001,-26.599999999999998,-515.2,20,-223.0
False,buy-first put-tail inventory,hiro,fixed_clock,1,38,23,23,0,-250.79999999999998,-10.904347826086957,-10.600000000000001,-22.599999999999998,-342.8000000000002,20,-224.0
False,buy-first put-tail inventory,hiro,fixed_clock,2,38,22,22,0,-251.2,-11.418181818181818,-10.600000000000001,-20.6,-339.20000000000016,20,-229.0
False,buy-first put-tail inventory,hiro,hiro_finance,0,38,38,0,0,-249.4000000000001,-6.563157894736844,-5.8,-19.3,-325.4000000000001,24,-140.2
False,buy-first put-tail inventory,hiro,hiro_finance,1,38,38,0,0,-239.4000000000001,-6.3000000000000025,-5.3,-19.3,-315.4000000000001,24,-130.2
False,buy-first put-tail inventory,hiro,hiro_finance,2,38,38,0,0,-266.4000000000001,-7.010526315789476,-6.3,-19.3,-342.4000000000001,24,-157.2
False,buy-first put-tail inventory,hiro,price_finance,0,38,38,0,0,-249.4000000000001,-6.563157894736844,-5.8,-19.3,-325.4000000000001,24,-140.2
False,buy-first put-tail inventory,hiro,price_finance,1,38,38,0,0,-239.4000000000001,-6.3000000000000025,-5.3,-19.3,-315.4000000000001,24,-130.2
False,buy-first put-tail inventory,hiro,price_finance,2,38,38,0,0,-266.4000000000001,-7.010526315789476,-6.3,-19.3,-342.4000000000001,24,-157.2
False,buy-first put-tail inventory,hiro,simultaneous,-1,38,38,38,0,-431.8000000000002,-11.363157894736847,-9.600000000000001,-24.600000000000005,-583.8000000000002,24,-246.39999999999998
False,buy-first put-tail inventory,hiro,standalone,-1,38,38,0,1,-268.4000000000001,-7.063157894736844,-6.3,-19.3,-344.4000000000001,24,-159.20000000000002
False,sell-first call grab,clock,fixed_clock,0,3,3,3,2,-0.8000000000000065,-0.26666666666666883,1.3999999999999924,-4.600000000000001,-12.800000000000006,3,-0.8000000000000065
False,sell-first call grab,clock,fixed_clock,1,3,3,3,2,-22.80000000000001,-7.600000000000004,6.4,-46.60000000000001,-34.80000000000002,3,-22.80000000000001
False,sell-first call grab,clock,fixed_clock,2,3,3,3,2,0.1999999999999975,0.06666666666666583,7.4,-36.6,-11.800000000000002,3,0.1999999999999975
False,sell-first call grab,clock,hiro_finance,0,3,3,1,2,-9.20000000000001,-3.06666666666667,4.399999999999993,-18.300000000000004,-17.200000000000014,3,-9.20000000000001
False,sell-first call grab,clock,hiro_finance,1,3,3,2,2,-33.50000000000001,-11.16666666666667,4.399999999999993,-42.3,-43.50000000000001,3,-33.50000000000001
False,sell-first call grab,clock,hiro_finance,2,3,3,2,2,-23.500000000000014,-7.833333333333338,4.399999999999993,-32.300000000000004,-33.500000000000014,3,-23.500000000000014
False,sell-first call grab,clock,price_finance,0,3,3,1,2,-9.20000000000001,-3.06666666666667,4.399999999999993,-18.300000000000004,-17.200000000000014,3,-9.20000000000001
False,sell-first call grab,clock,price_finance,1,3,3,2,2,-34.50000000000001,-11.500000000000002,3.4,-42.3,-44.50000000000001,3,-34.50000000000001
False,sell-first call grab,clock,price_finance,2,3,3,2,2,-24.500000000000014,-8.166666666666671,3.4,-32.300000000000004,-34.500000000000014,3,-24.500000000000014
False,sell-first call grab,clock,simultaneous,-1,3,3,3,1,-42.80000000000001,-14.266666666666671,-14.6,-34.60000000000001,-54.80000000000001,3,-42.80000000000001
False,sell-first call grab,clock,standalone,-1,3,3,0,2,56.099999999999994,18.7,11.7,-21.300000000000008,50.099999999999994,3,56.099999999999994
False,sell-first call grab,hiro,fixed_clock,0,2,2,2,0,-12.2,-6.1,-6.1,-11.599999999999998,-20.2,2,-12.2
False,sell-first call grab,hiro,fixed_clock,1,2,2,2,2,13.799999999999994,6.899999999999997,6.899999999999997,3.399999999999993,5.799999999999994,2,13.799999999999994
False,sell-first call grab,hiro,fixed_clock,2,2,2,2,2,26.800000000000004,13.400000000000002,13.400000000000002,11.400000000000002,18.800000000000004,2,26.800000000000004
False,sell-first call grab,hiro,hiro_finance,0,2,2,0,2,14.399999999999995,7.1999999999999975,7.1999999999999975,5.699999999999995,10.399999999999995,2,14.399999999999995
False,sell-first call grab,hiro,hiro_finance,1,2,2,2,2,10.799999999999994,5.399999999999997,5.399999999999997,4.399999999999993,2.7999999999999936,2,10.799999999999994
False,sell-first call grab,hiro,hiro_finance,2,2,2,2,2,10.799999999999994,5.399999999999997,5.399999999999997,4.399999999999993,2.7999999999999936,2,10.799999999999994
False,sell-first call grab,hiro,price_finance,0,2,2,1,2,9.099999999999994,4.549999999999997,4.549999999999997,3.4,3.0999999999999948,2,9.099999999999994
False,sell-first call grab,hiro,price_finance,1,2,2,2,2,11.799999999999997,5.899999999999999,5.899999999999999,3.4,3.7999999999999967,2,11.799999999999997
False,sell-first call grab,hiro,price_finance,2,2,2,2,2,11.799999999999997,5.899999999999999,5.899999999999999,3.4,3.7999999999999967,2,11.799999999999997
False,sell-first call grab,hiro,simultaneous,-1,2,2,2,0,-55.20000000000002,-27.60000000000001,-27.60000000000001,-34.60000000000001,-63.20000000000002,2,-55.20000000000002
False,sell-first call grab,hiro,standalone,-1,2,2,0,2,67.4,33.7,33.7,15.7,63.400000000000006,2,67.4
True,buy-first put-tail inventory,clock,fixed_clock,0,27,21,21,0,-225.6,-10.742857142857142,-9.6,-25.6,-309.6000000000001,14,-142.39999999999998
True,buy-first put-tail inventory,clock,fixed_clock,1,27,19,19,0,-211.39999999999998,-11.126315789473683,-10.600000000000001,-24.599999999999998,-287.4000000000001,15,-173.99999999999997
True,buy-first put-tail inventory,clock,fixed_clock,2,27,14,14,0,-157.39999999999998,-11.242857142857142,-10.600000000000001,-24.599999999999998,-213.39999999999998,14,-157.39999999999998
True,buy-first put-tail inventory,clock,hiro_finance,0,27,27,0,0,-153.10000000000002,-5.670370370370371,-5.3,-17.3,-207.10000000000002,20,-107.0
True,buy-first put-tail inventory,clock,hiro_finance,1,27,27,0,1,-154.10000000000002,-5.707407407407408,-5.3,-17.3,-208.10000000000002,20,-110.0
True,buy-first put-tail inventory,clock,hiro_finance,2,27,27,0,0,-178.10000000000002,-6.596296296296297,-6.3,-17.3,-232.10000000000008,20,-134.0
True,buy-first put-tail inventory,clock,price_finance,0,27,27,0,0,-153.10000000000002,-5.670370370370371,-5.3,-17.3,-207.10000000000002,20,-107.0
True,buy-first put-tail inventory,clock,price_finance,1,27,27,0,1,-154.10000000000002,-5.707407407407408,-5.3,-17.3,-208.10000000000002,20,-110.0
True,buy-first put-tail inventory,clock,price_finance,2,27,27,0,0,-178.10000000000002,-6.596296296296297,-6.3,-17.3,-232.10000000000008,20,-134.0
True,buy-first put-tail inventory,clock,simultaneous,-1,27,27,27,0,-387.20000000000005,-14.340740740740742,-9.600000000000001,-109.6,-495.2,20,-304.0000000000001
True,buy-first put-tail inventory,clock,standalone,-1,27,27,0,0,-172.10000000000002,-6.374074074074075,-6.3,-17.3,-226.10000000000002,20,-128.0
True,buy-first put-tail inventory,hiro,fixed_clock,0,27,23,23,0,-292.80000000000007,-12.730434782608699,-10.6,-26.599999999999998,-384.8000000000002,15,-182.99999999999997
True,buy-first put-tail inventory,hiro,fixed_clock,1,27,17,17,0,-198.20000000000002,-11.658823529411766,-10.600000000000001,-22.599999999999998,-266.20000000000005,15,-184.99999999999997
True,buy-first put-tail inventory,hiro,fixed_clock,2,27,14,14,0,-171.39999999999998,-12.242857142857142,-12.1,-20.6,-227.39999999999998,14,-171.39999999999998
True,buy-first put-tail inventory,hiro,hiro_finance,0,27,27,0,0,-169.10000000000002,-6.2629629629629635,-5.3,-16.3,-223.10000000000002,18,-103.4
True,buy-first put-tail inventory,hiro,hiro_finance,1,27,27,0,0,-163.10000000000002,-6.040740740740741,-5.3,-16.3,-217.10000000000002,18,-99.4
True,buy-first put-tail inventory,hiro,hiro_finance,2,27,27,0,0,-180.10000000000002,-6.670370370370371,-6.3,-16.3,-234.10000000000002,18,-116.4
True,buy-first put-tail inventory,hiro,price_finance,0,27,27,0,0,-169.10000000000002,-6.2629629629629635,-5.3,-16.3,-223.10000000000002,18,-103.4
True,buy-first put-tail inventory,hiro,price_finance,1,27,27,0,0,-163.10000000000002,-6.040740740740741,-5.3,-16.3,-217.10000000000002,18,-99.4
True,buy-first put-tail inventory,hiro,price_finance,2,27,27,0,0,-180.10000000000002,-6.670370370370371,-6.3,-16.3,-234.10000000000002,18,-116.4
True,buy-first put-tail inventory,hiro,simultaneous,-1,27,27,27,0,-312.20000000000005,-11.562962962962965,-9.600000000000001,-24.600000000000005,-420.20000000000005,18,-191.79999999999998
True,buy-first put-tail inventory,hiro,standalone,-1,27,27,0,1,-184.10000000000002,-6.81851851851852,-6.3,-17.3,-238.10000000000005,18,-120.4
True,sell-first call grab,clock,fixed_clock,0,3,3,3,2,-0.8000000000000065,-0.26666666666666883,1.3999999999999924,-4.600000000000001,-12.800000000000006,3,-0.8000000000000065
True,sell-first call grab,clock,fixed_clock,1,3,3,3,2,-22.80000000000001,-7.600000000000004,6.4,-46.60000000000001,-34.80000000000002,3,-22.80000000000001
True,sell-first call grab,clock,fixed_clock,2,3,3,3,2,0.1999999999999975,0.06666666666666583,7.4,-36.6,-11.800000000000002,3,0.1999999999999975
True,sell-first call grab,clock,hiro_finance,0,3,3,1,2,-9.20000000000001,-3.06666666666667,4.399999999999993,-18.300000000000004,-17.200000000000014,3,-9.20000000000001
True,sell-first call grab,clock,hiro_finance,1,3,3,2,2,-33.50000000000001,-11.16666666666667,4.399999999999993,-42.3,-43.50000000000001,3,-33.50000000000001
True,sell-first call grab,clock,hiro_finance,2,3,3,2,2,-23.500000000000014,-7.833333333333338,4.399999999999993,-32.300000000000004,-33.500000000000014,3,-23.500000000000014
True,sell-first call grab,clock,price_finance,0,3,3,1,2,-9.20000000000001,-3.06666666666667,4.399999999999993,-18.300000000000004,-17.200000000000014,3,-9.20000000000001
True,sell-first call grab,clock,price_finance,1,3,3,2,2,-34.50000000000001,-11.500000000000002,3.4,-42.3,-44.50000000000001,3,-34.50000000000001
