ticker,summary_rows,price_rows,status,eligible_signal_days,high_rank_days,first_summary,last_summary
AA,921,921,evaluated,669,106.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AAL,921,921,evaluated,671,95.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AAP,921,921,evaluated,670,147.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AAPL,921,921,evaluated,671,129.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ABBV,921,921,evaluated,668,115.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ABNB,921,921,evaluated,671,62.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ABR,921,921,evaluated,193,47.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ABT,921,921,evaluated,670,143.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ACHR,921,921,evaluated,415,92.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ACN,921,921,evaluated,671,154.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ADBE,921,921,evaluated,671,116.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ADM,921,921,evaluated,666,130.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AFRM,921,921,evaluated,671,36.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AG,921,921,evaluated,357,85.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AGNC,921,921,evaluated,4,0.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AI,921,921,evaluated,665,100.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AKAM,921,921,evaluated,648,159.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ALAB,605,606,evaluated,479,32.0,2024-04-08 00:00:00,2026-09-03 00:00:00
ALB,921,921,evaluated,671,108.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AMAT,921,921,evaluated,671,121.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AMC,921,921,evaluated,28,7.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AMD,921,921,evaluated,671,74.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AMGN,921,921,evaluated,671,162.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AMT,921,921,evaluated,648,142.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AMZN,921,921,evaluated,671,89.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ANET,921,921,evaluated,671,101.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ANF,921,921,evaluated,671,171.0,2023-01-03 00:00:00,2026-09-03 00:00:00
APA,921,921,evaluated,669,135.0,2023-01-03 00:00:00,2026-09-03 00:00:00
APLD,808,809,evaluated,526,123.0,2023-06-15 00:00:00,2026-09-03 00:00:00
APO,921,921,evaluated,671,162.0,2023-01-03 00:00:00,2026-09-03 00:00:00
APP,921,921,evaluated,671,80.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ARM,743,744,evaluated,617,93.0,2023-09-19 00:00:00,2026-09-03 00:00:00
ASAN,921,921,evaluated,455,92.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ASML,921,921,evaluated,671,107.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ASTS,921,921,evaluated,567,64.0,2023-01-03 00:00:00,2026-09-03 00:00:00
ATVI,198,196,evaluated,0,0.0,2023-01-03 00:00:00,2023-10-19 00:00:00
AVGO,921,921,evaluated,671,101.0,2023-01-03 00:00:00,2026-09-03 00:00:00
AXP,921,921,evaluated,671,97.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BA,921,921,evaluated,671,83.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BABA,921,921,evaluated,671,81.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BAC,921,921,evaluated,671,31.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BB,921,921,evaluated,77,18.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BBAI,921,921,evaluated,256,62.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BE,921,921,evaluated,669,126.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BIDU,921,921,evaluated,671,108.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BILI,921,921,evaluated,660,93.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BITF,821,815,evaluated,16,12.0,2023-01-03 00:00:00,2026-04-13 00:00:00
BKNG,921,921,evaluated,669,121.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BLK,921,921,evaluated,671,101.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BLNK,921,921,evaluated,20,11.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BMBL,921,921,evaluated,151,46.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BMNR,278,314,evaluated,152,1.0,2025-07-29 00:00:00,2026-09-03 00:00:00
BMY,921,921,evaluated,671,83.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BP,921,921,evaluated,667,135.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BTBT,921,921,evaluated,41,10.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BTU,921,921,evaluated,669,153.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BX,921,921,evaluated,671,84.0,2023-01-03 00:00:00,2026-09-03 00:00:00
BYND,921,921,evaluated,45,7.0,2023-01-03 00:00:00,2026-09-03 00:00:00
C,921,921,evaluated,671,43.0,2023-01-03 00:00:00,2026-09-03 00:00:00
CART,740,741,evaluated,603,139.0,2023-09-22 00:00:00,2026-09-03 00:00:00
CAT,921,921,evaluated,671,86.0,2023-01-03 00:00:00,2026-09-03 00:00:00
CCJ,921,921,evaluated,671,100.0,2023-01-03 00:00:00,2026-09-03 00:00:00
