ticker,single_stock
AA,True
AAL,True
AAP,True
AAPL,True
ABBV,True
ABNB,True
ABR,True
ABT,True
ACHR,True
ACN,True
ADBE,True
ADM,True
AFRM,True
AG,True
AGNC,True
AI,True
AKAM,True
ALAB,True
ALB,True
AMAT,True
AMC,True
AMD,True
AMGN,True
AMT,True
AMZN,True
ANET,True
ANF,True
APA,True
APLD,True
APO,True
APP,True
ARKK,False
ARM,True
ASAN,True
ASHR,False
ASML,True
ASTS,True
ATVI,True
AVGO,True
AXP,True
BA,True
BABA,True
BAC,True
BB,True
BBAI,True
BE,True
BIDU,True
BILI,True
BITF,True
BITO,False
BKNG,True
BLK,True
BLNK,True
BMBL,True
BMNR,True
BMY,True
BOIL,False
BP,True
BTBT,True
BTU,True
BX,True
BYND,True
C,True
CART,True
CAT,True
CCJ,True
CCL,True
CEG,True
CELH,True
CHPT,True
CHWY,True
CIFR,True
CLF,True
CLSK,True
CLX,True
CMCSA,True
CMG,True
COIN,True
COP,True
COST,True
CPNG,True
CRCL,True
CRDO,True
CRM,True
CRSP,True
CRWD,True
CRWV,True
CSCO,True
CVNA,True
CVS,True
CVX,True
DAL,True
DASH,True
DDOG,True
DE,True
DELL,True
DG,True
DIA,False
DIS,True
DJT,True
DKNG,True
DOCU,True
DVN,True
DWAC,True
EBAY,True
EDU,True
EEM,False
EFA,False
ENPH,True
ENVX,True
ET,True
ETHA,False
ETSY,True
EWZ,False
EXPE,True
F,True
FANG,True
FAS,False
FAZ,False
FCX,True
FDX,True
FHN,True
FSLR,True
FSLY,True
FSR,True
FTNT,True
FUBO,True
FXI,False
GAP,True
GDX,False
GDXJ,False
GE,True
GILD,True
GLD,False
GM,True
GME,True
GNRC,True
GOLD,True
GOOG,True
GOOGL,True
GPS,True
GS,True
HBAN,True
HD,True
HIMS,True
HOOD,True
HPE,True
HPQ,True
HTZ,True
HUM,True
HUT,True
HYG,False
IBIT,False
IBM,True
IGV,False
IMGN,True
INOD,True
INTC,True
INTU,True
IONQ,True
IOVA,True
IREN,True
IVR,True
IWM,False
IYR,False
JBLU,True
JD,True
JMIA,True
JNJ,True
JNK,False
JPM,True
KHC,True
KMX,True
KO,True
KR,True
KRE,False
KTOS,True
KWEB,False
LABU,False
LAZR,True
LCID,True
LEN,True
LI,True
LLY,True
LMND,True
LMT,True
LOW,True
LQD,False
LRCX,True
LTBR,True
LULU,True
LUMN,True
LUNR,True
LUV,True
LVS,True
LYFT,True
M,True
MA,True
MARA,True
MCD,True
MDB,True
MELI,True
META,True
MGM,True
MMM,True
MO,True
MOS,True
MPC,True
MPW,True
MRK,True
MRNA,True
MRO,True
MRVL,True
MS,True
MSFT,True
MSOS,False
MSTR,True
MU,True
NBIS,True
NCLH,True
NDX,False
NEE,True
NEM,True
NET,True
NFLX,True
NIO,True
NKE,True
NKLA,True
NNE,True
NOK,True
NOW,True
NU,True
NVAX,True
NVDA,True
NVO,True
NYCB,True
OIH,False
OKLO,True
OKTA,True
ON,True
ONON,True
OPEN,True
ORCL,True
OXY,True
OZK,True
PACW,True
PANW,True
PARA,True
PATH,True
PBR,True
PDD,True
PENN,True
PEP,True
PFE,True
PG,True
PINS,True
PLTR,True
PLUG,True
PTON,True
PYPL,True
QBTS,True
QCOM,True
QQQ,False
QS,True
QUBT,True
RBLX,True
RCL,True
RDDT,True
RDW,True
RF,True
RGTI,True
RH,True
RIG,True
RILY,True
RIOT,True
RIVN,True
RKLB,True
RKT,True
ROKU,True
RTX,True
RUN,True
RUT,False
S,True
SAVE,True
SBUX,True
SCHW,True
SE,True
SEDG,True
SERV,True
SHOP,True
SKHY,False
SLB,True
SLV,False
SMCI,True
SMH,False
SMR,True
SNAP,True
SNDK,True
SNDL,True
SNOW,True
SOFI,True
SOUN,True
SOXL,False
SOXS,False
SOXX,False
SOYB,False
SPCE,True
SPCX,False
SPOT,True
SPWR,True
SPX,False
SPXL,False
SPXS,False
SPXU,False
SPY,False
SQ,True
SQQQ,False
STX,True
SVXY,False
T,True
TAL,True
TDOC,True
TEM,True
TEVA,True
TFC,True
TGT,True
TLRY,True
TLT,False
TNA,False
TOST,True
TQQQ,False
TSLA,True
TSLL,False
TSM,True
TTD,True
TWLO,True
TXN,True
TZA,False
U,True
UAL,True
UBER,True
ULTA,True
UNG,False
UNH,True
UPRO,False
UPS,True
UPST,True
URA,False
USO,False
UVXY,False
V,True
VALE,True
VFC,True
VIX,False
VKTX,True
VLO,True
VOD,True
VRT,True
VST,True
VXX,False
VZ,True
W,True
WAL,True
WBA,True
WBD,True
WDAY,True
WDC,True
WEAT,False
WFC,True
WMT,True
WULF,True
WYNN,True
X,True
XBI,False
XHB,False
XLB,False
XLC,False
XLE,False
XLF,False
XLI,False
XLK,False
XLP,False
XLRE,False
XLU,False
XLV,False
XLY,False
XME,False
XOM,True
XOP,False
XPEV,True
XRT,False
XSP,False
XYZ,True
Z,True
ZIM,True
ZION,True
ZM,True
ZS,True
