ticker,tradeDate,expiry,short_strike,long_strike,horizon,entry_time,deadline,expiry_shortened,elapsed_calendar_days,paired,fully_closed,entry_bid,initial_nearer_ask,threshold,expected_post_entry_minutes,missing_nearer_rows,invalid_nearer_quotes,leg2_time,leg2_ask,construction_cash_after_reserved_fees,short_cover_ask,short_only_pnl,status,long_exit_bid,pnl_net,pnl_extra_1c_slippage,actions,conversion_vs_short_only,observed_entry_bid,observed_nearer_ask
COIN,2026-08-20,2026-08-28,220.0,215.0,4,2026-08-21T10:01:00-04:00,2026-08-26T15:50:00-04:00,False,5,True,True,2.02,2.87,1.92,1492.0,0.0,3.0,2026-08-21T10:41:00-04:00,1.8900000000000001,10.39999999999999,0.06,194.7,completed_closed,0.07,11.39999999999999,7.39999999999999,4.0,-183.3,,
COIN,2026-08-20,2026-08-28,220.0,215.0,5,2026-08-21T10:01:00-04:00,2026-08-27T15:50:00-04:00,False,6,True,True,2.02,2.87,1.92,1873.0,0.0,4.0,2026-08-21T10:41:00-04:00,1.8900000000000001,10.39999999999999,0.12,188.7,completed_closed,0.08,6.3999999999999915,2.3999999999999915,4.0,-182.3,,
COIN,2026-08-21,2026-08-28,235.0,230.0,4,2026-08-24T10:01:00-04:00,2026-08-27T15:50:00-04:00,False,3,True,False,0.21,0.43,0.10999999999999999,1492.0,0.0,3.0,2026-08-25T09:31:00-04:00,0.07,11.399999999999999,0.02,17.7,completed_zero_bid_long_mark,0.0,9.399999999999999,5.399999999999999,4.0,-8.3,,
COIN,2026-08-21,2026-08-28,235.0,230.0,5,2026-08-24T10:01:00-04:00,2026-08-28T15:50:00-04:00,False,4,True,False,0.21,0.43,0.10999999999999999,1873.0,0.0,4.0,2026-08-25T09:31:00-04:00,0.07,11.399999999999999,0.01,18.7,completed_zero_bid_long_mark,0.0,10.399999999999999,6.399999999999999,4.0,-8.3,,
STX,2026-08-24,2026-08-28,925.0,920.0,4,2026-08-25T10:01:00-04:00,2026-08-28T15:50:00-04:00,False,3,True,False,2.1,2.7,2.0,1492.0,0.0,3.0,2026-08-25T12:06:00-04:00,2.0,7.400000000000009,0.05,203.70000000000002,completed_zero_bid_long_mark,0.0,2.400000000000009,-1.5999999999999912,4.0,-201.3,,
STX,2026-08-24,2026-08-28,925.0,920.0,5,2026-08-25T10:01:00-04:00,2026-08-28T15:50:00-04:00,True,3,True,False,2.1,2.7,2.0,1492.0,0.0,3.0,2026-08-25T12:06:00-04:00,2.0,7.400000000000009,0.05,203.70000000000002,completed_zero_bid_long_mark,0.0,2.400000000000009,-1.5999999999999912,4.0,-201.3,,
NVDA,2026-08-26,2026-08-31,242.5,240.0,4,2026-08-27T10:01:00-04:00,2026-08-31T15:50:00-04:00,True,4,False,False,,,,,,,,,,,,entry_not_admitted,,,,,,0.15,0.25
NVDA,2026-08-26,2026-08-31,242.5,240.0,5,2026-08-27T10:01:00-04:00,2026-08-31T15:50:00-04:00,True,4,False,False,,,,,,,,,,,,entry_not_admitted,,,,,,0.15,0.25
BE,2026-08-28,2026-09-04,275.0,272.5,4,2026-08-31T10:01:00-04:00,2026-09-03T15:50:00-04:00,False,3,False,False,,,,,,,,,,,,entry_not_admitted,,,,,,0.05,0.58
BE,2026-08-28,2026-09-04,275.0,272.5,5,2026-08-31T10:01:00-04:00,2026-09-04T15:50:00-04:00,False,4,False,False,,,,,,,,,,,,entry_not_admitted,,,,,,0.05,0.58
MSTR,2026-08-20,2026-08-28,150.0,145.0,4,2026-08-21T10:01:00-04:00,2026-08-26T15:50:00-04:00,False,5,True,True,0.75,1.09,0.65,1492.0,0.0,3.0,2026-08-21T14:50:00-04:00,0.64,8.399999999999999,0.08,65.7,completed_closed,0.1,10.4,6.4,4.0,-55.300000000000004,,
MSTR,2026-08-20,2026-08-28,150.0,145.0,5,2026-08-21T10:01:00-04:00,2026-08-27T15:50:00-04:00,False,6,True,True,0.75,1.09,0.65,1873.0,0.0,4.0,2026-08-21T14:50:00-04:00,0.64,8.399999999999999,0.31,42.7,completed_closed,0.59,36.39999999999999,32.39999999999999,4.0,-6.300000000000011,,
