ticker,tradeDate,nextErn,wksNextErn,signal_earnings_gate,estimated_days_to_earnings,entry_earnings_gate,policy_admitted
SMCI,2026-08-11,0000-00-00,13,unknown,91,unknown,False
AAPL,2026-08-12,0000-00-00,11,unknown,77,unknown,False
GOOG,2026-08-12,0000-00-00,11,unknown,77,unknown,False
HOOD,2026-08-12,0000-00-00,12,unknown,84,unknown,False
META,2026-08-12,0000-00-00,11,unknown,77,unknown,False
TSLA,2026-08-12,0000-00-00,10,unknown,70,unknown,False
W,2026-08-12,0000-00-00,10,unknown,70,unknown,False
AAPL,2026-08-13,0000-00-00,11,unknown,77,unknown,False
CSCO,2026-08-13,0000-00-00,13,unknown,91,unknown,False
JNJ,2026-08-13,0000-00-00,8,unknown,56,unknown,False
NOW,2026-08-13,0000-00-00,10,unknown,70,unknown,False
SMCI,2026-08-13,0000-00-00,11,unknown,77,unknown,False
TSLA,2026-08-13,0000-00-00,9,unknown,63,unknown,False
AAPL,2026-08-14,0000-00-00,10,unknown,70,unknown,False
CSCO,2026-08-14,0000-00-00,12,unknown,84,unknown,False
DELL,2026-08-14,0000-00-00,2,unknown,14,unknown,False
FCX,2026-08-14,0000-00-00,9,unknown,63,unknown,False
MCD,2026-08-14,0000-00-00,11,unknown,77,unknown,False
AMAT,2026-08-17,0000-00-00,12,unknown,84,unknown,False
CSCO,2026-08-17,0000-00-00,12,unknown,84,unknown,False
DELL,2026-08-17,0000-00-00,2,unknown,14,unknown,False
GOOG,2026-08-17,0000-00-00,10,unknown,70,unknown,False
LRCX,2026-08-17,0000-00-00,9,unknown,63,unknown,False
MCD,2026-08-17,0000-00-00,11,unknown,77,unknown,False
AVGO,2026-08-18,0000-00-00,2,unknown,14,unknown,False
BX,2026-08-18,0000-00-00,9,unknown,63,unknown,False
TSLA,2026-08-18,0000-00-00,9,unknown,63,unknown,False
AVGO,2026-08-19,0000-00-00,2,unknown,14,unknown,False
COIN,2026-08-19,0000-00-00,10,unknown,70,unknown,False
META,2026-08-19,0000-00-00,10,unknown,70,unknown,False
MSTR,2026-08-19,0000-00-00,10,unknown,70,unknown,False
TSLA,2026-08-19,0000-00-00,9,unknown,63,unknown,False
AVGO,2026-08-20,0000-00-00,1,unknown,7,unknown,False
COIN,2026-08-20,0000-00-00,10,unknown,70,unknown,False
CSCO,2026-08-20,0000-00-00,12,unknown,84,unknown,False
MRNA,2026-08-20,0000-00-00,11,unknown,77,unknown,False
MSTR,2026-08-20,0000-00-00,10,unknown,70,unknown,False
WMT,2026-08-20,0000-00-00,13,unknown,91,unknown,False
AVGO,2026-08-21,0000-00-00,1,unknown,7,unknown,False
BABA,2026-08-21,0000-00-00,13,unknown,91,unknown,False
COIN,2026-08-21,0000-00-00,9,unknown,63,unknown,False
HOOD,2026-08-21,0000-00-00,10,unknown,70,unknown,False
MRNA,2026-08-21,0000-00-00,10,unknown,70,unknown,False
MSTR,2026-08-21,0000-00-00,9,unknown,63,unknown,False
TEM,2026-08-21,0000-00-00,10,unknown,70,unknown,False
TSLA,2026-08-21,0000-00-00,8,unknown,56,unknown,False
JNJ,2026-08-24,0000-00-00,7,unknown,49,unknown,False
MRNA,2026-08-24,0000-00-00,10,unknown,70,unknown,False
MSTR,2026-08-24,0000-00-00,9,unknown,63,unknown,False
STX,2026-08-24,0000-00-00,9,unknown,63,unknown,False
APP,2026-08-26,0000-00-00,10,unknown,70,unknown,False
AVGO,2026-08-26,0000-00-00,1,unknown,7,unknown,False
NVDA,2026-08-26,0000-00-00,13,unknown,91,unknown,False
CVNA,2026-08-27,0000-00-00,8,unknown,56,unknown,False
HOOD,2026-08-27,0000-00-00,9,unknown,63,unknown,False
MSTR,2026-08-27,0000-00-00,9,unknown,63,unknown,False
BE,2026-08-28,0000-00-00,8,unknown,56,unknown,False
NBIS,2026-08-28,0000-00-00,10,unknown,70,unknown,False
NVDA,2026-08-28,0000-00-00,11,unknown,77,unknown,False
AMAT,2026-08-31,0000-00-00,10,unknown,70,unknown,False
MCD,2026-08-31,0000-00-00,9,unknown,63,unknown,False
MSTR,2026-08-31,0000-00-00,8,unknown,56,unknown,False
GOOG,2026-09-01,0000-00-00,8,unknown,56,unknown,False
AVGO,2026-09-02,0000-00-00,13,unknown,91,unknown,False
GOOG,2026-09-02,0000-00-00,8,unknown,56,unknown,False
GOOGL,2026-09-02,0000-00-00,8,unknown,56,unknown,False
ON,2026-09-02,0000-00-00,8,unknown,56,unknown,False
TSLA,2026-09-02,0000-00-00,7,unknown,49,unknown,False
AVGO,2026-09-03,0000-00-00,13,unknown,91,unknown,False
CRDO,2026-09-03,0000-00-00,12,unknown,84,unknown,False
MSTR,2026-09-03,0000-00-00,8,unknown,56,unknown,False
VST,2026-09-03,0000-00-00,9,unknown,63,unknown,False
W,2026-09-03,0000-00-00,7,unknown,49,unknown,False
