rule,era,treated,common_support,matched_cells,treated_joint_pct,weighted_control_joint_pct,descriptive_difference_points
high_positive_wing,all,28949,0,0,,,
high_positive_wing,2024–2025,21122,0,0,,,
high_positive_wing,2026,7827,0,0,,,
high_age1_2,all,17762,16561,304,23.08435480949218,25.97116075626985,-2.886805946777671
high_age1_2,2024–2025,12364,11640,221,23.213058419243985,25.309270276920643,-2.0962118576766557
high_age1_2,2026,5398,4921,83,22.779922779922778,27.5367785533893,-4.756855773466519
high_age3_5,all,5828,5793,377,27.723114103228035,24.75026589818971,2.9728482050383214
high_age3_5,2024–2025,4343,4313,265,27.498261071180153,25.118842107628147,2.3794189635520087
high_age3_5,2026,1485,1480,112,28.37837837837838,23.676165093251907,4.702213285126475
high_age6plus,all,5360,5320,320,28.06390977443609,26.499828340293625,1.56408143414247
high_age6plus,2024–2025,4415,4378,237,28.2549109182275,26.754811350537654,1.5000995676898472
high_age6plus,2026,945,942,83,27.176220806794056,25.31477991264141,1.8614408941526421
high_age_unknown,all,4,4,4,0.0,15.255490323983475,-15.255490323983475
high_age_unknown,2024–2025,4,4,4,0.0,15.255490323983475,-15.255490323983475
high_age_unknown,2026,0,0,0,,,
high_expanding,all,9897,9702,374,23.809523809523807,25.407201606824415,-1.5976777973006038
high_expanding,2024–2025,7211,7071,263,24.09843020789139,25.726025813451965,-1.627595605560575
high_expanding,2026,2686,2631,111,23.033067274800455,24.55033883028948,-1.5172715554890264
high_rollover,all,2167,2155,306,28.306264501160094,25.55505181813187,2.751212683028227
high_rollover,2024–2025,1693,1682,225,28.12128418549346,25.665021391530058,2.4562627939634045
high_rollover,2026,474,473,81,28.964059196617338,25.163997225202152,3.8000619714151846
high_mature_rollover,all,2166,2154,306,28.319405756731662,25.56121446904354,2.7581912876881223
high_mature_rollover,2024–2025,1692,1681,225,28.13801308744795,25.672983509101233,2.4650295783467175
high_mature_rollover,2026,474,473,81,28.964059196617338,25.163997225202152,3.8000619714151846
high_premia_coverage,all,28953,0,0,,,
high_premia_coverage,2024–2025,21125,0,0,,,
high_premia_coverage,2026,7828,0,0,,,
high_both_premia,all,13330,11813,303,23.57572166257513,25.38088906471474,-1.8051674021396111
high_both_premia,2024–2025,9454,8351,211,23.410370015566997,26.401531737179262,-2.9911617216122632
high_both_premia,2026,3876,3462,92,23.974581166955517,22.918905541389723,1.0556756255657966
high_exhaustion,all,5442,5391,358,27.991096271563716,24.804030440156115,3.187065831407601
high_exhaustion,2024–2025,3891,3854,249,29.501816294758694,24.88921301992698,4.612603274831714
high_exhaustion,2026,1551,1537,109,24.20299284320104,24.59043664546717,-0.3874438022661309
high_mature_rollover_premia_exhaustion,all,133,133,98,31.57894736842105,25.341822297454346,6.237125070966701
high_mature_rollover_premia_exhaustion,2024–2025,103,103,73,34.95145631067961,24.885382554538,10.066073756141606
high_mature_rollover_premia_exhaustion,2026,30,30,25,20.0,26.908932081467125,-6.908932081467125
high_exhaustion_accelerating_iv,all,4262,4222,352,29.133112269066793,25.11091354732095,4.022198721745839
high_exhaustion_accelerating_iv,2024–2025,3094,3066,246,30.691454664057403,25.24420500912103,5.4472496549363765
high_exhaustion_accelerating_iv,2026,1168,1156,106,25.0,24.757391383065738,0.24260861693425942
high_low_modeled_event,all,24136,0,0,,,
high_low_modeled_event,2024–2025,17748,0,0,,,
high_low_modeled_event,2026,6388,0,0,,,
