date,start,bombs,credit,anchor,unpaired,net,rng,k20,mark
2024-01-03,09:35,1,0.5,5.1,True,-11.6,22.2,4580.0,0.85
2024-01-03,10:30,1,0.5,1.7,True,-11.6,22.2,4575.0,0.8
2024-01-04,09:35,1,0.5,2.7,True,-9.1,30.2,4565.0,0.8
2024-01-04,10:30,1,0.5,5.5,True,-9.1,30.2,4575.0,0.85
2024-01-05,09:35,2,1.0,0.3,True,-3.9,35.4,4565.0,0.8
2024-01-05,10:30,0,0.0,7.8,True,-3.9,35.4,4585.0,0.95
2024-01-10,09:35,1,0.5,-4.3,False,6.5,31.4,4645.0,0.7
2024-01-10,10:30,1,0.5,-4.7,False,6.5,31.4,4640.0,0.7
2024-01-17,09:35,3,1.5,-4.2,False,5.4,27.8,4575.0,0.7
2024-01-17,10:30,1,0.5,-1.1,True,5.4,27.8,4585.0,0.8
2024-01-24,09:35,0,0.0,10.3,True,-19.5,32.7,4775.0,0.95
2024-01-24,10:30,0,0.0,10.5,True,-19.5,32.7,4775.0,0.95
2024-01-25,09:35,0,0.0,1.6,True,-3.7,25.4,4765.0,0.75
2024-01-25,10:30,0,0.0,3.6,True,-3.7,25.4,4770.0,0.8
2024-01-26,09:35,1,0.5,1.2,True,-6.9,23.1,4770.0,0.7
2024-01-26,10:30,0,0.0,2.3,True,-6.9,23.1,4770.0,0.7
2024-01-30,09:35,2,1.0,-2.9,False,1.6,12.7,4795.0,0.9
2024-01-30,10:30,2,1.0,-4.1,False,1.6,12.7,4795.0,0.9
2024-02-02,09:35,1,0.5,-25.1,False,53.2,61.8,4775.0,0.4
2024-02-02,10:30,1,0.5,-19.5,False,53.2,61.8,4790.0,0.5
2024-02-07,09:35,1,0.5,-9.3,False,17.6,27.7,4850.0,0.65
2024-02-07,10:30,0,0.0,-1.4,True,17.6,27.7,4870.0,0.7
2024-02-08,09:35,0,0.0,-3.8,True,0.7,11.6,4865.0,0.75
2024-02-08,10:30,0,0.0,-2.8,True,0.7,11.6,4865.0,0.75
2024-02-09,09:35,1,0.5,-8.8,False,16.8,24.9,4880.0,0.65
2024-02-09,10:30,1,0.5,-6.2,False,16.8,24.9,4885.0,0.7
2024-02-14,09:35,2,1.0,-9.5,False,16.1,35.5,4835.0,0.6
2024-02-14,10:30,0,0.0,-3.9,True,16.1,35.5,4850.0,0.7
2024-02-21,09:35,3,1.5,-7.5,False,9.8,23.0,4800.0,0.6
2024-02-21,10:30,2,1.0,-5.6,False,9.8,23.0,4805.0,0.65
2024-02-27,09:35,1,0.5,-5.5,False,6.5,17.8,4935.0,0.6
2024-02-27,10:30,0,0.0,-4.3,True,6.5,17.8,4940.0,0.65
2024-02-28,09:35,1,0.5,-4.2,True,5.5,15.1,4925.0,0.65
2024-03-06,09:35,1,0.5,2.3,True,-3.6,31.9,4970.0,0.8
2024-03-06,10:30,1,0.5,-4.0,True,-3.6,31.9,4955.0,0.7
2024-03-13,09:35,0,0.0,-0.7,True,-3.7,20.6,5035.0,0.8
2024-03-13,10:30,1,0.5,-1.8,True,-3.7,20.6,5030.0,0.8
2024-03-20,09:35,1,0.5,-20.7,False,37.2,51.5,5030.0,0.5
2024-03-20,10:30,1,0.5,-16.8,False,37.2,51.5,5040.0,0.5
2024-03-21,09:35,0,0.0,1.5,True,-5.5,17.6,5120.0,0.8
2024-03-21,10:30,0,0.0,4.8,True,-5.5,17.6,5125.0,0.85
2024-03-27,09:35,1,0.5,-6.2,False,7.8,29.1,5100.0,0.7
2024-03-27,10:30,1,0.5,-13.6,False,7.8,29.1,5085.0,0.55
2024-04-03,09:35,1,0.5,-10.8,False,13.2,26.2,5040.0,0.65
2024-04-03,10:30,2,1.0,1.2,True,13.2,26.2,5070.0,0.8
2024-04-10,09:35,5,2.5,-8.4,False,13.0,38.1,4975.0,0.7
2024-04-10,10:30,1,0.5,-1.7,True,13.0,38.1,4990.0,0.7
2024-04-17,09:35,0,0.0,19.5,True,-40.1,65.7,4875.0,0.95
2024-04-17,10:30,0,0.0,13.8,True,-40.1,65.7,4865.0,0.9
2024-04-24,09:35,0,0.0,1.5,True,-6.3,37.6,4910.0,0.9
2024-04-24,10:30,0,0.0,1.2,True,-6.3,37.6,4910.0,0.9
