tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,lower_otm_pct,selection_distance
2026-08-20,ASX,buy-first puke,,,57.73809523809524,36.51,-8.127830900855571,-8.42738901429646,-6.170491634756248,15.890985679511347,70.78346028291621,48.7,60.3579,2.5199,83.73015873015873,-0.1600999999999999,12.698412698412698,5.437599999999989,5.437599999999989,59.523809523809526,0.0,18.253968253968253,50.79365079365079,69.44444444444444,7518.65,148886,306254070.88,67.7593,13.66853,0000-00-00,10,False,Semiconductors,Technology,XLK,1838,569,True,,2026-09-18,30.0,BTO,47.5,0.08524280622889686,0.2,0.3,979.0,16.0,STO,50.0,0.1,0.2,3241.0,26.0,2.5,0.19999999999999998,,,False,30.101342098055326,2.6013420980553263
2026-08-17,GRPN,buy-first puke,,,54.54365079365079,20.33,-12.370689655172418,-27.65124555160143,-12.523020257826866,14.37173845315054,69.00647948164146,29.91,72.54119999999999,-0.3659000000000105,61.904761904761905,1.772199999999998,32.93650793650794,14.491400000000011,14.491400000000011,51.19047619047619,0.0,37.301587301587304,38.095238095238095,47.61904761904762,8509.25,163293,33322732.74,89.7516,6.87042,0000-00-00,11,False,Internet Content & Media,C. Cyclical,XLY,1852,556,True,,2026-09-18,33.0,BTO,26.0,0.173230709306305,0.35,0.45,220.0,2.0,STO,31.0,0.1,0.2,334.0,0.0,5.0,0.35,,,False,27.889818002951316,0.38981800295131563
2026-08-20,BB,buy-first puke,,,54.32539682539683,8.18,-9.513274336283184,-9.513274336283184,-13.787652030943695,31.892935400196,85.47334058759522,27.86,57.6067,-4.567299999999996,62.698412698412696,5.322600000000001,38.888888888888886,19.138200000000005,14.663300000000008,36.507936507936506,-11.08189999999999,9.126984126984128,87.6984126984127,18.253968253968253,26684.85,673775,101535763.68,64.5542,6.33011,0000-00-00,5,False,Infrastructure Software,Technology,XLK,1838,569,True,,2026-09-18,30.0,BTO,10.0,0.16734965655575876,0.12,0.13,17932.0,577.0,STO,13.0,0.03,0.05,19167.0,0.0,3.0,0.1,,,False,22.249388753056245,5.250611246943755
2026-08-20,RDW,buy-first puke,,,47.65873015873016,11.71,-11.888638073739644,-14.52554744525546,2.8022614741721297,-20.708470353383657,8.596300326441785,21.24,86.8813,-4.116099999999989,88.88888888888889,4.013300000000001,24.603174603174605,12.449300000000008,7.045099999999991,9.126984126984128,-2.7014000000000067,32.93650793650794,45.63492063492063,22.22222222222222,27631.75,393317,217397308.4,82.3322,11.72334,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,1838,569,True,,2026-09-18,30.0,BTO,15.0,0.20404810893554473,0.25,0.35,1646.0,532.0,STO,20.0,0.05,0.1,826.0,13.0,5.0,0.3,,,False,28.095644748078552,0.595644748078552
2026-08-19,RDW,buy-first puke,,,47.480158730158735,12.41,-8.210059171597628,-9.416058394160576,8.183973777808774,-12.550440245051009,15.313351498637603,22.53,88.0035,-4.775199999999998,84.92063492063492,3.7483999999999895,20.238095238095237,12.655500000000004,19.169200000000004,46.42857142857143,5.100999999999999,54.76190476190476,67.85714285714286,20.634920634920636,27475.45,391752,230488884.56,86.1466,10.60295,0000-00-00,11,False,Aerospace & Defense Manufacturing,Industrials,XLI,1835,570,True,,2026-09-18,31.0,BTO,16.0,0.21492575329613428,0.3,0.35,4116.0,90.0,STO,21.0,0.05,0.15,112.0,3.0,5.0,0.3,,,False,28.928283642224017,1.4282836422240166
2026-08-21,SOUN,buy-first puke,,,47.261904761904766,7.37,-0.9408602150537626,-8.674101610904582,9.842613568618065,-10.919141010105992,17.92656587473002,4.26,67.06060000000001,-2.846199999999996,80.55555555555556,3.739899999999992,15.873015873015872,13.025199999999984,11.822400000000002,4.365079365079365,-3.496099999999984,37.301587301587304,37.698412698412696,3.5714285714285716,68158.15,730422,243922454.56,67.7511,5.16283,0000-00-00,10,False,Application Software,Technology,XLK,1852,597,True,,2026-10-16,57.0,BTO,9.0,0.286660806191396,0.32,0.36,5149.0,241.0,STO,14.0,0.05,0.07,4398.0,43.0,5.0,0.31,,,False,22.116689280868385,5.3833107191316145
2026-08-17,JD,buy-first puke,,,47.023809523809526,28.52,-14.636336426219687,-14.636336426219687,-2.2986536946319025,-13.511630760378424,15.550755939524835,13.19,30.128,0.0733999999999959,78.17460317460318,0.946200000000001,15.873015873015872,5.448299999999996,6.724500000000003,34.92063492063492,2.3122000000000043,75.0,26.58730158730159,14.682539682539682,32860.5,1010453,266731191.22,76.315,2.77635,0000-00-00,12,False,E-commerce & Internet Retail,C. Cyclical,XLY,1852,556,True,,2026-10-16,61.0,BTO,36.0,0.07334115418584831,0.12,0.14,371.0,1.0,STO,41.0,0.03,0.05,289.0,4.0,5.0,0.11000000000000001,,,False,26.22720897615709,1.2727910238429097
2026-08-14,BTDR,buy-first puke,,,46.25,9.04,-16.37372802960223,-27.15551974214344,-33.66403475300126,-39.0044041013044,1.7808958445763627,31.41,94.0773,0.0971999999999866,71.82539682539682,1.9701000000000164,18.650793650793652,15.602700000000011,10.736900000000006,23.41269841269841,-7.275999999999996,23.80952380952381,27.77777777777778,11.507936507936508,41289.9,477228,107524409.76,76.4454,16.58224,0000-00-00,12,False,Application Software,Technology,XLK,1853,549,True,,2026-09-18,36.0,BTO,11.0,0.3228217168761222,0.45,0.5,461.0,231.0,STO,16.0,0.05,0.15,674.0,281.0,5.0,0.45,,,False,21.68141592920354,5.818584070796462
2026-08-18,NVTS,buy-first puke,,,46.09126984126984,13.14,-2.954209748892156,-9.938313913639474,-15.272816372851194,-34.823515904850915,2.670299727520436,16.13,92.0822,-1.2727999999999895,69.44444444444444,1.5429999999999922,17.063492063492063,12.329799999999992,19.15679999999999,36.507936507936506,5.5020000000000095,59.523809523809526,78.17460317460318,15.873015873015872,45112.0,555113,217872162.18,93.8198,9.94824,0000-00-00,10,False,Semiconductors,Technology,XLK,1835,552,True,,2026-09-18,32.0,BTO,17.0,0.22033947750158334,0.38,0.41,2705.0,998.0,STO,22.0,0.09,0.11,1835.0,144.0,5.0,0.31999999999999995,,,False,29.375951293759517,1.8759512937595169
2026-08-20,NVTS,buy-first puke,,,45.81349206349206,12.96,-5.608157319737794,-11.172035640849886,-14.089119280894105,-43.21148122795416,1.3057671381936888,14.6,90.0918,-1.2111000000000018,70.63492063492063,2.8065,25.0,14.805199999999983,13.73169999999999,23.80952380952381,1.5889999999999986,51.58730158730159,11.11111111111111,17.46031746031746,43174.05,577310,194114371.75,92.7845,10.78873,0000-00-00,10,False,Semiconductors,Technology,XLK,1838,569,True,,2026-09-18,30.0,BTO,17.0,0.18700158326214414,0.29,0.33,3354.0,511.0,STO,22.0,0.01,0.12,1950.0,1.0,5.0,0.32,,,False,31.17283950617282,3.6728395061728207
