scenario,ticker,signal_date,tradeDate,stockPrice,leg1_bid,leg1_ask,leg2_bid,leg2_ask,spread_bid,paired_close_proxy,mark_value_per_share,mark_pnl_dollars,spread_multiple
buy-first puke,ASX,2026-08-20,2026-08-21,36.42,0.15,0.25,0.1,0.2,0.0,False,-0.1999999999999999,-19.99999999999999,0.0
buy-first puke,GRPN,2026-08-17,2026-08-18,20.2,0.3,0.45,0.0,0.5,0.0,False,-0.35,-35.0,0.0
buy-first puke,GRPN,2026-08-17,2026-08-19,20.67,0.35,0.45,0.0,0.15,0.19999999999999998,False,-0.15,-15.0,0.5714285714285714
buy-first puke,GRPN,2026-08-17,2026-08-20,19.7,0.2,0.4,0.0,0.5,0.0,False,-0.35,-35.0,0.0
buy-first puke,GRPN,2026-08-17,2026-08-21,19.75,0.2,0.25,0.0,0.5,0.0,False,-0.35,-35.0,0.0
buy-first puke,BB,2026-08-20,2026-08-21,8.07,0.09,0.1,0.01,0.03,0.06,False,-0.04000000000000001,-4.000000000000001,0.6
buy-first puke,RDW,2026-08-20,2026-08-21,12.13,0.35,0.4,0.05,0.1,0.24999999999999997,False,-0.05000000000000002,-5.000000000000002,0.8333333333333333
buy-first puke,JD,2026-08-17,2026-08-18,28.74,0.11,0.16,0.0,0.12,0.0,False,-0.11,-11.0,0.0
buy-first puke,JD,2026-08-17,2026-08-19,29.29,0.13,0.22,0.0,0.12,0.010000000000000009,False,-0.09999999999999999,-10.0,0.090909090909091
buy-first puke,JD,2026-08-17,2026-08-20,29.38,0.14,0.22,0.0,0.14,0.0,False,-0.11,-11.0,0.0
buy-first puke,JD,2026-08-17,2026-08-21,29.38,0.13,0.24,0.0,0.14,0.0,False,-0.11,-11.0,0.0
buy-first puke,BTDR,2026-08-14,2026-08-17,9.34,0.5,0.55,0.05,0.1,0.4,False,-0.04999999999999999,-4.999999999999999,0.888888888888889
buy-first puke,BTDR,2026-08-14,2026-08-18,8.89,0.25,0.4,0.05,0.1,0.15,False,-0.30000000000000004,-30.000000000000004,0.3333333333333333
buy-first puke,BTDR,2026-08-14,2026-08-19,9.75,0.55,0.7,0.05,0.2,0.35000000000000003,False,-0.09999999999999998,-9.999999999999998,0.7777777777777778
buy-first puke,BTDR,2026-08-14,2026-08-20,10.54,1.0,1.15,0.15,0.25,0.75,False,0.3,30.0,1.6666666666666665
buy-first puke,BTDR,2026-08-14,2026-08-21,11.3,1.35,1.5,0.2,0.35,1.0,False,0.55,55.00000000000001,2.2222222222222223
buy-first puke,NVTS,2026-08-18,2026-08-19,12.77,0.3,0.35,0.07,0.09,0.21,False,-0.1099999999999999,-10.999999999999991,0.6562500000000002
buy-first puke,NVTS,2026-08-18,2026-08-20,12.96,0.29,0.33,0.01,0.12,0.16999999999999998,False,-0.1499999999999999,-14.999999999999991,0.5312500000000001
