ticker,signal_date,entry_date,holding_deadline,expiry,right,leg_role,strike,selection_status,requested_root_unverified,observed_historical_option_root,signal_chain_tuple_present,exact_historical_series_verified,exact_deliverable_verified,reference_status,source_ids,local_action_count,requires_dated_security_master
AAL,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,16.5,selected,AAL,,True,False,False,not_individually_researched_exact_master_missing,,0,True
AAL,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,16.0,selected,AAL,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ASML,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,2260.0,selected,ASML,,True,False,False,foreign_listing_identity_only,ASML_identity,0,True
ASML,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,2250.0,selected,ASML,,True,False,False,foreign_listing_identity_only,ASML_identity,0,True
ASTS,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,160.0,selected,ASTS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ASTS,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,155.0,selected,ASTS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
CPNG,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,20.0,selected,CPNG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
CPNG,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,19.5,selected,CPNG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
CRSP,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,62.0,selected,CRSP,,True,False,False,foreign_listing_identity_only,CRSP_identity,0,True
CRSP,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,61.0,selected,CRSP,,True,False,False,foreign_listing_identity_only,CRSP_identity,0,True
DKNG,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,34.0,selected,DKNG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DKNG,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,33.0,selected,DKNG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DVN,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,50.0,selected,DVN,,True,False,False,adjusted_root_distinction_pending,DVN_58920,0,True
DVN,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,49.5,selected,DVN,,True,False,False,adjusted_root_distinction_pending,DVN_58920,0,True
GILD,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,135.0,selected,GILD,,True,False,False,local_older_split_only,,2,True
GILD,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,134.0,selected,GILD,,True,False,False,local_older_split_only,,2,True
HPQ,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,28.0,selected,HPQ,,True,False,False,adjusted_root_distinction_pending,HPQ_37659,1,True
HPQ,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,27.5,selected,HPQ,,True,False,False,adjusted_root_distinction_pending,HPQ_37659,1,True
MO,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,76.0,selected,MO,,True,False,False,not_individually_researched_exact_master_missing,,0,True
MO,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,75.0,selected,MO,,True,False,False,not_individually_researched_exact_master_missing,,0,True
NET,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,270.0,selected,NET,,True,False,False,not_individually_researched_exact_master_missing,,0,True
NET,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,267.5,selected,NET,,True,False,False,not_individually_researched_exact_master_missing,,0,True
PLTR,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,152.5,selected,PLTR,,True,False,False,not_individually_researched_exact_master_missing,,0,True
PLTR,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,150.0,selected,PLTR,,True,False,False,not_individually_researched_exact_master_missing,,0,True
RBLX,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,50.0,selected,RBLX,,True,False,False,not_individually_researched_exact_master_missing,,0,True
RBLX,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,49.0,selected,RBLX,,True,False,False,not_individually_researched_exact_master_missing,,0,True
RF,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,31.0,selected,RF,,True,False,False,not_individually_researched_exact_master_missing,,0,True
RF,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,30.0,selected,RF,,True,False,False,not_individually_researched_exact_master_missing,,0,True
SPOT,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,552.5,selected,SPOT,,True,False,False,foreign_listing_identity_only,SPOT_identity,0,True
SPOT,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,550.0,selected,SPOT,,True,False,False,foreign_listing_identity_only,SPOT_identity,0,True
T,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,25.0,selected,T,,True,False,False,adjusted_root_distinction_pending,T_50308,0,True
T,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,24.5,selected,T,,True,False,False,adjusted_root_distinction_pending,T_50308,0,True
TWLO,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,252.5,selected,TWLO,,True,False,False,not_individually_researched_exact_master_missing,,0,True
TWLO,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,250.0,selected,TWLO,,True,False,False,not_individually_researched_exact_master_missing,,0,True
VST,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,172.5,selected,VST,,True,False,False,corporate_action_ratio_unreconciled,VST_issuer,1,True
VST,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,170.0,selected,VST,,True,False,False,corporate_action_ratio_unreconciled,VST_issuer,1,True
ZIM,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,far,29.5,selected,ZIM,,True,False,False,root_terms_documented_exact_series_pending,ZIM_55590;ZIM_58710,0,True
ZIM,2026-06-11,2026-06-12,2026-06-18,2026-06-18,C,near,29.16,selected,ZIM,,True,False,False,root_terms_documented_exact_series_pending,ZIM_55590;ZIM_58710,0,True
BKNG,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,195.0,selected,BKNG,,True,False,False,root_terms_documented_exact_series_pending,BKNG_58460,1,True
BKNG,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,190.0,selected,BKNG,,True,False,False,root_terms_documented_exact_series_pending,BKNG_58460,1,True
CAT,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,1040.0,selected,CAT,,True,False,False,not_individually_researched_exact_master_missing,,0,True
