ticker,signal_date,policy,timestamp,bid,ask,delta,stock,pass_basic
AAL,2026-06-11,clock,2026-06-12 10:01:00,0.0,0.06,0.0658,14.68,False
AAL,2026-06-11,hiro,2026-06-12 11:46:00-04:00,0.02,0.06,0.08460000000000001,14.89,False
ASML,2026-06-11,clock,2026-06-12 10:01:00,0.5,4.7,0.035300000000000005,1863.8500000000001,False
ASML,2026-06-11,hiro,2026-06-12 10:31:00-04:00,0.5,4.0,0.0315,1858.52,False
ASTS,2026-06-11,clock,2026-06-12 10:01:00,0.21,0.51,0.037000000000000005,87.31,False
CPNG,2026-06-11,clock,2026-06-12 10:01:00,0.0,0.1,0.06280000000000001,16.63,False
CPNG,2026-06-11,hiro,2026-06-12 10:51:00-04:00,0.0,0.06,0.043300000000000005,16.55,False
CRSP,2026-06-11,clock,2026-06-12 10:01:00,0.0,0.25,0.051000000000000004,50.94,False
CRSP,2026-06-11,hiro,2026-06-12 10:51:00-04:00,0.05,0.3,0.0634,50.53,False
DKNG,2026-06-11,clock,2026-06-12 10:01:00,0.02,0.1,0.054200000000000005,29.17,False
DKNG,2026-06-11,hiro,2026-06-12 10:41:00-04:00,0.02,0.09,0.0448,28.68,False
DVN,2026-06-11,clock,2026-06-12 10:01:00,0.05,0.1,0.0599,45.300000000000004,False
DVN,2026-06-11,hiro,2026-06-12 11:21:00-04:00,0.05,0.11,0.0632,45.11,False
GILD,2026-06-11,clock,2026-06-12 10:01:00,0.0,0.26,0.052700000000000004,124.78,False
GILD,2026-06-11,hiro,2026-06-12 13:41:00-04:00,0.0,0.14,0.0357,125.4,False
HPQ,2026-06-11,clock,2026-06-12 10:01:00,0.01,0.05,0.0414,24.6,False
HPQ,2026-06-11,hiro,2026-06-12 11:51:00-04:00,0.03,0.05,0.056400000000000006,25.07,False
MO,2026-06-11,clock,2026-06-12 10:01:00,0.02,0.07,0.0427,71.76,False
MO,2026-06-11,hiro,2026-06-12 11:21:00-04:00,0.02,0.06,0.041600000000000005,71.75,False
NET,2026-06-11,clock,2026-06-12 10:01:00,0.1,0.81,0.0495,228.1,False
PLTR,2026-06-11,clock,2026-06-12 10:01:00,0.1,0.12,0.0267,128.44,False
PLTR,2026-06-11,hiro,2026-06-12 11:46:00-04:00,0.08,0.09,0.021,128.65,False
RBLX,2026-06-11,clock,2026-06-12 10:01:00,0.09,0.12,0.057100000000000005,42.34,False
RF,2026-06-11,clock,2026-06-12 10:01:00,0.0,0.25,0.1456,29.150000000000002,False
SPOT,2026-06-11,clock,2026-06-12 10:01:00,0.0,1.5,0.0453,474.22,False
SPOT,2026-06-11,hiro,2026-06-12 12:51:00-04:00,0.0,1.5,0.0509,488.0,False
T,2026-06-11,clock,2026-06-12 10:01:00,0.01,0.02,0.028,23.18,False
T,2026-06-11,hiro,2026-06-12 11:21:00-04:00,0.02,0.03,0.053700000000000005,23.42,False
TWLO,2026-06-11,clock,2026-06-12 10:01:00,0.0,2.25,0.0855,203.72,False
TWLO,2026-06-11,hiro,2026-06-12 11:41:00-04:00,0.0,2.25,0.08560000000000001,203.84,False
VST,2026-06-11,clock,2026-06-12 10:01:00,0.09,0.47000000000000003,0.0517,148.46,False
ZIM,2026-06-11,clock,2026-06-12 10:01:00,0.0,3.4,0.3815,25.95,False
BKNG,2026-06-12,clock,2026-06-15 10:01:00,0.0,7.2,0.258,175.99,False
BKNG,2026-06-12,hiro,2026-06-15 10:16:00-04:00,0.15,0.8,0.08,174.4,False
CAT,2026-06-12,clock,2026-06-15 10:01:00,0.01,5.45,0.08610000000000001,933.59,False
CAT,2026-06-12,hiro,2026-06-15 10:01:00-04:00,0.01,5.45,0.08610000000000001,933.59,False
DDOG,2026-06-12,clock,2026-06-15 10:01:00,0.01,1.44,0.058800000000000005,230.45000000000002,False
DDOG,2026-06-12,hiro,2026-06-15 12:56:00-04:00,0.01,1.28,0.058300000000000005,237.0,False
DIS,2026-06-12,clock,2026-06-15 10:01:00,0.04,0.33,0.0829,101.86,False
ETSY,2026-06-12,clock,2026-06-15 10:01:00,0.12,0.62,0.10400000000000001,71.9,False
ETSY,2026-06-12,hiro,2026-06-15 12:36:00-04:00,0.12,0.5,0.0949,72.32000000000001,False
F,2026-06-12,clock,2026-06-15 10:01:00,0.03,0.04,0.0568,15.25,False
FTNT,2026-06-12,clock,2026-06-15 10:01:00,0.01,0.62,0.057800000000000004,147.38,False
FTNT,2026-06-12,hiro,2026-06-15 11:21:00-04:00,0.01,0.6,0.0577,148.07,False
HD,2026-06-12,clock,2026-06-15 10:01:00,0.0,0.79,0.040400000000000005,333.04,False
HD,2026-06-12,hiro,2026-06-15 12:41:00-04:00,0.06,0.26,0.0213,334.1,False
LUV,2026-06-12,clock,2026-06-15 10:01:00,0.0,1.19,0.185,46.57,False
LUV,2026-06-12,hiro,2026-06-15 11:56:00-04:00,0.0,1.43,0.20090000000000002,46.35,False
MRK,2026-06-12,clock,2026-06-15 10:01:00,0.02,0.75,0.0876,115.4,False
PG,2026-06-12,clock,2026-06-15 10:01:00,0.16,0.21,0.0668,150.06,False
RDW,2026-06-12,clock,2026-06-15 10:01:00,0.0,0.5,0.1149,15.780000000000001,False
RDW,2026-06-12,hiro,2026-06-15 10:06:00-04:00,0.0,0.5,0.11370000000000001,15.48,False
S,2026-06-12,clock,2026-06-15 10:01:00,0.0,0.3,0.1427,15.27,False
S,2026-06-12,hiro,2026-06-15 11:06:00-04:00,0.0,0.15,0.0915,15.41,False
ULTA,2026-06-12,clock,2026-06-15 10:01:00,0.0,2.05,0.07250000000000001,471.01,False
WDAY,2026-06-12,clock,2026-06-15 10:01:00,0.25,0.45,0.057,132.88,False
WDAY,2026-06-12,hiro,2026-06-15 12:11:00-04:00,0.25,0.45,0.0575,133.3,False
ANF,2026-06-15,clock,2026-06-16 10:01:00,0.0,0.75,0.07970000000000001,92.81,False
ANF,2026-06-15,hiro,2026-06-16 10:26:00-04:00,0.0,0.75,0.07880000000000001,92.47,False
LVS,2026-06-15,clock,2026-06-16 10:01:00,0.0,0.75,0.1564,49.71,False
LVS,2026-06-15,hiro,2026-06-16 10:06:00-04:00,0.0,0.75,0.1553,49.63,False
MRVL,2026-06-15,clock,2026-06-16 10:01:00,0.11,2.0,0.0407,311.78000000000003,False
MRVL,2026-06-15,hiro,2026-06-16 14:16:00-04:00,0.65,1.1400000000000001,0.034300000000000004,292.15000000000003,False
ORCL,2026-06-15,clock,2026-06-16 10:01:00,0.35000000000000003,0.48,0.0477,193.89000000000001,False
