variant,ticker,signal_date,entry_policy,holding_sessions,entry_date,entry_at,exit_at,expiry,far_strike,near_strike,entry_far_delta,entry_far_otm_pct,entry_far_bid,entry_far_ask,immediate_spread_pnl_net,immediate_spread_completion_status,immediate_spread_conversion_at,immediate_spread_exit_status,immediate_spread_cover_at_conversion_pnl,immediate_spread_incremental_vs_conversion_cover,deferred_d0_pnl_net,deferred_d0_completion_status,deferred_d0_conversion_at,deferred_d0_exit_status,deferred_d0_cover_at_conversion_pnl,deferred_d0_incremental_vs_conversion_cover,deferred_d1_pnl_net,deferred_d1_completion_status,deferred_d1_conversion_at,deferred_d1_exit_status,deferred_d1_cover_at_conversion_pnl,deferred_d1_incremental_vs_conversion_cover,deferred_d2_pnl_net,deferred_d2_completion_status,deferred_d2_conversion_at,deferred_d2_exit_status,deferred_d2_cover_at_conversion_pnl,deferred_d2_incremental_vs_conversion_cover,short_only_pnl_net,short_only_completion_status,short_only_conversion_at,short_only_exit_status,short_only_cover_at_conversion_pnl,short_only_incremental_vs_conversion_cover
delta10_otm5,CRM,2026-06-16,clock,4,2026-06-17,2026-06-17 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-26,180.0,177.5,0.0791,11.891589482190579,0.4,0.47000000000000003,-33.599999999999994,completed,2026-06-17 10:01:00-04:00,quoted_spread_close,-10.300000000000002,-23.29999999999999,-2.5999999999999925,completed,2026-06-17 14:05:00-04:00,quoted_spread_close,11.700000000000003,-14.299999999999995,18.400000000000006,completed,2026-06-18 09:47:00-04:00,quoted_spread_close,19.700000000000003,-1.2999999999999972,25.400000000000006,completed,2026-06-22 09:52:00-04:00,quoted_spread_close,31.7,-6.299999999999994,32.70000000000001,short_only,,quoted_short_close,,
delta10_otm5,CRM,2026-06-16,clock,5,2026-06-17,2026-06-17 10:01:00-04:00,2026-06-24 15:50:00-04:00,2026-06-26,180.0,177.5,0.0791,11.891589482190579,0.4,0.47000000000000003,-33.6,completed,2026-06-17 10:01:00-04:00,zero_bid_long_mark,-10.300000000000002,-23.299999999999997,-2.6000000000000005,completed,2026-06-17 14:05:00-04:00,zero_bid_long_mark,11.700000000000003,-14.300000000000004,18.4,completed,2026-06-18 09:47:00-04:00,zero_bid_long_mark,19.700000000000003,-1.3000000000000043,25.4,completed,2026-06-22 09:52:00-04:00,zero_bid_long_mark,31.7,-6.300000000000001,33.7,short_only,,quoted_short_close,,
delta10_otm5,DIS,2026-06-12,clock,4,2026-06-15,2026-06-15 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-26,107.0,106.0,0.1394,5.046141763204393,0.27,0.35000000000000003,-16.599999999999994,completed,2026-06-15 10:01:00-04:00,quoted_spread_close,-11.300000000000002,-5.299999999999992,-25.299999999999997,known_no_purchase,,quoted_short_close,-25.299999999999997,0.0,-25.299999999999997,known_no_purchase,,quoted_short_close,-25.299999999999997,0.0,-25.299999999999997,known_no_purchase,,quoted_short_close,-25.299999999999997,0.0,-25.299999999999997,short_only,,quoted_short_close,,
delta10_otm5,DIS,2026-06-12,clock,5,2026-06-15,2026-06-15 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-26,107.0,106.0,0.1394,5.046141763204393,0.27,0.35000000000000003,-24.599999999999994,completed,2026-06-15 10:01:00-04:00,quoted_spread_close,-11.300000000000002,-13.299999999999992,10.700000000000003,known_no_purchase,,quoted_short_close,10.700000000000003,0.0,10.700000000000003,known_no_purchase,,quoted_short_close,10.700000000000003,0.0,10.700000000000003,known_no_purchase,,quoted_short_close,10.700000000000003,0.0,10.700000000000003,short_only,,quoted_short_close,,
delta10_otm5,MRVL,2026-06-15,clock,4,2026-06-16,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-26,425.0,420.0,0.0873,36.31406761177751,2.24,2.64,-93.60000000000002,completed,2026-06-16 10:01:00-04:00,quoted_spread_close,-43.29999999999999,-50.30000000000003,-17.599999999999945,completed,2026-06-16 10:35:00-04:00,quoted_spread_close,22.700000000000024,-40.29999999999997,46.40000000000003,completed,2026-06-17 09:44:00-04:00,quoted_spread_close,72.70000000000003,-26.300000000000004,10.400000000000029,completed,2026-06-18 09:34:00-04:00,quoted_spread_close,58.70000000000001,-48.29999999999998,168.70000000000002,short_only,,quoted_short_close,,
delta10_otm5,MRVL,2026-06-15,clock,5,2026-06-16,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-26,425.0,420.0,0.0873,36.31406761177751,2.24,2.64,-73.59999999999997,completed,2026-06-16 10:01:00-04:00,quoted_spread_close,-43.29999999999999,-30.299999999999976,2.4000000000000288,completed,2026-06-16 10:35:00-04:00,quoted_spread_close,22.700000000000024,-20.299999999999997,66.40000000000003,completed,2026-06-17 09:44:00-04:00,quoted_spread_close,72.70000000000003,-6.299999999999997,30.400000000000027,completed,2026-06-18 09:34:00-04:00,quoted_spread_close,58.70000000000001,-28.299999999999983,216.70000000000002,short_only,,quoted_short_close,,
delta10_otm5,MRVL,2026-06-15,hiro,4,2026-06-16,2026-06-16 14:16:00-04:00,2026-06-22 15:50:00-04:00,2026-06-26,425.0,420.0,0.054700000000000006,45.47321581379427,1.25,1.49,-73.6,completed,2026-06-16 14:16:00-04:00,quoted_spread_close,-27.3,-46.3,69.7,known_no_purchase,,quoted_short_close,69.7,0.0,-24.599999999999987,completed,2026-06-17 10:10:00-04:00,quoted_spread_close,0.7000000000000035,-25.29999999999999,69.7,known_no_purchase,,quoted_short_close,69.7,0.0,69.7,short_only,,quoted_short_close,,
delta10_otm5,MRVL,2026-06-15,hiro,5,2026-06-16,2026-06-16 14:16:00-04:00,2026-06-23 15:50:00-04:00,2026-06-26,425.0,420.0,0.054700000000000006,45.47321581379427,1.25,1.49,-53.6,completed,2026-06-16 14:16:00-04:00,quoted_spread_close,-27.3,-26.3,117.7,known_no_purchase,,quoted_short_close,117.7,0.0,-4.6,completed,2026-06-17 10:10:00-04:00,quoted_spread_close,0.7000000000000035,-5.300000000000003,117.7,known_no_purchase,,quoted_short_close,117.7,0.0,117.7,short_only,,quoted_short_close,,
delta10_otm5,ORCL,2026-06-15,clock,4,2026-06-16,2026-06-16 10:01:00-04:00,2026-06-22 15:50:00-04:00,2026-06-26,222.5,220.0,0.0998,14.755789365103912,0.84,0.96,-42.59999999999999,completed,2026-06-16 10:01:00-04:00,quoted_spread_close,-15.299999999999999,-27.29999999999999,-6.6,completed,2026-06-16 10:19:00-04:00,quoted_spread_close,7.699999999999998,-14.299999999999997,26.39999999999999,completed,2026-06-17 09:32:00-04:00,quoted_spread_close,21.7,4.699999999999992,55.4,completed,2026-06-18 09:44:00-04:00,quoted_spread_close,-13.30000000000001,68.7,72.7,short_only,,quoted_short_close,,
delta10_otm5,ORCL,2026-06-15,clock,5,2026-06-16,2026-06-16 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-26,222.5,220.0,0.0998,14.755789365103912,0.84,0.96,,completed,2026-06-16 10:01:00-04:00,missing_long_exit,-15.299999999999999,,,completed,2026-06-16 10:19:00-04:00,missing_long_exit,7.699999999999998,,,completed,2026-06-17 09:32:00-04:00,missing_long_exit,21.7,,,completed,2026-06-18 09:44:00-04:00,missing_long_exit,-13.30000000000001,,72.7,short_only,,quoted_short_close,,
delta10_otm5,PLTR,2026-06-11,clock,4,2026-06-12,2026-06-12 10:01:00-04:00,2026-06-17 15:50:00-04:00,2026-06-18,146.0,145.0,0.055400000000000005,13.6717533478667,0.22,0.24,-12.600000000000003,completed,2026-06-12 10:01:00-04:00,quoted_spread_close,-5.3,-7.300000000000003,-3.5999999999999996,completed,2026-06-12 11:55:00-04:00,quoted_spread_close,2.6999999999999993,-6.299999999999999,-3.5999999999999996,completed,2026-06-15 09:40:00-04:00,quoted_spread_close,3.7,-7.3,-1.5999999999999996,completed,2026-06-16 09:32:00-04:00,quoted_spread_close,5.699999999999999,-7.299999999999999,14.7,short_only,,quoted_short_close,,
delta10_otm5,PLTR,2026-06-11,clock,5,2026-06-12,2026-06-12 10:01:00-04:00,2026-06-18 15:50:00-04:00,2026-06-18,146.0,145.0,0.055400000000000005,13.6717533478667,0.22,0.24,-12.600000000000001,completed,2026-06-12 10:01:00-04:00,zero_bid_long_mark,-5.3,-7.300000000000002,-3.6000000000000005,completed,2026-06-12 11:55:00-04:00,zero_bid_long_mark,2.6999999999999993,-6.3,-3.6000000000000005,completed,2026-06-15 09:40:00-04:00,zero_bid_long_mark,3.7,-7.300000000000001,-1.6000000000000005,completed,2026-06-16 09:32:00-04:00,zero_bid_long_mark,5.699999999999999,-7.3,17.7,short_only,,quoted_short_close,,
delta10_otm5,QCOM,2026-06-15,hiro,4,2026-06-16,2026-06-16 11:11:00-04:00,2026-06-22 15:50:00-04:00,2026-06-26,280.0,275.0,0.1183,25.746620559572442,1.92,2.39,-85.6,completed,2026-06-16 11:11:00-04:00,quoted_spread_close,-50.30000000000002,-35.299999999999976,-20.299999999999994,known_no_purchase,,quoted_short_close,-20.299999999999994,0.0,9.399999999999993,completed,2026-06-17 09:50:00-04:00,quoted_spread_close,-11.300000000000008,20.700000000000003,-20.299999999999994,known_no_purchase,,quoted_short_close,-20.299999999999994,0.0,-20.299999999999994,short_only,,quoted_short_close,,
delta10_otm5,QCOM,2026-06-15,hiro,5,2026-06-16,2026-06-16 11:11:00-04:00,2026-06-23 15:50:00-04:00,2026-06-26,280.0,275.0,0.1183,25.746620559572442,1.92,2.39,-124.6,completed,2026-06-16 11:11:00-04:00,quoted_spread_close,-50.30000000000002,-74.29999999999998,136.7,known_no_purchase,,quoted_short_close,136.7,0.0,-29.6,completed,2026-06-17 09:50:00-04:00,quoted_spread_close,-11.300000000000008,-18.299999999999994,136.7,known_no_purchase,,quoted_short_close,136.7,0.0,136.7,short_only,,quoted_short_close,,
