ticker,tradeDate,expiry,status,spot,risk_free_rate,dividend_yield,residual_yield,calendar_time_years,carry_forward,parity_forward_median,parity_points,parity_deviation_spot_fraction
PLTR,2025-12-09,2025-12-12,model_carry_parity_consistent,181.74,0.0382,0.0,-0.02936787,0.00821917808219178,181.84095776818177,181.82966813019408,3.0,6.211972041205693e-05
PLTR,2025-12-09,2025-12-19,model_carry_parity_consistent,181.74,0.0382,0.0,-0.0098506,0.0273972602739726,181.97941004603177,181.9583592687163,5.0,0.00011582908174028952
PLTR,2025-12-09,2025-12-26,model_carry_parity_consistent,181.74,0.0382,0.0,-0.00154127,0.04657534246575343,182.0767055816215,182.07723052749031,5.0,2.88844430955403e-06
PLTR,2025-12-09,2026-01-02,model_carry_parity_consistent,181.74,0.0382,0.0,-0.00507279,0.06575342465753424,182.25784740112883,182.20478345175133,3.0,0.0002919772718031402
PLTR,2025-12-09,2026-01-09,model_carry_parity_consistent,181.74,0.0373,0.0,-0.00736101,0.08493150684931507,182.43067195364426,182.39933346106795,4.0,0.00017243585658803935
PLTR,2025-12-09,2026-01-16,missing_parity_support,181.74,0.0373,0.0,-0.01483942,0.10410958904109589,182.72920591922593,,,
PLTR,2025-12-09,2026-01-23,missing_parity_support,181.74,0.0373,0.0,-0.00837628,0.1232876712328767,182.76632356224863,,,
PLTR,2025-12-09,2026-02-20,missing_parity_support,181.74,0.0373,0.0,-0.01213467,0.2,183.54576340732987,,,
PLTR,2025-12-09,2026-03-20,missing_parity_support,181.74,0.0369,0.0,-0.00981053,0.27671232876712326,184.10430533238178,,,
PLTR,2025-12-09,2026-04-17,missing_parity_support,181.74,0.0369,0.0,-0.0082248,0.35342465753424657,184.6616647006033,,,
PLTR,2025-12-09,2026-05-15,missing_parity_support,181.74,0.0369,0.0,-0.00936273,0.4301369863013699,185.39272363695736,,,
PLTR,2025-12-09,2026-06-18,missing_parity_support,181.74,0.0361,0.0,-0.009263,0.5232876712328767,186.10573741170322,,,
PLTR,2025-12-09,2026-08-21,missing_parity_support,181.74,0.0361,0.0,-0.009071,0.6986301369863014,187.5667751578625,,,
PLTR,2025-12-09,2026-09-18,missing_parity_support,181.74,0.0361,0.0,-0.00874394,0.7753424657534247,188.17013091449584,,,
PLTR,2025-12-09,2026-11-20,missing_parity_support,181.74,0.0361,0.0,-0.00856459,0.947945205479452,189.6000167590263,,,
PLTR,2025-12-09,2026-12-18,missing_parity_support,181.74,0.0357,0.0,-0.00769386,1.0246575342465754,190.0032048892231,,,
PLTR,2025-12-09,2027-01-15,missing_parity_support,181.74,0.0357,0.0,-0.00738072,1.1013698630136985,190.57101379924046,,,
PLTR,2025-12-09,2027-06-17,missing_parity_support,181.74,0.0357,0.0,-0.00675545,1.5205479452054795,193.8593006441412,,,
PLTR,2025-12-09,2027-12-17,missing_parity_support,181.74,0.0359,0.0,-0.0062536,2.021917808219178,197.90917410050588,,,
PLTR,2025-12-09,2028-01-21,missing_parity_support,181.74,0.0359,0.0,-0.00614298,2.117808219178082,198.6642199969759,,,
DIS,2025-12-10,2025-12-12,model_carry_parity_consistent,109.28,0.0381,0.0,-0.0590849,0.005479452054794521,109.33820928302812,109.34404853539826,2.0,5.343386136655527e-05
DIS,2025-12-10,2025-12-19,model_carry_parity_consistent,109.28,0.0381,0.27884877,-0.02369253,0.024657534246575342,108.69668796407693,108.7115760476098,3.0,0.00013623795326561913
DIS,2025-12-10,2025-12-26,model_carry_parity_consistent,109.28,0.0381,0.15692652,-0.00563856,0.043835616438356165,108.73913226964785,108.78418654031388,3.0,0.0004122828574856207
DIS,2025-12-10,2026-01-02,model_carry_parity_consistent,109.28,0.0381,0.10918645,-0.01241828,0.06301369863013699,108.87674879328287,108.89768971629948,4.0,0.00019162630871715056
DIS,2025-12-10,2026-01-09,model_carry_parity_consistent,109.28,0.0373,0.08371879,-0.02752697,0.0821917808219178,109.11044689656704,109.12654143763785,5.0,0.00014727801126293704
DIS,2025-12-10,2026-01-16,missing_parity_support,109.28,0.0373,0.06788426,-0.01296026,0.10136986301369863,109.08494093187812,,,
DIS,2025-12-10,2026-01-23,missing_parity_support,109.28,0.0373,0.05708688,-0.01029076,0.12054794520547946,109.1549746325879,,,
DIS,2025-12-10,2026-02-20,missing_parity_support,109.28,0.0373,0.03488942,-0.01165568,0.19726027397260273,109.58364184372432,,,
DIS,2025-12-10,2026-03-20,missing_parity_support,109.28,0.037,0.02513191,-0.00671125,0.273972602739726,109.8376785011857,,,
DIS,2025-12-10,2026-04-17,missing_parity_support,109.28,0.037,0.01963293,-0.00739301,0.3506849315068493,110.23300830661238,,,
DIS,2025-12-10,2026-05-15,missing_parity_support,109.28,0.037,0.01610835,-0.01081152,0.4273972602739726,110.770804668729,,,
DIS,2025-12-10,2026-06-18,missing_parity_support,109.28,0.0363,0.01322545,-0.01080127,0.5205479452054794,111.22413329630344,,,
DIS,2025-12-10,2026-07-17,missing_parity_support,109.28,0.0363,0.02280241,-0.01025373,0.6,110.84847601808974,,,
DIS,2025-12-10,2026-09-18,missing_parity_support,109.28,0.0363,0.01770768,-0.0123279,0.7726027397260274,111.92202713020657,,,
DIS,2025-12-10,2026-12-18,missing_parity_support,109.28,0.0361,0.01338647,-0.00653491,1.021917808219178,112.59562915726221,,,
DIS,2025-12-10,2027-01-15,missing_parity_support,109.28,0.0361,0.01856913,-0.01134705,1.0986301369863014,112.80261811432236,,,
DIS,2025-12-10,2027-12-17,missing_parity_support,109.28,0.0362,0.0133935,-0.0022577,2.0191780821917806,114.95289998379553,,,
DIS,2025-12-10,2028-01-21,missing_parity_support,109.28,0.0362,0.01589187,-0.00776179,2.115068493150685,115.96439440674531,,,
PLTR,2025-12-10,2025-12-12,model_carry_parity_consistent,188.63,0.0381,0.0,-0.04474512,0.005479452054794521,188.71564724627606,188.72607354271096,2.0,5.527379756613715e-05
PLTR,2025-12-10,2025-12-19,model_carry_parity_consistent,188.63,0.0381,0.0,-0.01291961,0.024657534246575342,188.8674492203513,188.8525623531807,4.0,7.892099438365267e-05
PLTR,2025-12-10,2025-12-26,model_carry_parity_consistent,188.63,0.0381,0.0,-0.01115182,0.043835616438356165,189.03768906995498,188.99066637455294,5.0,0.000249285349106901
PLTR,2025-12-10,2026-01-02,model_carry_parity_consistent,188.63,0.0381,0.0,-0.01364941,0.06301369863013699,189.24611166518034,189.17755317427418,3.0,0.00036345486352200643
PLTR,2025-12-10,2026-01-09,model_carry_parity_consistent,188.63,0.0373,0.0,-0.01353424,0.0821917808219178,189.4197744524378,189.36877229433077,3.0,0.0002703820076712336
PLTR,2025-12-10,2026-01-16,missing_parity_support,188.63,0.0373,0.0,-0.01574402,0.10136986301369863,189.647007586292,,,
PLTR,2025-12-10,2026-01-23,missing_parity_support,188.63,0.0373,0.0,-0.0151993,0.12054794520547946,189.8275649323607,,,
PLTR,2025-12-10,2026-02-20,missing_parity_support,188.63,0.0373,0.0,-0.01266165,0.19726027397260273,190.49822427357532,,,
PLTR,2025-12-10,2026-03-20,missing_parity_support,188.63,0.037,0.0,-0.01040177,0.273972602739726,191.09567343275964,,,
PLTR,2025-12-10,2026-04-17,missing_parity_support,188.63,0.037,0.0,-0.00988465,0.3506849315068493,191.75704202998435,,,
PLTR,2025-12-10,2026-05-15,missing_parity_support,188.63,0.037,0.0,-0.01024769,0.4273972602739726,192.47782602604045,,,
PLTR,2025-12-10,2026-06-18,missing_parity_support,188.63,0.0363,0.0,-0.00960062,0.5205479452054794,193.19130155976902,,,
PLTR,2025-12-10,2026-08-21,missing_parity_support,188.63,0.0363,0.0,-0.00887394,0.6958904109589041,194.6539829636774,,,
PLTR,2025-12-10,2026-09-18,missing_parity_support,188.63,0.0363,0.0,-0.00828839,0.7726027397260274,195.2413599709521,,,
PLTR,2025-12-10,2026-11-20,missing_parity_support,188.63,0.0363,0.0,-0.00836752,0.9452054794520548,196.76446592972206,,,
PLTR,2025-12-10,2026-12-18,missing_parity_support,188.63,0.0361,0.0,-0.00723311,1.021917808219178,197.17078875531476,,,
PLTR,2025-12-10,2027-01-15,missing_parity_support,188.63,0.0361,0.0,-0.00695434,1.0986301369863014,197.766732960675,,,
PLTR,2025-12-10,2027-06-17,missing_parity_support,188.63,0.0361,0.0,-0.00628256,1.5178082191780822,201.1631000949503,,,
