ticker,tradeDate,eligible,wing_rank,wing,episode_id,stockPrice,confidence,confidence_pct,callskew30,callskew30_rank,age,left_censored,intensity,peak_minus_wing,exit_age,rv30,rv60,variance_premium30,variance_premium60,iv10d,iv30d,iv60d,exErnIv10d,exErnIv30d,exErnIv60d,dlt5Iv10d,dlt5Iv30d,earnings_premium10,wing_slope,wing_acceleration,rolling_over,expanding,iv10_slope,iv10_acceleration,price_acceleration,prior_three_return,charlie_exhaustion,both_premia_positive,premia_available,dollar_turnover20,session_index,signal_id,entry_date,holding_deadline,signal_earnings_status,entry_earnings_status,signal_next_actual_earnings,entry_next_actual_earnings,split_status,entry_hiro_source_path,population_eligible_before_nonoverlap,selection_status,selected,blocking_signal_date,failure_reasons,earnings_policy,historical_universe_basis,surface_evaluation_status,hiro_coverage_basis,holding_session_1,hiro_source_path_1,holding_session_2,hiro_source_path_2,holding_session_3,hiro_source_path_3,holding_session_4,hiro_source_path_4,holding_session_5,hiro_source_path_5,expiry,far_strike,signal_delta,signal_spot,signal_bid,signal_ask,signal_calendar_dte,signal_otm_pct,near_strike,signal_near_delta,right,deliverable_status
AAL,2026-06-11,True,92.85714285714286,10.160199999999996,67,14.5,0.645026,64.5026,1.8113999999999963,98.41269841269842,2.0,False,1.3915343915343916,2.4071999999999996,0.0,0.5850293860756263,0.5493566019791852,-0.0836027146830241,0.005330554830883,0.543524,0.508583,0.554187,0.543524,0.508583,0.51296,0.645126,0.612415,0.0,-2.4071999999999996,-10.188899999999991,False,False,-1.8186000000000035,-2.33850000000001,0.1364133982865937,-0.0059435539008479,False,False,True,1215042302.7405,862,AAL:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-07-23,2026-07-23,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/AAL_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/AAL_series.csv,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/AAL_series.csv,2026-06-16,,2026-06-17,,2026-06-18,,2026-06-18,16.5,0.06434154437718091,14.5,0.04,0.08,7.0,13.793103448275868,16.0,0.1205664526253616,C,pending_exact_reference_verification
ASML,2026-06-11,True,97.61904761904762,9.0653,36,1888.05,0.945642,94.5642,0.5031000000000008,88.0952380952381,2.0,False,1.206349206349207,0.0,0.0,0.6085338586694142,0.5429261692286698,0.0091856640779133,0.1130832834556818,0.64684,0.616035,0.638633,0.64684,0.616035,0.615,0.737493,0.628127,0.0,1.7969999999999935,0.4530999999999849,False,True,-2.209300000000003,-7.1685,0.1158652697735619,0.0547791291379539,False,True,True,3019490645.8175,862,ASML:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-07-15,2026-07-15,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASML_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASML_series.csv,2026-06-15,,2026-06-16,,2026-06-17,,2026-06-18,,2026-06-18,2260.0,0.048597599265232626,1888.05,3.2,5.8,7.0,19.700219803500964,2250.0,0.052661288258584654,C,pending_exact_reference_verification
ASTS,2026-06-11,True,96.03174603174604,30.437000000000005,38,97.88,0.881283,88.12830000000001,4.383999999999988,60.31746031746032,3.0,False,2.1269841269841274,0.5579999999999892,0.0,1.2694160670416106,1.1953942977190468,-0.0570315887633907,-0.0060764045192132,1.54053,1.24675,1.19285,1.54053,1.24675,1.14452,1.8449,1.40736,0.0,0.7230000000000096,2.0040000000000084,False,False,11.712999999999996,9.095999999999991,0.1266811325167289,-0.0694508518018032,False,False,True,2696339289.538,862,ASTS:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-10,2026-08-10,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASTS_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASTS_series.csv,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASTS_series.csv,2026-06-16,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASTS_series.csv,2026-06-17,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/ASTS_series.csv,2026-06-18,,2026-06-18,160.0,0.04511797988478599,97.88,0.37,0.56,7.0,63.46546791990193,155.0,0.05517639450401536,C,pending_exact_reference_verification
CPNG,2026-06-11,True,93.25396825396824,8.844700000000005,63,17.15,0.647519,64.75189999999999,-0.4520999999999997,53.17460317460318,4.0,False,2.8095238095238093,3.8977999999999966,0.0,0.706875407416404,0.6638965693011998,-0.162758765361107,-0.0298917566089027,0.629863,0.580443,0.640989,0.629863,0.580443,0.581155,0.71831,0.619218,0.0,-3.120999999999997,-2.344199999999997,True,False,-1.8013000000000057,-1.2209000000000023,0.1827232443242905,-0.0019821612039913,False,False,True,428877932.0405,862,CPNG:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-04,2026-08-04,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/CPNG_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/CPNG_series.csv,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/CPNG_series.csv,2026-06-16,,2026-06-17,/Users/dgrissen/Dev/HIRO_finder/output/hiro_live_monitor/2026-06-17/195110Z/normalized/CPNG_series.csv,2026-06-18,,2026-06-18,20.0,0.0725293290971459,17.15,0.0,0.1,7.0,16.618075801749278,19.5,0.1141259122052182,C,pending_exact_reference_verification
CRSP,2026-06-11,True,87.3015873015873,22.0614,56,50.63,0.714018,71.40180000000001,2.1658000000000066,53.17460317460318,2.0,False,0.3862433862433865,0.1838000000000121,0.0,0.6168471562866253,0.6445451956471281,-0.0678237335938964,-0.0367336571317946,0.598209,0.559175,0.61539,0.598209,0.559175,0.610125,0.818823,0.629167,0.0,-0.1838000000000121,-6.686700000000025,False,False,-3.4850999999999965,-3.273999999999988,0.0562862141910085,-0.047402238894584,False,False,True,90615408.23,862,CRSP:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-03,2026-08-03,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/CRSP_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/CRSP_series.csv,2026-06-15,,2026-06-16,,2026-06-17,,2026-06-18,,2026-06-18,62.0,0.04748844106976301,50.63,0.0,0.3,7.0,22.45704127987358,61.0,0.08467206800767377,C,pending_exact_reference_verification
DKNG,2026-06-11,True,87.3015873015873,7.713500000000007,35,29.81,0.70022,70.02199999999999,-0.1744999999999996,73.41269841269842,2.0,False,0.7037037037037038,2.3612999999999875,0.0,0.6062673390298855,0.5013281810936342,-0.0903989018533781,0.0649908106173483,0.532291,0.526461,0.562424,0.532291,0.526461,0.559039,0.609426,0.534065,0.0,-2.3612999999999875,-10.26849999999999,False,False,-5.654600000000009,-6.506400000000012,-0.0007389948136584,0.1439562070886179,True,False,True,346373882.9905,862,DKNG:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-06,2026-08-06,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/DKNG_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/DKNG_series.csv,2026-06-15,,2026-06-16,,2026-06-17,,2026-06-18,,2026-06-18,34.0,0.057890528283605545,29.81,0.06,0.09,7.0,14.055686011405566,33.0,0.10868084248276852,C,pending_exact_reference_verification
DVN,2026-06-11,True,85.31746031746032,7.789399999999996,63,44.82,0.683052,68.3052,0.0190999999999996,65.47619047619048,1.0,False,0.021164021164021,0.0,0.0,0.4252421681234286,0.4346042649642837,-0.0299778951463142,-0.0268375850091453,0.420895,0.388398,0.402546,0.420895,0.388398,0.392509,0.498789,0.433751,0.0,1.1861999999999924,3.737299999999988,False,False,-1.8127999999999975,-1.3637999999999983,-0.099508529788984,0.0509862197261895,True,False,True,654593562.0979999,862,DVN:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-04,2026-08-04,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/DVN_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/DVN_series.csv,2026-06-15,,2026-06-16,,2026-06-17,/Users/dgrissen/Dev/HIRO_finder/output/hiro_live_monitor_missing_2026-06-17/2026-06-18/071852Z/normalized/DVN_series.csv,2026-06-18,,2026-06-18,50.0,0.05227336855469847,44.82,0.05,0.1,7.0,11.55734047300312,49.5,0.0667708509357655,C,pending_exact_reference_verification
GILD,2026-06-11,True,94.44444444444444,5.1309,59,126.29,0.79821,79.821,-0.0209999999999987,94.84126984126983,4.0,False,2.201058201058201,0.0533000000000001,0.0,0.2762477574016379,0.2450586151432772,-0.0013200963654341,0.0273481021880591,0.281747,0.273848,0.295638,0.281747,0.273848,0.282946,0.333056,0.282258,0.0,1.8536999999999972,3.7606999999999946,False,False,-2.308499999999997,-3.117399999999998,0.0680135629631513,-0.0613018694883977,False,False,True,1034485293.739,862,GILD:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-04,2026-08-04,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/GILD_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/GILD_series.csv,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/GILD_series.csv,2026-06-16,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/GILD_series.csv,2026-06-17,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/GILD_series.csv,2026-06-18,,2026-06-18,135.0,0.04637831301626247,126.29,0.1,0.25,7.0,6.896824768390197,134.0,0.05933877117201204,C,pending_exact_reference_verification
HPQ,2026-06-11,True,88.88888888888889,6.3294000000000015,62,24.73,0.822971,82.2971,2.6990000000000016,96.82539682539682,14.0,False,10.4021164021164,19.5687,0.0,0.7516671522350594,0.6371061225312199,-0.3405293863801639,-0.1645422775707658,0.499824,0.473787,0.491286,0.499824,0.473787,0.491286,0.563118,0.736475,0.0,-3.0395000000000003,-4.891300000000003,False,False,-3.439200000000003,-4.460200000000008,0.0096695325749011,-0.0354124927936084,False,False,True,620504820.25,862,HPQ:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-08-26,2026-08-26,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/HPQ_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/HPQ_series.csv,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/HPQ_series.csv,2026-06-16,,2026-06-17,,2026-06-18,,2026-06-18,28.0,0.05813083260231586,24.73,0.04,0.05,7.0,13.222806308127776,27.5,0.08748222039736926,C,pending_exact_reference_verification
MO,2026-06-11,True,86.9047619047619,3.4946000000000033,88,71.95,0.666734,66.6734,0.7717000000000002,97.22222222222224,1.0,False,0.1269841269841265,0.0,0.0,0.2396024051132812,0.2946444749086293,-0.0118509714000689,-0.0191118469931818,0.22612,0.213444,0.260199,0.22612,0.213444,0.227602,0.261066,0.238617,0.0,1.9770000000000063,-0.13689999999999,False,True,-2.716000000000002,-0.8525000000000005,-0.0453411812907555,0.0128511337001073,True,False,True,560243147.689,862,MO:2026-06-11,2026-06-12,2026-06-18,clear,clear,2026-07-30,2026-07-30,clear,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/MO_series.csv,True,selected,True,,,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/MO_series.csv,2026-06-15,,2026-06-16,,2026-06-17,/Users/dgrissen/Dev/HIRO_finder/output/hiro_live_monitor_missing_2026-06-17/2026-06-18/071852Z/normalized/MO_series.csv,2026-06-18,,2026-06-18,76.0,0.0343368416438848,71.95,0.03,0.11,7.0,5.628908964558721,75.0,0.0708790294794281,C,pending_exact_reference_verification
