ticker,tradeDate,eligible,wing_rank,wing,episode_id,stockPrice,confidence,confidence_pct,callskew30,callskew30_rank,age,left_censored,intensity,peak_minus_wing,exit_age,rv30,rv60,variance_premium30,variance_premium60,iv10d,iv30d,iv60d,exErnIv10d,exErnIv30d,exErnIv60d,dlt5Iv10d,dlt5Iv30d,earnings_premium10,wing_slope,wing_acceleration,rolling_over,expanding,iv10_slope,iv10_acceleration,price_acceleration,prior_three_return,charlie_exhaustion,both_premia_positive,premia_available,dollar_turnover20,session_index,signal_id,entry_date,holding_deadline,signal_earnings_status,entry_earnings_status,signal_next_actual_earnings,entry_next_actual_earnings,split_status,entry_hiro_source_path,population_eligible_before_nonoverlap,selection_status,selected,blocking_signal_date,failure_reasons,earnings_policy,historical_universe_basis,surface_evaluation_status,hiro_coverage_basis,holding_session_1,hiro_source_path_1,holding_session_2,hiro_source_path_2,holding_session_3,hiro_source_path_3,holding_session_4,hiro_source_path_4,holding_session_5,hiro_source_path_5
AAP,2026-08-05,True,63.888888888888886,12.6011,87,59.62,0.906837,90.6837,-0.3886999999999974,13.88888888888889,0.0,False,0.0,,1.0,0.5294452665572346,0.5582864944109133,0.2940652568491388,0.1472872108343733,0.548519,0.757877,0.677474,0.548519,0.55491,0.545682,0.67453,0.773495,0.0,-22.8839,-48.443,False,False,-4.769400000000001,-6.016200000000005,-0.0423628944414287,0.0459131237522578,True,True,True,86164202.0725,899,AAP:2026-08-05,2026-08-06,2026-08-12,event_in_next_30_days,future_earnings_horizon,2026-08-20,2026-08-20,metadata_unsupported,,False,failed_population_filters,False,,rank_below_85;signal_earnings:event_in_next_30_days;entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
AAPL,2026-08-05,True,93.65079365079364,2.7483000000000035,56,310.0,0.979982,97.9982,0.2978000000000036,97.61904761904762,1.0,False,0.5767195767195763,0.0,0.0,0.3560400259262032,0.3706155521109428,-0.0610312318365314,-0.0689391151104989,0.268904,0.256385,0.261566,0.268904,0.256385,0.261566,0.296387,0.273899,0.0,0.5800000000000027,1.263900000000001,False,False,-1.1061000000000043,-0.847900000000007,-0.0142093143637216,-0.074865621444558,False,False,True,18211366385.676502,899,AAPL:2026-08-05,2026-08-06,2026-08-12,clear,future_earnings_horizon,,,metadata_unsupported,,False,failed_population_filters,False,,entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
ABT,2026-08-05,True,99.2063492063492,5.429600000000001,67,105.33,0.858034,85.8034,-0.7299,63.492063492063494,1.0,False,0.9470899470899468,0.0,0.0,0.4211085844729199,0.363902566798666,-0.0973667803927863,-0.0510592271136575,0.279613,0.282782,0.285247,0.279613,0.282782,0.276991,0.333909,0.311666,0.0,3.4571000000000014,3.277900000000005,False,True,-6.326799999999999,-10.7323,0.0179857289588413,-0.0014213296560594,False,False,True,1223238077.6655002,899,ABT:2026-08-05,2026-08-06,2026-08-12,clear,future_earnings_horizon,,,metadata_unsupported,,False,failed_population_filters,False,,entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
ACN,2026-08-05,True,92.06349206349206,7.773399999999997,76,171.14,0.899898,89.9898,-0.2354999999999996,73.01587301587301,1.0,False,0.4708994708994709,0.0,0.0,0.5528854068688276,0.7019513823738085,-0.040168794728509,-0.2134277212005007,0.533258,0.51528,0.528496,0.533258,0.51528,0.493455,0.610992,0.569234,0.0,6.837300000000002,15.533300000000008,False,False,-5.746099999999998,-8.0696,-0.0260249901200302,0.0427968941229269,True,False,True,1184944402.824,899,ACN:2026-08-05,2026-08-06,2026-08-12,clear,future_earnings_horizon,,,metadata_unsupported,,False,failed_population_filters,False,,entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
AFRM,2026-08-05,True,88.0952380952381,3.983899999999996,26,78.56,0.865176,86.51759999999999,0.0163999999999941,94.04761904761904,1.0,False,0.2063492063492068,0.0,0.0,0.4644351030718404,0.5391354068498019,0.3494416291156489,0.1485984115218985,0.60316,0.751759,0.662771,0.60316,0.621588,0.592054,0.642999,0.765019,0.0,3.820099999999993,4.409899999999989,False,False,-0.6766999999999967,0.7295000000000051,-0.0279227960096366,0.0643678581113016,True,True,True,263306920.1195,899,AFRM:2026-08-05,2026-08-06,2026-08-12,event_in_next_30_days,future_earnings_horizon,2026-08-27,2026-08-27,metadata_unsupported,,False,failed_population_filters,False,,signal_earnings:event_in_next_30_days;entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
ALAB,2026-08-05,True,96.42857142857144,12.688999999999997,20,321.3,0.967737,96.7737,2.6109999999999856,93.65079365079364,1.0,False,0.7619047619047621,0.0,0.0,1.267519761699799,1.2197974831030558,-0.4071652101995153,-0.3504196588845498,1.13432,1.09519,1.06653,1.13432,1.09519,1.06653,1.26121,1.16691,0.0,10.744999999999983,8.070999999999962,False,True,-34.06499999999999,-25.59999999999998,-0.2464648428303955,0.187983586787936,True,False,True,1565850716.349,899,ALAB:2026-08-05,2026-08-06,2026-08-12,clear,future_earnings_horizon,,,metadata_unsupported,,False,failed_population_filters,False,,entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
AMAT,2026-08-05,True,97.61904761904762,8.957700000000003,40,539.68,0.963907,96.3907,0.1085000000000002,83.73015873015873,1.0,False,0.8412698412698414,0.0,0.0,0.8452811829360746,0.944760259863918,0.0413352163181905,-0.2429972031741376,0.993193,0.869388,0.805962,0.863127,0.825641,0.783795,1.08277,0.944904,13.006600000000002,8.675699999999999,6.14379999999999,False,True,-4.443700000000006,-7.330700000000001,-0.0762881397666789,0.0856271555594107,True,False,True,4298680660.955999,899,AMAT:2026-08-05,2026-08-06,2026-08-12,event_in_next_30_days,future_earnings_horizon,2026-08-13,2026-08-13,metadata_unsupported,,False,failed_population_filters,False,,signal_earnings:event_in_next_30_days;entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
AMD,2026-08-05,True,94.44444444444444,9.014,30,482.83,0.9822,98.22,1.84939999999999,96.82539682539682,2.0,False,0.8095238095238093,0.0,0.0,0.8414459763294121,0.8273020827879192,-0.2347781427249574,-0.2328501121692289,0.720493,0.687934,0.671996,0.720493,0.687934,0.671996,0.810633,0.761149,0.0,0.932800000000011,-4.3986999999999785,False,True,-27.602499999999996,-30.19619999999999,-0.1407344235958872,0.066141615478035,True,False,True,14992700511.2565,899,AMD:2026-08-05,2026-08-06,2026-08-12,clear,future_earnings_horizon,,,metadata_unsupported,,False,failed_population_filters,False,,entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
AMGN,2026-08-05,True,85.71428571428571,3.5758999999999985,92,404.6,0.902783,90.2783,-0.862400000000002,45.23809523809524,1.0,False,0.0476190476190472,0.0,0.0,0.2976535052468952,0.2914069150829789,0.0049252050392364,0.0027305728668215,0.335474,0.305815,0.296055,0.335474,0.305815,0.296055,0.371233,0.319102,0.0,2.5303999999999993,5.991299999999999,False,False,-11.7556,-8.6389,0.0156700934833929,0.0061049934809944,False,True,True,1006945492.3490002,899,AMGN:2026-08-05,2026-08-06,2026-08-12,clear,future_earnings_horizon,,,metadata_unsupported,,False,failed_population_filters,False,,entry_earnings:future_earnings_horizon;splits:metadata_unsupported;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
ANF,2026-08-05,True,94.04761904761904,16.58930000000001,83,109.69,0.893511,89.3511,-0.3526000000000029,38.095238095238095,1.0,False,0.6031746031746034,0.0,0.0,0.5472827421836939,0.5303532211154176,0.2739318803328964,0.1317990341165008,0.532102,0.757265,0.642708,0.532102,0.540049,0.523368,0.697995,0.855239,0.0,11.788800000000013,49.18730000000001,False,False,-2.8171000000000057,-5.664800000000003,-0.0194308284109769,0.0945300848834567,True,True,True,97622482.7635,899,ANF:2026-08-05,2026-08-06,2026-08-12,event_in_next_30_days,future_earnings_horizon,2026-08-26,2026-08-26,clear,,False,failed_population_filters,False,,signal_earnings:event_in_next_30_days;entry_earnings:future_earnings_horizon;entry_hiro_missing,retrospective_actual_event_exclusion,current_hiro_stock_set_applied_backward,previously_examined_exploratory_history,entry_date_presence_only,2026-08-06,,2026-08-07,,2026-08-10,,2026-08-11,,2026-08-12,
