root,ticker,session_date,path,source_rows_on_date,unique_timestamps,first,last,series_groups,source_path,coverage_status
/Users/dgrissen/Dev/HIRO_finder/output,AA,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/AA_series.csv,14016,4681,2026-06-12 09:30:00-04:00,2026-06-12 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/AA_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/HIRO_finder/output,AA,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/AA_series.csv,14041,4681,2026-06-15 09:30:00-04:00,2026-06-15 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/AA_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay,AA,2026-08-27,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-08-27/normalized/hiro_series.csv,14041,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-08-27/normalized/hiro_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay,AA,2026-08-28,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-08-28/normalized/hiro_series.csv,14043,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-08-28/normalized/hiro_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay,AA,2026-08-31,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-08-31/normalized/hiro_series.csv,14013,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-08-31/normalized/hiro_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay,AA,2026-09-01,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-09-01/normalized/hiro_series.csv,14047,4685,2026-09-01 09:30:00-04:00,2026-09-01 16:31:20-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AA/date=2026-09-01/normalized/hiro_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay,AA,2026-09-04,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=AA/date=2026-09-04/normalized/hiro_series.csv,14042,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=AA/date=2026-09-04/normalized/hiro_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/HIRO_finder/output,AAL,2026-06-12,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/AAL_series.csv,14050,4688,2026-06-12 09:30:00-04:00,2026-06-12 16:58:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/AAL_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/HIRO_finder/output,AAL,2026-06-15,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/AAL_series.csv,14048,4686,2026-06-15 09:30:00-04:00,2026-06-15 16:46:40-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/AAL_series.csv,date_presence_only_requires_rth_and_group_validation
/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay,AAL,2026-08-27,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AAL/date=2026-08-27/normalized/hiro_series.csv,14043,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00,"['all', 'nextExp', 'retail']",/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=AAL/date=2026-08-27/normalized/hiro_series.csv,date_presence_only_requires_rth_and_group_validation
