ticker,tradeDate,entry_date,scheduled_decisions,valid_decisions,trigger_count,first_event_at,first_action_at,earlier_unavailable_decisions,first_trigger_history_complete,hiro_status,unavailable_reasons
AAL,2026-06-11,2026-06-12,55,55,2,2026-06-12 11:45:00-04:00,2026-06-12 11:46:00-04:00,0.0,True,available,
ADBE,2026-06-11,2026-06-12,55,55,3,2026-06-12 11:30:00-04:00,2026-06-12 11:31:00-04:00,0.0,True,available,
ANF,2026-06-15,2026-06-16,55,55,2,2026-06-16 10:25:00-04:00,2026-06-16 10:26:00-04:00,0.0,True,available,
ASML,2026-06-11,2026-06-12,55,55,3,2026-06-12 10:30:00-04:00,2026-06-12 10:31:00-04:00,0.0,True,available,
ASTS,2026-06-11,2026-06-12,55,55,0,,,,False,available,
ASTS,2026-06-12,2026-06-15,55,55,3,2026-06-15 10:50:00-04:00,2026-06-15 10:51:00-04:00,0.0,True,available,
ASTS,2026-06-16,2026-06-17,55,55,3,2026-06-17 10:00:00-04:00,2026-06-17 10:01:00-04:00,0.0,True,available,
BKNG,2026-06-12,2026-06-15,55,55,3,2026-06-15 10:15:00-04:00,2026-06-15 10:16:00-04:00,0.0,True,available,
BKNG,2026-06-16,2026-06-17,55,55,3,2026-06-17 10:45:00-04:00,2026-06-17 10:46:00-04:00,0.0,True,available,
CAT,2026-06-12,2026-06-15,55,55,3,2026-06-15 10:00:00-04:00,2026-06-15 10:01:00-04:00,0.0,True,available,
CPNG,2026-06-11,2026-06-12,55,55,1,2026-06-12 10:50:00-04:00,2026-06-12 10:51:00-04:00,0.0,True,available,
CPNG,2026-06-16,2026-06-17,55,55,2,2026-06-17 11:10:00-04:00,2026-06-17 11:11:00-04:00,0.0,True,available,
CRM,2026-06-16,2026-06-17,55,54,2,2026-06-17 11:00:00-04:00,2026-06-17 11:01:00-04:00,1.0,False,partial,missing_5s_slots
CRSP,2026-06-11,2026-06-12,55,55,2,2026-06-12 10:50:00-04:00,2026-06-12 10:51:00-04:00,0.0,True,available,
DAL,2026-06-11,2026-06-12,55,55,2,2026-06-12 10:25:00-04:00,2026-06-12 10:26:00-04:00,0.0,True,available,
DDOG,2026-06-12,2026-06-15,55,55,1,2026-06-15 12:55:00-04:00,2026-06-15 12:56:00-04:00,0.0,True,available,
DE,2026-06-16,2026-06-17,55,55,0,,,,False,available,
DG,2026-06-16,2026-06-17,55,55,1,2026-06-17 12:30:00-04:00,2026-06-17 12:31:00-04:00,0.0,True,available,
DIS,2026-06-12,2026-06-15,55,54,5,2026-06-15 10:05:00-04:00,2026-06-15 10:06:00-04:00,1.0,False,partial,missing_5s_slots
DKNG,2026-06-11,2026-06-12,55,55,1,2026-06-12 10:40:00-04:00,2026-06-12 10:41:00-04:00,0.0,True,available,
DVN,2026-06-11,2026-06-12,55,55,2,2026-06-12 11:20:00-04:00,2026-06-12 11:21:00-04:00,0.0,True,available,
ETSY,2026-06-12,2026-06-15,55,55,1,2026-06-15 12:35:00-04:00,2026-06-15 12:36:00-04:00,0.0,True,available,
F,2026-06-12,2026-06-15,55,54,0,,,,False,partial,missing_5s_slots
FTNT,2026-06-12,2026-06-15,55,55,2,2026-06-15 11:20:00-04:00,2026-06-15 11:21:00-04:00,0.0,True,available,
GILD,2026-06-11,2026-06-12,55,55,1,2026-06-12 13:40:00-04:00,2026-06-12 13:41:00-04:00,0.0,True,available,
GILD,2026-06-12,2026-06-15,55,55,2,2026-06-15 11:15:00-04:00,2026-06-15 11:16:00-04:00,0.0,True,available,
GILD,2026-06-16,2026-06-17,55,55,2,2026-06-17 13:10:00-04:00,2026-06-17 13:11:00-04:00,0.0,True,available,
HD,2026-06-12,2026-06-15,55,55,1,2026-06-15 12:40:00-04:00,2026-06-15 12:41:00-04:00,0.0,True,available,
HD,2026-06-15,2026-06-16,55,55,0,,,,False,available,
HPQ,2026-06-11,2026-06-12,55,55,1,2026-06-12 11:50:00-04:00,2026-06-12 11:51:00-04:00,0.0,True,available,
HPQ,2026-06-12,2026-06-15,55,55,3,2026-06-15 10:00:00-04:00,2026-06-15 10:01:00-04:00,0.0,True,available,
LUV,2026-06-12,2026-06-15,55,55,2,2026-06-15 11:55:00-04:00,2026-06-15 11:56:00-04:00,0.0,True,available,
LVS,2026-06-15,2026-06-16,55,55,2,2026-06-16 10:05:00-04:00,2026-06-16 10:06:00-04:00,0.0,True,available,
LVS,2026-06-16,2026-06-17,55,55,0,,,,False,available,
LVS,2026-06-17,2026-06-18,55,0,0,,,,False,unavailable,missing_5s_slots
MO,2026-06-11,2026-06-12,55,55,1,2026-06-12 11:20:00-04:00,2026-06-12 11:21:00-04:00,0.0,True,available,
MO,2026-06-16,2026-06-17,55,55,1,2026-06-17 10:25:00-04:00,2026-06-17 10:26:00-04:00,0.0,True,available,
MRK,2026-06-12,2026-06-15,55,54,2,2026-06-15 11:25:00-04:00,2026-06-15 11:26:00-04:00,1.0,False,partial,missing_5s_slots
MRVL,2026-06-15,2026-06-16,55,55,2,2026-06-16 14:15:00-04:00,2026-06-16 14:16:00-04:00,0.0,True,available,
MS,2026-06-15,2026-06-16,55,54,0,,,,False,partial,missing_5s_slots
MU,2026-06-16,2026-06-17,55,55,1,2026-06-17 13:45:00-04:00,2026-06-17 13:46:00-04:00,0.0,True,available,
NET,2026-06-11,2026-06-12,55,54,0,,,,False,partial,missing_5s_slots
ON,2026-06-16,2026-06-17,55,55,2,2026-06-17 10:00:00-04:00,2026-06-17 10:01:00-04:00,0.0,True,available,
ORCL,2026-06-15,2026-06-16,55,54,2,2026-06-16 10:15:00-04:00,2026-06-16 10:16:00-04:00,1.0,False,partial,missing_5s_slots
ORCL,2026-06-16,2026-06-17,55,54,3,2026-06-17 12:15:00-04:00,2026-06-17 12:16:00-04:00,1.0,False,partial,missing_5s_slots
PG,2026-06-12,2026-06-15,55,54,0,,,,False,partial,missing_5s_slots
PLTR,2026-06-11,2026-06-12,55,55,2,2026-06-12 11:45:00-04:00,2026-06-12 11:46:00-04:00,0.0,True,available,
PLTR,2026-06-12,2026-06-15,55,55,2,2026-06-15 12:45:00-04:00,2026-06-15 12:46:00-04:00,0.0,True,available,
QCOM,2026-06-15,2026-06-16,55,55,1,2026-06-16 11:10:00-04:00,2026-06-16 11:11:00-04:00,0.0,True,available,
RBLX,2026-06-11,2026-06-12,55,54,1,2026-06-12 11:45:00-04:00,2026-06-12 11:46:00-04:00,1.0,False,partial,missing_5s_slots
RBLX,2026-06-15,2026-06-16,55,54,6,2026-06-16 10:15:00-04:00,2026-06-16 10:16:00-04:00,1.0,False,partial,missing_5s_slots
RBLX,2026-06-16,2026-06-17,55,54,1,2026-06-17 12:50:00-04:00,2026-06-17 12:51:00-04:00,1.0,False,partial,missing_5s_slots
RDW,2026-06-12,2026-06-15,55,55,2,2026-06-15 10:05:00-04:00,2026-06-15 10:06:00-04:00,0.0,True,available,
RF,2026-06-11,2026-06-12,55,55,0,,,,False,available,
ROKU,2026-06-16,2026-06-17,55,55,0,,,,False,available,
S,2026-06-12,2026-06-15,55,55,3,2026-06-15 11:05:00-04:00,2026-06-15 11:06:00-04:00,0.0,True,available,
SE,2026-06-16,2026-06-17,55,55,5,2026-06-17 11:50:00-04:00,2026-06-17 11:51:00-04:00,0.0,True,available,
SERV,2026-06-16,2026-06-17,55,55,2,2026-06-17 10:00:00-04:00,2026-06-17 10:01:00-04:00,0.0,True,available,
SPOT,2026-06-11,2026-06-12,55,55,1,2026-06-12 12:50:00-04:00,2026-06-12 12:51:00-04:00,0.0,True,available,
T,2026-06-11,2026-06-12,55,55,1,2026-06-12 11:20:00-04:00,2026-06-12 11:21:00-04:00,0.0,True,available,
TWLO,2026-06-11,2026-06-12,55,55,4,2026-06-12 11:40:00-04:00,2026-06-12 11:41:00-04:00,0.0,True,available,
TWLO,2026-06-12,2026-06-15,55,55,1,2026-06-15 10:15:00-04:00,2026-06-15 10:16:00-04:00,0.0,True,available,
UAL,2026-06-16,2026-06-17,55,55,2,2026-06-17 14:00:00-04:00,2026-06-17 14:01:00-04:00,0.0,True,available,
ULTA,2026-06-12,2026-06-15,55,55,0,,,,False,available,
ULTA,2026-06-16,2026-06-17,55,55,3,2026-06-17 12:30:00-04:00,2026-06-17 12:31:00-04:00,0.0,True,available,
VRT,2026-06-16,2026-06-17,55,55,2,2026-06-17 11:10:00-04:00,2026-06-17 11:11:00-04:00,0.0,True,available,
VST,2026-06-11,2026-06-12,55,55,0,,,,False,available,
WDAY,2026-06-12,2026-06-15,55,55,3,2026-06-15 12:10:00-04:00,2026-06-15 12:11:00-04:00,0.0,True,available,
WDC,2026-06-16,2026-06-17,55,55,4,2026-06-17 10:00:00-04:00,2026-06-17 10:01:00-04:00,0.0,True,available,
Z,2026-06-17,2026-06-18,55,2,0,,,,False,partial,missing_5s_slots
ZIM,2026-06-11,2026-06-12,55,55,0,,,,False,available,
ZS,2026-06-16,2026-06-17,55,55,1,2026-06-17 13:05:00-04:00,2026-06-17 13:06:00-04:00,0.0,True,available,
