ticker,signal_date,entry_date,holding_day,session_date,archive_source_records,source_path,source_sha256,archive_present,all_trades_rth_rows,rth_unique_timestamps,first_all_trades_rth_et,last_all_trades_rth_et,rth_missing_5s_slots_excluding_open,rth_duplicate_timestamps,module_valid_30m_windows,module_scheduled_windows,module_first_valid_decision_et,module_last_valid_decision_et,module_unavailable_reasons,coverage_status,valid_15m_windows,expected_15m_windows_after_rth_warmup,first_valid_15m_cutoff_et,last_valid_15m_cutoff_et,valid_30m_windows,expected_30m_windows_after_rth_warmup,first_valid_30m_cutoff_et,last_valid_30m_cutoff_et,manifest_path,captured_at_utc,capture_time_basis,receipt_time_verified
PLTR,2026-06-11,2026-06-12,D0,2026-06-12,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/PLTR_series.csv,534477859e475b82e2f13071a6a252e852e9040a0d99d2ebf03b2b2e18d02df4,True,4681,4681,2026-06-12 09:30:00-04:00,2026-06-12 16:00:00-04:00,0,0,55,55,2026-06-12 10:00:00-04:00,2026-06-12 14:30:00-04:00,,complete_after_rth_warmup,345,345,2026-06-12 09:45:00-04:00,2026-06-12 15:29:00-04:00,330,330,2026-06-12 10:00:00-04:00,2026-06-12 15:29:00-04:00,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/manifest.json,2026-06-18T10:56:17.161374+00:00,capture_summary,False
PLTR,2026-06-11,2026-06-12,D1,2026-06-15,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/PLTR_series.csv,534477859e475b82e2f13071a6a252e852e9040a0d99d2ebf03b2b2e18d02df4,True,4681,4681,2026-06-15 09:30:00-04:00,2026-06-15 16:00:00-04:00,0,0,55,55,2026-06-15 10:00:00-04:00,2026-06-15 14:30:00-04:00,,complete_after_rth_warmup,345,345,2026-06-15 09:45:00-04:00,2026-06-15 15:29:00-04:00,330,330,2026-06-15 10:00:00-04:00,2026-06-15 15:29:00-04:00,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/manifest.json,2026-06-18T10:56:17.161374+00:00,capture_summary,False
PLTR,2026-06-11,2026-06-12,D2,2026-06-16,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/normalized/PLTR_series.csv,534477859e475b82e2f13071a6a252e852e9040a0d99d2ebf03b2b2e18d02df4,True,4681,4681,2026-06-16 09:30:00-04:00,2026-06-16 16:00:00-04:00,0,0,55,55,2026-06-16 10:00:00-04:00,2026-06-16 14:30:00-04:00,,complete_after_rth_warmup,345,345,2026-06-16 09:45:00-04:00,2026-06-16 15:29:00-04:00,330,330,2026-06-16 10:00:00-04:00,2026-06-16 15:29:00-04:00,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-12/2026-06-18/100433Z/manifest.json,2026-06-18T10:56:17.161374+00:00,capture_summary,False
DIS,2026-06-12,2026-06-15,D0,2026-06-15,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/normalized/DIS_series.csv,20896d8c2bf8f6abb90e8a9708766434c15e99ce55ff95f342195cd972ea7d09,True,4677,4677,2026-06-15 09:30:20-04:00,2026-06-15 16:00:00-04:00,3,0,54,55,2026-06-15 10:05:00-04:00,2026-06-15 14:30:00-04:00,missing_5s_slots,partial_valid_windows,344,345,2026-06-15 09:46:00-04:00,2026-06-15 15:29:00-04:00,329,330,2026-06-15 10:01:00-04:00,2026-06-15 15:29:00-04:00,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-15/2026-06-18/113204Z/manifest.json,2026-06-18T12:15:31.494170+00:00,capture_summary,False
DIS,2026-06-12,2026-06-15,D1,2026-06-16,0,,,False,0,0,,,4680,0,0,55,,,archive_missing,archive_missing,0,345,,,0,330,,,,,,
DIS,2026-06-12,2026-06-15,D2,2026-06-17,0,,,False,0,0,,,4680,0,0,55,,,archive_missing,archive_missing,0,345,,,0,330,,,,,,
MRVL,2026-06-15,2026-06-16,D0,2026-06-16,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-16/2026-06-18/133951Z/normalized/MRVL_series.csv,16cf606ad1d5fc004184983868050c60f2a4d24f9e22fe91d78f8494c53a3418,True,4681,4681,2026-06-16 09:30:00-04:00,2026-06-16 16:00:00-04:00,0,0,55,55,2026-06-16 10:00:00-04:00,2026-06-16 14:30:00-04:00,,complete_after_rth_warmup,345,345,2026-06-16 09:45:00-04:00,2026-06-16 15:29:00-04:00,330,330,2026-06-16 10:00:00-04:00,2026-06-16 15:29:00-04:00,,2026-06-18T13:49:07.716286+00:00,summary_csv,False
MRVL,2026-06-15,2026-06-16,D1,2026-06-17,0,,,False,0,0,,,4680,0,0,55,,,archive_missing,archive_missing,0,345,,,0,330,,,,,,
MRVL,2026-06-15,2026-06-16,D2,2026-06-18,0,,,False,0,0,,,4680,0,0,55,,,archive_missing,archive_missing,0,345,,,0,330,,,,,,
ORCL,2026-06-15,2026-06-16,D0,2026-06-16,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-16/2026-06-18/133951Z/normalized/ORCL_series.csv,c03a030544b4a1991aab6e604e9049ec94edb243ef21616b9a7d442dafeb3a29,True,4656,4656,2026-06-16 09:32:05-04:00,2026-06-16 16:00:00-04:00,24,0,54,55,2026-06-16 10:05:00-04:00,2026-06-16 14:30:00-04:00,missing_5s_slots,partial_valid_windows,343,345,2026-06-16 09:47:00-04:00,2026-06-16 15:29:00-04:00,328,330,2026-06-16 10:02:00-04:00,2026-06-16 15:29:00-04:00,,2026-06-18T13:54:01.719811+00:00,summary_csv,False
ORCL,2026-06-15,2026-06-16,D1,2026-06-17,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_live_monitor_missing_2026-06-17/2026-06-18/071852Z/normalized/ORCL_series.csv,ddc182496167960e2acd5de5aa68018666d3057276b99abfbf6c715d0ff66ee4,True,4670,4670,2026-06-17 09:30:55-04:00,2026-06-17 16:00:00-04:00,10,0,54,55,2026-06-17 10:05:00-04:00,2026-06-17 14:30:00-04:00,missing_5s_slots,partial_valid_windows,344,345,2026-06-17 09:46:00-04:00,2026-06-17 15:29:00-04:00,329,330,2026-06-17 10:01:00-04:00,2026-06-17 15:29:00-04:00,/Users/dgrissen/Dev/HIRO_finder/output/hiro_live_monitor_missing_2026-06-17/2026-06-18/071852Z/manifest.json,2026-06-18T07:19:06.518027+00:00,capture_summary,False
ORCL,2026-06-15,2026-06-16,D2,2026-06-18,0,,,False,0,0,,,4680,0,0,55,,,archive_missing,archive_missing,0,345,,,0,330,,,,,,
QCOM,2026-06-15,2026-06-16,D0,2026-06-16,1,/Users/dgrissen/Dev/HIRO_finder/output/hiro_date_specific_scrapes_2026-06-12_to_2026-06-16/date=2026-06-16/2026-06-18/133951Z/normalized/QCOM_series.csv,1830af501560a68ee20bda02ebe0f8604640d41cff799660167f61c536b527db,True,4681,4681,2026-06-16 09:30:00-04:00,2026-06-16 16:00:00-04:00,0,0,55,55,2026-06-16 10:00:00-04:00,2026-06-16 14:30:00-04:00,,complete_after_rth_warmup,345,345,2026-06-16 09:45:00-04:00,2026-06-16 15:29:00-04:00,330,330,2026-06-16 10:00:00-04:00,2026-06-16 15:29:00-04:00,,2026-06-18T13:55:13.060410+00:00,summary_csv,False
