variant,ticker,signal_date,expiry,strike,leg,historical_quote_listing_status,source_path,deliverables_status
original,AAL,2026-06-11,2026-06-18,16.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,AAL,2026-06-11,2026-06-18,16.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,ASML,2026-06-11,2026-06-18,2260.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,ASML,2026-06-11,2026-06-18,2250.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,ASTS,2026-06-11,2026-06-18,160.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,ASTS,2026-06-11,2026-06-18,155.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,CPNG,2026-06-11,2026-06-18,20.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,CPNG,2026-06-11,2026-06-18,19.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,CRSP,2026-06-11,2026-06-18,62.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,CRSP,2026-06-11,2026-06-18,61.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,DKNG,2026-06-11,2026-06-18,34.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,DKNG,2026-06-11,2026-06-18,33.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,DVN,2026-06-11,2026-06-18,50.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,DVN,2026-06-11,2026-06-18,49.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,GILD,2026-06-11,2026-06-18,135.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
