ticker,signal_date,expiry,strike,variant,status,delta,log_forward_moneyness,dte,forward,bid_iv,atm_mid_iv,bid_excess_vol_points,forward_type,atm_definition,delta_dte_n,delta_dte_mean,delta_dte_sample_std,delta_dte_z,delta_dte_midrank_percentile,delta_dte_status,forward_moneyness_dte_n,forward_moneyness_dte_mean,forward_moneyness_dte_sample_std,forward_moneyness_dte_z,forward_moneyness_dte_midrank_percentile,forward_moneyness_dte_status
AAL,2026-06-11,2026-06-18,16.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
ASML,2026-06-11,2026-06-18,2150.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
ASTS,2026-06-11,2026-06-18,140.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
CPNG,2026-06-11,2026-06-18,19.5,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
CRSP,2026-06-11,2026-06-18,60.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
DKNG,2026-06-11,2026-06-18,33.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
DVN,2026-06-11,2026-06-18,48.5,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
GILD,2026-06-11,2026-06-18,133.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
HPQ,2026-06-11,2026-06-18,27.5,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
MO,2026-06-11,2026-06-18,,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
NET,2026-06-11,2026-06-18,260.0,delta10_otm5,history_not_requested_no_preliminary_entry,,,,,,,,,,,,,,,,,,,,,
