variant,ticker,signal_date,entry_policy,method,holding_sessions,entry_at,exit_at,short_phase_end,counterfactual_unconverted_path,valid_event_marks,worst_observed_event_cover_pnl,worst_event_at,largest_observed_event_cover_loss,minute_worst_cover_pnl,basis
delta10_otm5,CRM,2026-06-16,clock,immediate_spread,4,2026-06-17 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-17 10:01:00-04:00,False,0,,,,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,deferred_d0,4,2026-06-17 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-17 14:05:00-04:00,False,31224,-10.300000000000002,2026-06-17 10:01:00.077000-04:00,10.300000000000002,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,deferred_d1,4,2026-06-17 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-18 09:47:00-04:00,False,50527,-220.3,2026-06-18 09:30:01.631000-04:00,220.3,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,deferred_d2,4,2026-06-17 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-22 09:52:00-04:00,False,56589,-963.2999999999998,2026-06-22 09:30:01.626000-04:00,963.2999999999998,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,short_only,4,2026-06-17 10:01:00-04:00,2026-06-23 15:50:00-04:00,2026-06-23 15:50:00-04:00,False,78393,-963.2999999999998,2026-06-22 09:30:01.626000-04:00,963.2999999999998,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,immediate_spread,5,2026-06-17 10:01:00-04:00,2026-06-24 15:50:00-04:00,2026-06-17 10:01:00-04:00,False,0,,,,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,deferred_d0,5,2026-06-17 10:01:00-04:00,2026-06-24 15:50:00-04:00,2026-06-17 14:05:00-04:00,False,31224,-10.300000000000002,2026-06-17 10:01:00.077000-04:00,10.300000000000002,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,deferred_d1,5,2026-06-17 10:01:00-04:00,2026-06-24 15:50:00-04:00,2026-06-18 09:47:00-04:00,False,50527,-220.3,2026-06-18 09:30:01.631000-04:00,220.3,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,deferred_d2,5,2026-06-17 10:01:00-04:00,2026-06-24 15:50:00-04:00,2026-06-22 09:52:00-04:00,False,56589,-963.2999999999998,2026-06-22 09:30:01.626000-04:00,963.2999999999998,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
delta10_otm5,CRM,2026-06-16,clock,short_only,5,2026-06-17 10:01:00-04:00,2026-06-24 15:50:00-04:00,2026-06-24 15:50:00-04:00,False,84645,-963.2999999999998,2026-06-22 09:30:01.626000-04:00,963.2999999999998,-10.300000000000002,"Captured RTH NBBO quote events; no unobserved gap, overnight, assignment or maximum-loss inference"
