ticker,signal_date,policy,timestamp,far_strike,near_strike,bid,ask,delta,stock,otm_pct,pass_basic
AAL,2026-06-11,clock,2026-06-12 10:01:00,16.0,15.5,0.03,0.08,0.1072,14.68,8.99182561307903,False
AAL,2026-06-11,hiro,2026-06-12 11:46:00-04:00,16.0,15.5,0.08,0.11,0.16540000000000002,14.89,7.45466756212223,False
ASML,2026-06-11,clock,2026-06-12 10:01:00,2150.0,2140.0,4.1,6.0,0.06860000000000001,1863.8500000000001,15.35263030823295,False
ASML,2026-06-11,hiro,2026-06-12 10:31:00-04:00,2150.0,2140.0,3.9,5.9,0.0665,1858.52,15.68344704388438,False
ASTS,2026-06-11,clock,2026-06-12 10:01:00,140.0,135.0,0.35000000000000003,0.59,0.0524,87.31,60.34818462948115,False
CPNG,2026-06-11,clock,2026-06-12 10:01:00,19.5,19.0,0.0,0.5700000000000001,0.195,16.63,17.257967528562833,False
CPNG,2026-06-11,hiro,2026-06-12 10:51:00-04:00,19.5,19.0,0.0,0.06,0.046400000000000004,16.55,17.824773413897276,False
CRSP,2026-06-11,clock,2026-06-12 10:01:00,60.0,59.0,0.05,0.35000000000000003,0.08080000000000001,50.94,17.785630153121335,False
CRSP,2026-06-11,hiro,2026-06-12 10:51:00-04:00,60.0,59.0,0.05,0.3,0.07050000000000001,50.53,18.74134177716207,False
DKNG,2026-06-11,clock,2026-06-12 10:01:00,33.0,32.0,0.04,0.15,0.08170000000000001,29.17,13.129928008227632,False
DKNG,2026-06-11,hiro,2026-06-12 10:41:00-04:00,33.0,32.0,0.05,0.1,0.0644,28.68,15.062761506276146,False
DVN,2026-06-11,clock,2026-06-12 10:01:00,48.5,48.0,0.1,0.21,0.1211,45.300000000000004,7.064017660044142,False
DVN,2026-06-11,hiro,2026-06-12 11:21:00-04:00,48.5,48.0,0.12,0.2,0.1227,45.11,7.514963422744403,False
GILD,2026-06-11,clock,2026-06-12 10:01:00,133.0,132.0,0.0,0.38,0.0782,124.78,6.587594165731692,False
GILD,2026-06-11,hiro,2026-06-12 13:41:00-04:00,133.0,132.0,0.0,0.3,0.0702,125.4,6.060606060606055,False
HPQ,2026-06-11,clock,2026-06-12 10:01:00,27.5,27.0,0.01,0.11,0.0756,24.6,11.788617886178866,False
HPQ,2026-06-11,hiro,2026-06-12 11:51:00-04:00,27.5,27.0,0.05,0.09,0.092,25.07,9.69285999202234,False
NET,2026-06-11,clock,2026-06-12 10:01:00,260.0,257.5,0.31,1.1,0.0787,228.1,13.985094256904862,False
