sample,group,horizon,valid_outcome_count,atm_flat_up_count,atm_flat_up_fraction,wing_compression_count,wing_and_total_call_iv_down_count,wing_compression_given_atm_up,wing_and_total_call_iv_down_given_atm_up,interpretation
rich_all_signals,slowing_rolling,1,6799,3026,0.4450654508015885,1687,862,0.5575016523463318,0.2848645076007931,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_all_signals,slowing_rolling,2,6798,3056,0.44954398352456604,1777,902,0.581479057591623,0.2951570680628272,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_all_signals,slowing_rolling,4,6797,3025,0.4450492864499044,1733,869,0.572892561983471,0.2872727272727273,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_all_signals,continued_accelerating,1,10658,4705,0.4414524300994558,2724,1364,0.5789585547290117,0.28990435706695006,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_all_signals,continued_accelerating,2,10658,5028,0.47175830362169263,2993,1420,0.595266507557677,0.2824184566428003,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_all_signals,continued_accelerating,4,10657,5111,0.4795908792343061,2930,1447,0.5732733320289571,0.2831148503228331,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_nonoverlap,slowing_rolling,1,1539,710,0.4613385315139701,392,195,0.5521126760563381,0.2746478873239437,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_nonoverlap,slowing_rolling,2,1539,669,0.4346978557504873,392,208,0.585949177877429,0.3109118086696562,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_nonoverlap,slowing_rolling,4,1539,687,0.44639376218323584,380,198,0.5531295487627366,0.28820960698689957,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_nonoverlap,continued_accelerating,1,4825,2135,0.44248704663212435,1257,601,0.5887587822014052,0.28149882903981266,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_nonoverlap,continued_accelerating,2,4825,2314,0.47958549222797925,1400,646,0.6050129645635264,0.2791702679343129,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
rich_nonoverlap,continued_accelerating,4,4825,2325,0.48186528497409326,1307,619,0.5621505376344086,0.26623655913978495,Post-outcome conditional description; future ATM state is unknown at signal and is not an admission rule.
