reference_month,group,stock_dates,stocks,signal_dates,valid_outcomes,mean_joint,mean_wing_change
2024-01,continued_accelerating,303,109,20,303,0.26732673267326734,-1.4415029702970303
2024-01,slowing_rolling,201,75,20,201,0.19900497512437812,-1.5777502487562183
2024-02,continued_accelerating,361,127,20,361,0.2880886426592798,-0.13283933518005492
2024-02,slowing_rolling,277,95,20,277,0.2888086642599278,-0.38984332129963917
2024-03,continued_accelerating,606,173,20,606,0.24092409240924093,-1.4398100660066004
2024-03,slowing_rolling,577,131,20,577,0.21663778162911612,-1.2787563258232235
2024-04,continued_accelerating,79,46,21,79,0.34177215189873417,-0.4390506329113918
2024-04,slowing_rolling,44,22,16,44,0.3409090909090909,2.494711363636362
2024-05,continued_accelerating,505,161,22,505,0.3188118811881188,-0.8464318019801976
2024-05,slowing_rolling,339,110,22,339,0.27728613569321536,-0.37526076696165234
2024-06,continued_accelerating,578,174,19,578,0.2491349480968858,-0.3984207612456748
2024-06,slowing_rolling,375,131,19,375,0.216,-1.6581333333333332
2024-07,continued_accelerating,252,101,22,252,0.3253968253968254,-0.199638888888889
2024-07,slowing_rolling,183,66,22,183,0.2896174863387978,-1.5577868852459018
2024-08,continued_accelerating,299,129,22,299,0.3277591973244147,-1.588813043478261
2024-08,slowing_rolling,150,69,22,150,0.29333333333333333,-0.9341240000000005
2024-09,continued_accelerating,302,124,20,302,0.25165562913907286,-0.47001721854304634
2024-09,slowing_rolling,143,59,20,143,0.25874125874125875,-0.8923398601398608
2024-10,continued_accelerating,101,55,22,101,0.38613861386138615,-2.0620792079207915
2024-10,slowing_rolling,100,25,21,100,0.25,-2.687513
2024-11,continued_accelerating,353,142,20,353,0.26062322946175637,-1.2545229461756369
2024-11,slowing_rolling,255,97,20,255,0.2196078431372549,-0.9376627450980395
2024-12,continued_accelerating,566,183,21,566,0.2667844522968198,-1.5297310954063608
2024-12,slowing_rolling,383,114,21,383,0.25326370757180156,-0.8741122715404694
2025-01,continued_accelerating,177,80,20,177,0.3107344632768362,-1.2174016949152535
2025-01,slowing_rolling,95,29,20,95,0.2631578947368421,-1.4881073684210528
2025-02,continued_accelerating,128,60,19,128,0.359375,-1.1388874999999992
2025-02,slowing_rolling,79,36,19,79,0.4050632911392405,-1.1087974683544326
2025-03,continued_accelerating,113,60,20,113,0.3008849557522124,-2.1279327433628326
2025-03,slowing_rolling,52,24,17,52,0.21153846153846154,-1.0724903846153842
2025-04,continued_accelerating,33,21,13,33,0.48484848484848486,-2.0715787878787864
2025-04,slowing_rolling,9,4,7,7,0.2857142857142857,1.2907428571428556
2025-05,continued_accelerating,252,108,21,252,0.21428571428571427,-1.6001801587301585
2025-05,slowing_rolling,142,49,18,142,0.2887323943661972,-1.5944436619718318
2025-06,continued_accelerating,377,146,20,377,0.2864721485411141,-1.216948010610079
2025-06,slowing_rolling,222,87,20,222,0.19369369369369369,-1.3179108108108113
2025-07,continued_accelerating,225,83,22,225,0.32,-0.7121968888888884
2025-07,slowing_rolling,120,49,22,120,0.3,-1.1770583333333338
2025-08,continued_accelerating,386,140,21,386,0.22538860103626943,-0.5987176165803109
2025-08,slowing_rolling,246,82,21,246,0.25609756097560976,-1.3416467479674798
2025-09,continued_accelerating,704,199,21,704,0.2627840909090909,-0.6555963068181818
2025-09,slowing_rolling,468,141,21,468,0.23504273504273504,-0.14575405982906003
2025-10,continued_accelerating,364,135,23,364,0.3324175824175824,-0.6782335164835169
2025-10,slowing_rolling,227,90,23,227,0.3656387665198238,-1.2596290748898669
2025-11,continued_accelerating,434,161,19,434,0.29723502304147464,-0.8829688940092166
2025-11,slowing_rolling,314,110,19,314,0.30254777070063693,-1.7407882165605095
2025-12,continued_accelerating,442,159,22,442,0.20588235294117646,-0.3191945701357466
2025-12,slowing_rolling,220,96,22,220,0.21363636363636362,-0.8093259090909085
2026-01,continued_accelerating,313,125,20,313,0.3514376996805112,-1.0336428115015979
2026-01,slowing_rolling,141,69,19,141,0.2907801418439716,-0.5242482269503538
2026-02,continued_accelerating,327,128,19,327,0.30275229357798167,-0.3582761467889907
2026-02,slowing_rolling,196,83,19,196,0.336734693877551,-0.3231377551020405
2026-03,continued_accelerating,383,134,22,383,0.3133159268929504,-1.222674151436031
2026-03,slowing_rolling,180,75,22,180,0.24444444444444444,-0.8023694444444445
2026-04,continued_accelerating,153,75,21,153,0.3137254901960784,-0.40044901960784235
2026-04,slowing_rolling,71,43,18,71,0.352112676056338,-0.2675985915492958
2026-05,continued_accelerating,592,181,20,592,0.27702702702702703,-0.20316435810810782
2026-05,slowing_rolling,373,127,20,373,0.29222520107238603,-0.24632091152814994
2026-06,continued_accelerating,700,204,21,700,0.2357142857142857,-1.1127022857142856
2026-06,slowing_rolling,525,156,21,525,0.25142857142857145,-1.0383289523809527
2026-07,continued_accelerating,220,93,22,220,0.39545454545454545,-0.661467727272727
2026-07,slowing_rolling,79,41,21,79,0.31645569620253167,-1.0134379746835442
2026-08,continued_accelerating,30,24,3,30,0.03333333333333333,0.8015699999999993
2026-08,slowing_rolling,14,13,3,14,0.0,-1.494299999999998
