ticker,summary_rows,price_rows,missing_summary_sessions,missing_price_sessions
AA,921,921,0,0
AAL,921,921,0,0
AAP,921,921,0,0
AAPL,921,921,0,0
ABBV,921,921,0,0
ABNB,921,921,0,0
ABR,921,921,0,0
ABT,921,921,0,0
ACHR,921,921,0,0
ACN,921,921,0,0
ADBE,921,921,0,0
ADM,921,921,0,0
AFRM,921,921,0,0
AG,921,921,0,0
AGNC,921,921,0,0
AI,921,921,0,0
AKAM,921,921,0,0
ALAB,605,606,316,315
ALB,921,921,0,0
AMAT,921,921,0,0
AMC,921,921,0,0
AMD,921,921,0,0
AMGN,921,921,0,0
AMT,921,921,0,0
AMZN,921,921,0,0
ANET,921,921,0,0
ANF,921,921,0,0
APA,921,921,0,0
APLD,808,809,113,112
APO,921,921,0,0
APP,921,921,0,0
ARM,743,744,178,177
ASAN,921,921,0,0
ASML,921,921,0,0
ASTS,921,921,0,0
ATVI,198,196,723,725
AVGO,921,921,0,0
AXP,921,921,0,0
BA,921,921,0,0
BABA,921,921,0,0
BAC,921,921,0,0
BB,921,921,0,0
BBAI,921,921,0,0
BE,921,921,0,0
BIDU,921,921,0,0
BILI,921,921,0,0
BITF,821,815,100,106
BKNG,921,921,0,0
BLK,921,921,0,0
BLNK,921,921,0,0
BMBL,921,921,0,0
BMNR,278,314,643,607
BMY,921,921,0,0
BP,921,921,0,0
BTBT,921,921,0,0
BTU,921,921,0,0
BX,921,921,0,0
BYND,921,921,0,0
C,921,921,0,0
CART,740,741,181,180
CAT,921,921,0,0
CCJ,921,921,0,0
CCL,921,921,0,0
CEG,921,921,0,0
CELH,921,921,0,0
CHPT,921,921,0,0
CHWY,921,921,0,0
CIFR,921,921,0,0
CLF,921,921,0,0
CLSK,921,920,0,1
CLX,921,921,0,0
CMCSA,921,921,0,0
CMG,921,921,0,0
COIN,921,921,0,0
COP,921,921,0,0
COST,921,921,0,0
CPNG,921,921,0,0
CRCL,304,305,617,616
CRDO,921,921,0,0
CRM,921,921,0,0
CRSP,921,920,0,1
CRWD,921,921,0,0
CRWV,343,344,578,577
CSCO,921,921,0,0
CVNA,921,921,0,0
CVS,921,921,0,0
CVX,921,921,0,0
DAL,921,921,0,0
DASH,921,921,0,0
DDOG,921,921,0,0
DE,921,921,0,0
DELL,921,921,0,0
DG,921,921,0,0
DIS,921,921,0,0
DJT,610,611,311,310
DKNG,921,921,0,0
DOCU,921,921,0,0
DVN,921,921,0,0
DWAC,309,308,612,613
EBAY,921,921,0,0
EDU,921,921,0,0
ENPH,921,921,0,0
ENVX,921,921,0,0
ET,921,921,0,0
ETSY,921,921,0,0
EXPE,921,921,0,0
F,921,921,0,0
FANG,921,921,0,0
FCX,921,921,0,0
FDX,921,921,0,0
FHN,921,921,0,0
FSLR,921,921,0,0
FSLY,921,921,0,0
FSR,309,0,612,921
FTNT,921,921,0,0
FUBO,921,921,0,0
GAP,505,921,416,0
GE,921,921,0,0
GILD,921,921,0,0
GM,921,921,0,0
GME,921,921,0,0
GNRC,921,921,0,0
GOLD,791,779,130,142
GOOG,921,921,0,0
GOOGL,921,921,0,0
GPS,415,0,506,921
GS,921,921,0,0
HBAN,921,921,0,0
HD,921,921,0,0
HIMS,921,921,0,0
HOOD,921,921,0,0
HPE,921,921,0,0
HPQ,921,921,0,0
HTZ,921,921,0,0
HUM,921,921,0,0
HUT,921,921,0,0
IBM,921,921,0,0
IMGN,279,278,642,643
INOD,921,921,0,0
INTC,921,921,0,0
INTU,921,921,0,0
IONQ,921,921,0,0
IOVA,921,921,0,0
IREN,921,921,0,0
IVR,921,921,0,0
JBLU,921,921,0,0
JD,921,921,0,0
JMIA,921,921,0,0
JNJ,921,921,0,0
JPM,921,921,0,0
KHC,921,921,0,0
KMX,921,921,0,0
KO,921,921,0,0
KR,921,921,0,0
KTOS,921,921,0,0
LAZR,801,793,120,128
LCID,921,921,0,0
LEN,921,921,0,0
LI,921,921,0,0
LLY,921,921,0,0
LMND,921,921,0,0
LMT,921,921,0,0
LOW,921,921,0,0
LRCX,921,921,0,0
LTBR,921,921,0,0
LULU,921,921,0,0
LUMN,921,921,0,0
LUNR,631,632,290,289
LUV,921,921,0,0
LVS,921,921,0,0
LYFT,921,921,0,0
M,921,921,0,0
MA,921,921,0,0
MARA,921,921,0,0
MCD,921,921,0,0
MDB,921,921,0,0
MELI,921,921,0,0
META,921,921,0,0
MGM,921,921,0,0
MMM,921,921,0,0
MO,921,921,0,0
MOS,921,921,0,0
MPC,921,921,0,0
MPW,777,0,144,921
MRK,921,921,0,0
MRNA,921,921,0,0
MRO,495,476,426,445
MRVL,921,921,0,0
MS,921,921,0,0
MSFT,921,921,0,0
MSTR,921,921,0,0
MU,921,921,0,0
NBIS,448,449,473,472
NCLH,921,921,0,0
NEE,921,921,0,0
NEM,921,921,0,0
NET,921,921,0,0
NFLX,921,921,0,0
NIO,921,921,0,0
NKE,921,921,0,0
NKLA,575,538,346,383
NNE,461,462,460,459
NOK,921,921,0,0
NOW,921,921,0,0
NU,921,921,0,0
NVAX,921,921,0,0
NVDA,921,921,0,0
NVO,921,921,0,0
NYCB,473,0,448,921
OKLO,567,735,354,186
OKTA,921,921,0,0
ON,921,921,0,0
ONON,921,921,0,0
OPEN,921,921,0,0
ORCL,921,921,0,0
OXY,921,921,0,0
OZK,921,921,0,0
PACW,232,230,689,691
PANW,921,921,0,0
PARA,654,0,267,921
PATH,921,921,0,0
PBR,921,921,0,0
PDD,921,921,0,0
PENN,921,921,0,0
PEP,921,921,0,0
PFE,921,921,0,0
PG,921,921,0,0
PINS,921,921,0,0
PLTR,921,921,0,0
PLUG,921,921,0,0
PTON,921,921,0,0
PYPL,921,921,0,0
QBTS,921,921,0,0
QCOM,921,921,0,0
QS,921,921,0,0
QUBT,921,921,0,0
RBLX,921,921,0,0
RCL,921,921,0,0
RDDT,613,614,308,307
RDW,921,921,0,0
RF,921,921,0,0
RGTI,921,921,0,0
RH,921,921,0,0
RIG,921,921,0,0
RILY,921,921,0,0
RIOT,921,921,0,0
RIVN,921,921,0,0
RKLB,921,921,0,0
RKT,921,921,0,0
ROKU,921,921,0,0
RTX,720,921,201,0
RUN,919,921,2,0
S,919,921,2,0
SAVE,493,473,428,448
SBUX,898,921,23,0
SCHW,921,921,0,0
SE,921,921,0,0
SEDG,921,921,0,0
SERV,525,523,396,398
SHOP,921,921,0,0
SLB,921,921,0,0
SMCI,921,921,0,0
SMR,921,921,0,0
SNAP,921,921,0,0
SNDK,380,391,541,530
SNDL,921,921,0,0
SNOW,921,921,0,0
SOFI,921,921,0,0
SOUN,921,921,0,0
SPCE,921,921,0,0
SPOT,921,921,0,0
SPWR,408,752,513,169
SQ,515,0,406,921
STX,921,921,0,0
T,921,921,0,0
TAL,921,921,0,0
TDOC,921,921,0,0
TEM,539,540,382,381
TEVA,921,921,0,0
TFC,921,921,0,0
TGT,921,921,0,0
TLRY,921,921,0,0
TOST,921,921,0,0
TSLA,921,921,0,0
TSM,921,921,0,0
TTD,921,921,0,0
TWLO,921,921,0,0
TXN,921,921,0,0
U,921,921,0,0
UAL,921,921,0,0
UBER,921,921,0,0
ULTA,921,921,0,0
UNH,921,921,0,0
UPS,921,921,0,0
UPST,921,921,0,0
V,921,921,0,0
VALE,921,921,0,0
VFC,921,921,0,0
VKTX,921,921,0,0
VLO,921,921,0,0
VOD,921,921,0,0
VRT,921,921,0,0
VST,921,921,0,0
VZ,921,921,0,0
W,921,921,0,0
WAL,921,921,0,0
WBA,684,665,237,256
WBD,921,921,0,0
WDAY,921,921,0,0
WDC,921,921,0,0
WFC,921,921,0,0
WMT,921,921,0,0
WULF,921,921,0,0
WYNN,921,921,0,0
X,627,617,294,304
XOM,921,921,0,0
XPEV,921,921,0,0
XYZ,407,921,514,0
Z,921,921,0,0
ZIM,921,921,0,0
ZION,921,921,0,0
ZM,921,921,0,0
ZS,921,921,0,0
