ticker,signal_date,entry_date,reference_month,era,common_nonoverlap,outside_prior_six,horizon,economic,mechanical,paired_observed,difference,both_entered,both_complete_worst_cover_difference
ABT,2024-02-06,2024-02-07,2024-02,2024-2025,True,True,2,0.0,,False,,False,
ABT,2024-02-06,2024-02-07,2024-02,2024-2025,True,True,4,0.0,,False,,False,
ABT,2024-07-22,2024-07-23,2024-07,2024-2025,True,True,2,0.0,-70.3,True,70.3,False,
ABT,2024-07-22,2024-07-23,2024-07,2024-2025,True,True,4,0.0,7.700000000000002,True,-7.700000000000002,False,
ABT,2024-07-23,2024-07-24,2024-07,2024-2025,False,True,2,0.0,12.700000000000001,True,-12.700000000000001,False,
ABT,2024-07-23,2024-07-24,2024-07,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-07-24,2024-07-25,2024-07,2024-2025,False,True,2,0.0,8.7,True,-8.7,False,
ABT,2024-07-24,2024-07-25,2024-07,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-07-25,2024-07-26,2024-07,2024-2025,False,True,2,0.0,,False,,False,
ABT,2024-07-25,2024-07-26,2024-07,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-07-26,2024-07-29,2024-07,2024-2025,False,True,2,0.0,,False,,False,
ABT,2024-07-26,2024-07-29,2024-07,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-07-29,2024-07-30,2024-07,2024-2025,False,True,2,0.0,-124.30000000000001,True,124.30000000000001,False,
ABT,2024-07-29,2024-07-30,2024-07,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-07-30,2024-07-31,2024-07,2024-2025,True,True,2,0.0,-218.3,True,218.3,False,
ABT,2024-07-30,2024-07-31,2024-07,2024-2025,True,True,4,0.0,,False,,False,
ABT,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,2,0.0,,False,,False,
ABT,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,2,0.0,,False,,False,
ABT,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,4,0.0,,False,,False,
ABT,2024-11-08,2024-11-11,2024-11,2024-2025,True,True,2,0.0,,False,,False,
ABT,2024-11-08,2024-11-11,2024-11,2024-2025,True,True,4,0.0,,False,,False,
ABT,2024-11-11,2024-11-12,2024-11,2024-2025,False,True,2,0.0,,False,,False,
ABT,2024-11-11,2024-11-12,2024-11,2024-2025,False,True,4,0.0,,False,,False,
ABT,2026-04-17,2026-04-20,2026-04,2026,True,True,2,0.0,0.0,True,0.0,False,
ABT,2026-04-17,2026-04-20,2026-04,2026,True,True,4,0.0,0.0,True,0.0,False,
ABT,2026-04-20,2026-04-21,2026-04,2026,False,True,2,0.0,0.0,True,0.0,False,
ABT,2026-04-20,2026-04-21,2026-04,2026,False,True,4,0.0,0.0,True,0.0,False,
ABT,2026-04-21,2026-04-22,2026-04,2026,False,True,2,0.0,,False,,False,
ABT,2026-04-21,2026-04-22,2026-04,2026,False,True,4,0.0,,False,,False,
ADM,2024-07-31,2024-08-01,2024-08,2024-2025,True,True,2,0.0,,False,,False,
ADM,2024-07-31,2024-08-01,2024-08,2024-2025,True,True,4,0.0,,False,,False,
ADM,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,2,0.0,0.0,True,0.0,False,
ADM,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,4,0.0,0.0,True,0.0,False,
ADM,2025-03-24,2025-03-25,2025-03,2024-2025,True,True,2,0.0,-68.3,True,68.3,False,
ADM,2025-03-24,2025-03-25,2025-03,2024-2025,True,True,4,0.0,-48.3,True,48.3,False,
