sample,source_family,selector,horizon,cases,admitted,priced,paired_observed,both_entered_priced
all_signals,central_strikes,economic,2,604,0,0,339,0
all_signals,central_strikes,economic,4,604,0,0,126,0
all_signals,central_strikes,mechanical,2,604,559,294,339,0
all_signals,central_strikes,mechanical,4,604,559,81,126,0
all_signals,deustrader_wins_recreate_20260823,economic,2,30,0,0,23,0
all_signals,deustrader_wins_recreate_20260823,economic,4,30,0,0,19,0
all_signals,deustrader_wins_recreate_20260823,mechanical,2,30,25,18,23,0
all_signals,deustrader_wins_recreate_20260823,mechanical,4,30,25,14,19,0
all_signals,pandar_richness_hist_strikes,economic,2,481,33,33,469,33
all_signals,pandar_richness_hist_strikes,economic,4,481,33,32,459,32
all_signals,pandar_richness_hist_strikes,mechanical,2,481,475,463,469,33
all_signals,pandar_richness_hist_strikes,mechanical,4,481,475,453,459,32
all_signals,squeeze_chains,economic,2,1,0,0,1,0
all_signals,squeeze_chains,economic,4,1,0,0,1,0
all_signals,squeeze_chains,mechanical,2,1,1,1,1,0
all_signals,squeeze_chains,mechanical,4,1,1,1,1,0
all_signals,squeeze_chains_control_entry,economic,2,19,0,0,1,0
all_signals,squeeze_chains_control_entry,economic,4,19,0,0,0,0
all_signals,squeeze_chains_control_entry,mechanical,2,19,19,1,1,0
all_signals,squeeze_chains_control_entry,mechanical,4,19,19,0,0,0
all_signals,squeeze_chains_funnel_entry,economic,2,22,0,0,6,0
all_signals,squeeze_chains_funnel_entry,economic,4,22,0,0,2,0
all_signals,squeeze_chains_funnel_entry,mechanical,2,22,20,4,6,0
all_signals,squeeze_chains_funnel_entry,mechanical,4,22,20,0,2,0
all_signals,squeeze_chains_liquid,economic,2,6,0,0,4,0
all_signals,squeeze_chains_liquid,economic,4,6,0,0,3,0
all_signals,squeeze_chains_liquid,mechanical,2,6,6,4,4,0
all_signals,squeeze_chains_liquid,mechanical,4,6,6,3,3,0
common_nonoverlap,central_strikes,economic,2,141,0,0,82,0
common_nonoverlap,central_strikes,economic,4,141,0,0,51,0
common_nonoverlap,central_strikes,mechanical,2,141,133,74,82,0
common_nonoverlap,central_strikes,mechanical,4,141,133,43,51,0
common_nonoverlap,deustrader_wins_recreate_20260823,economic,2,8,0,0,7,0
common_nonoverlap,deustrader_wins_recreate_20260823,economic,4,8,0,0,6,0
common_nonoverlap,deustrader_wins_recreate_20260823,mechanical,2,8,7,6,7,0
common_nonoverlap,deustrader_wins_recreate_20260823,mechanical,4,8,7,5,6,0
common_nonoverlap,pandar_richness_hist_strikes,economic,2,87,8,8,82,8
common_nonoverlap,pandar_richness_hist_strikes,economic,4,87,8,8,82,8
common_nonoverlap,pandar_richness_hist_strikes,mechanical,2,87,84,79,82,8
common_nonoverlap,pandar_richness_hist_strikes,mechanical,4,87,84,79,82,8
common_nonoverlap,squeeze_chains_control_entry,economic,2,19,0,0,1,0
common_nonoverlap,squeeze_chains_control_entry,economic,4,19,0,0,0,0
common_nonoverlap,squeeze_chains_control_entry,mechanical,2,19,19,1,1,0
common_nonoverlap,squeeze_chains_control_entry,mechanical,4,19,19,0,0,0
common_nonoverlap,squeeze_chains_funnel_entry,economic,2,13,0,0,5,0
common_nonoverlap,squeeze_chains_funnel_entry,economic,4,13,0,0,1,0
common_nonoverlap,squeeze_chains_funnel_entry,mechanical,2,13,12,4,5,0
common_nonoverlap,squeeze_chains_funnel_entry,mechanical,4,13,12,0,1,0
common_nonoverlap,squeeze_chains_liquid,economic,2,5,0,0,3,0
common_nonoverlap,squeeze_chains_liquid,economic,4,5,0,0,2,0
common_nonoverlap,squeeze_chains_liquid,mechanical,2,5,5,3,3,0
common_nonoverlap,squeeze_chains_liquid,mechanical,4,5,5,2,2,0
